Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu inconvenientes 2018 inflacion 2017 2014 ofrecemos 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 1. Sim : 0.40343112; No similar. 
 board of directors minutes of the meet of the board of directors of banco republica on 27 october 2; j : 2. Sim : 0.087807074; No similar. 
 andrespardoa eeuu crearon 288 mil empleos junio vs estimacion 215 mil tasa desempleo bajo 61 vs est; j : 3. Sim : 0.4872342; No similar. 
 andrespardoa eeuu crearon 288 mil empleos abril vs expectativa 210 mil tasa desempleo cae 63 vs exp; j : 4. Sim : 0.40475315; No similar. 
 andrespardoa eeuu crearon 192 mil empleos agricolas marzo vs consenso 200 mil tasa desempleo mantuv; j : 5. Sim : 0.4936028; No similar. 
 andrespardoa economia eeuu contrajo 1 1er trimestre 2014 us gdp contract at pace of 1 in the first ; j : 6. Sim : 0.29368407; No similar. 
 bandrespardoa the stable outlook on colombias baa2 rat be predicate on the implementation of durabl; j : 7. Sim : 0.1703911; No similar. 
 andrespardoa eeuu crearon solo 142 mil empleos agosto menor cifra va ano vs esperado 230 mil tasa d; j : 8. Sim : 0.3486155; No similar. 
 andrespardoa cepal forecast 2014 colombia gdp growth of 50 pct vs previous forecast of 45 pct reute; j : 9. Sim : 0.4333623; No similar. 
 andrespardoa eeuu crearon 217 mil empleos mayo vs estimado 218 mil tasa desempleo estable 63 sigue ; j : 10. Sim : 0.4433424; No similar. 
 andrespardoa colombia hoy 7 pm revela inflacion enero 2014 esperamos 059 mm 223 aa aqui informe ene; j : 11. Sim : 0.59370637; Baja. 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 12. Sim : 0.45803523; No similar. 
 informe diario agosto 13 2015 ventas minoristas eeuu rebotan julio crecen 06 mm segun esperado nlab; j : 13. Sim : 0.49156687; No similar. 
 informe diario mayo 13 2015 pib eurozona crecio 04 tt 1t15 acelerandose frente 4t14 03 tt labelurl ; j : 14. Sim : 0.50593233; Baja. 
 eeuu crearon 214 mil empleos agricolas octubre vs esperado 230 mil tasa desempleo baja 58 59  ; j : 15. Sim : 0.33974472; No similar. 
 balanza comercial china retrocede 42b vs 53b esperado causando aversion riesgo expo cae 10 impo 19 ; j : 16. Sim : 0.12744087; No similar. 
 andrespardoa eeuu consumo personal cae 01 mensual abril vs 02 esperado reduce probabilidad fuerte r; j : 17. Sim : 0.3176332; No similar. 
 andrespardoa colombia segun andicolombia produccion industrial crecio 22 ventas total crecieron 32 ; j : 18. Sim : 0.51215297; Baja. 
 andrespardoa colombia consumo hogares acelero crecer 51 1er trimestre 2014 vs 44 4to trimestre 2013; j : 19. Sim : 0.50579256; Baja. 
 informe diario marzo 31 2015 tasa desempleo colombia bajo 99 febrero 2015 vs 107 hace ano labelurl ; j : 20. Sim : 0.515085; Baja. 
 informe diario junio 30 2015 tasa desempleo colombia subio 89 mayo 2015 vs 88 hace ano labelurl  ; j : 21. Sim : 0.5163469; Baja. 
 pib 3q uk preliminar sale mejor esperado mom 05 vs 03 esperado yoy 23 vs 21 labelurl  ; j : 22. Sim : 0.28564322; No similar. 
 eeuu pib crecio 35 3er trimestre demanda privada solo crecio 16 impulso provino gasto publico expor; j : 23. Sim : 0.48538566; No similar. 
 informe diario octubre 15 2015 inflacion ipc eeuu cayo septiembre 02 mm nucleo 19 aanlabelurl  ; j : 24. Sim : 0.5897617; Baja. 
 informe diario octubre 14 2015 inflacion ipp cayo eeuu ubico 05 mm 11 aa septiembrenlabelurl  ; j : 25. Sim : 0.6095457; Baja. 
 informe diario agosto 12 2015 produccion industrial eurozona cayo 04 mm 12 aa junio nlabelurl  ; j : 26. Sim : 0.39021075; No similar. 
 informe diario marzo 25 2015 ordenes bienes durables febrero cayeron 14 mm revirtiendo alza enero l; j : 27. Sim : 0.35771936; No similar. 
 informe diario septiembre 16 2015 inflacion ipc eeuu mantuvo 01 aa agosto nucleo 18 aa labelurl  ; j : 28. Sim : 0.5983911; Baja. 
 informe diario agosto 19 2015 inflacion ipc eeuu subio 01 aa nucleo mantuvo 18 aa labelurl  ; j : 29. Sim : 0.6047362; Baja. 
 ism servicios eeuu cae 514 555 menor dato ene2010 indice dolar dxy retrocede 08 949 labelurl  ; j : 30. Sim : 0.4058592; No similar. 
 informe diario julio 3 2014 tasa desempleo eeuu disminuyo 61 junio crearon 288 mil nuevos empleos l; j : 31. Sim : 0.4601555; No similar. 
 andrespardoa eurozona economia crecio 02 1er trimestre 2014 vs 04 esperado decepciona aumenta proba; j : 32. Sim : 0.50080335; Baja. 
 andrespardoa colombia demanda interna crecio 87 1er trimestre vs 54 4to trimestre superando ampliam; j : 33. Sim : 0.4551035; No similar. 
