Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos escribirnos detalles dm directo ayudarte caso ocurrido 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.122829735; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.20749956; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.18088603; No similar. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 4. Sim : 0.53113264; Baja. 
 zerepbox sfcsupervisor buenos dias escribenos favor mensaje interno revisar caso area encargada que; j : 5. Sim : 0.64773405; Baja. 
 pasteldecubios buenos dias permitenos ayudarte escribemos favor dm revisar caso area encargada qued; j : 6. Sim : 0.5555344; Baja. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 7. Sim : 0.61517143; Baja. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 8. Sim : 0.5964153; Baja. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 9. Sim : 0.5982088; Baja. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 10. Sim : 0.61798227; Baja. 
 jorgearmandoo hola jorge favor envianos datos contacto via dm remitir caso area encargada quedamos ; j : 11. Sim : 0.680249; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 12. Sim : 0.6201664; Baja. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 13. Sim : 0.5308647; Baja. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 14. Sim : 0.55351645; Baja. 
 curramberillo gloriai4 buenos dias jota permitenos ayudarte envianos caso datos contacto dm quedamo; j : 15. Sim : 0.5967705; Baja. 
 andrearrengifo sfcsupervisor favor cuentanos caso via dm colaborarte junto datos personales quedamo; j : 16. Sim : 0.745009; Media. 
 luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm ; j : 17. Sim : 0.5969072; Baja. 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 18. Sim : 0.63817805; Baja. 
 jairoqra buenas tardes jairo envianos numero contacto dm enviar caso area encargada quedamos atento; j : 19. Sim : 0.52913463; Baja. 
 hola cerocarreta lamentamos molestias gustaria conocer detalle caso darte soluciones puedes escribi; j : 20. Sim : 0.7038752; Media. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 21. Sim : 0.63639474; Baja. 
 jorgearmandoo buenos dias jorge favor envianos datos personales via dm colaborarte caso feliz dia  ; j : 22. Sim : 0.6509885; Baja. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 23. Sim : 0.6083235; Baja. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 24. Sim : 0.6557831; Baja. 
 evento bogota seminariodeeconomia 510 wall street or main street who to bail out 07022018 labelurl ; j : 25. Sim : 0.09933547; No similar. 
 evento cali conferencia separate state dependence experience and heterogeneity in model of youth cr; j : 26. Sim : 0.17838979; No similar. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 27. Sim : 0.51297134; Baja. 
 hola gatomansoskull gustaria saber mas caso puedes favor contarnos detalle via dm asi poder darte s; j : 28. Sim : 0.6300105; Baja. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 29. Sim : 0.080544546; No similar. 
 dacabe2 hola daniel permitenos ayudarte envianos detalles caso dm revisarlo area encargada quedamos; j : 30. Sim : 0.6267464; Baja. 
 g3rbar hola german permitenos ayudarte escribenos detalles caso dm revisarlo area encargada quedamo; j : 31. Sim : 0.6056704; Baja. 
 devoralibro hola clau permitenos ayudarte escribenos favor interno revisar caso area encargada qued; j : 32. Sim : 0.60981274; Baja. 
 jexa10 hola jenny permitenos ayudarte escribenos favor interno revisar caso area encargada quedamos; j : 33. Sim : 0.60982966; Baja. 
 civavior hola vane permitenos ayudarte escribenos dm detalles caso revisarlo area encargada quedamo; j : 34. Sim : 0.6253107; Baja. 
 natafranm yubertsanchez nathaly gracias escribirnos cuentanos detalles caso dm poder colaborarte qu; j : 35. Sim : 0.6940952; Media. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 36. Sim : 0.13903268; No similar. 
 cadripg hola adriana favor amplianos dm detalles ocurrido validar caso area encargada quedamos aten; j : 37. Sim : 0.6751186; Media. 
 nayibsk8 hola juan permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos ate; j : 38. Sim : 0.6089158; Baja. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 39. Sim : 0.5835969; Baja. 
 jvsalaz cuentanos dm detalles caso envianos datos contacto validarlos area encargada quedamos atent; j : 40. Sim : 0.68063825; Media. 
 cforeroo hola boris escribenos favor dm alli solicitaremos datos adicionales revisar caso quedamos ; j : 41. Sim : 0.6435862; Baja. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 42. Sim : 0.5835969; Baja. 
 jacorame javier gracias escribirnos favor cuentanos detalle caso dm poder ayudarte quedamos atentos; j : 43. Sim : 0.8411456; Alta. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 44. Sim : 0.6171474; Baja. 
 estepar97 hola esteban permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos; j : 45. Sim : 0.6296425; Baja. 
 julianazpt sfcsupervisor juliana gracias escribirnos envianos caso datos contacto dm ayudarte queda; j : 46. Sim : 0.7294374; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 47. Sim : 0.6118904; Baja. 
 mricardoangel favor envianos mensaje directo datos contactarte nombre completo telefono cedula qued; j : 48. Sim : 0.718433; Media. 
 krakenm22 hola karen permitenos ayudarte envianos favor detalles caso dm revisarlo area encargada s; j : 49. Sim : 0.6802792; Media. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 50. Sim : 0.58973706; Baja. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 51. Sim : 0.5111508; Baja. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 52. Sim : 0.64083695; Baja. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 53. Sim : 0.55818135; Baja. 
