Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu inconvenientes 2018 inflacion 2017 2014 ofrecemos disculpas tasa 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 1. Sim : 0.44143924; No similar. 
 board of directors minutes of the meet of the board of directors of banco republica on 27 october 2; j : 2. Sim : 0.0965834; No similar. 
 andrespardoa eeuu crearon 288 mil empleos junio vs estimacion 215 mil tasa desempleo bajo 61 vs est; j : 3. Sim : 0.5414235; Baja. 
 andrespardoa eeuu crearon 288 mil empleos abril vs expectativa 210 mil tasa desempleo cae 63 vs exp; j : 4. Sim : 0.4770485; No similar. 
 andrespardoa eeuu crearon 192 mil empleos agricolas marzo vs consenso 200 mil tasa desempleo mantuv; j : 5. Sim : 0.48840845; No similar. 
 andrespardoa economia eeuu contrajo 1 1er trimestre 2014 us gdp contract at pace of 1 in the first ; j : 6. Sim : 0.29610333; No similar. 
 bandrespardoa the stable outlook on colombias baa2 rat be predicate on the implementation of durabl; j : 7. Sim : 0.18829283; No similar. 
 andrespardoa eeuu crearon solo 142 mil empleos agosto menor cifra va ano vs esperado 230 mil tasa d; j : 8. Sim : 0.3957963; No similar. 
 andrespardoa cepal forecast 2014 colombia gdp growth of 50 pct vs previous forecast of 45 pct reute; j : 9. Sim : 0.4067256; No similar. 
 andrespardoa eeuu crearon 217 mil empleos mayo vs estimado 218 mil tasa desempleo estable 63 sigue ; j : 10. Sim : 0.49717537; No similar. 
 andrespardoa colombia hoy 7 pm revela inflacion enero 2014 esperamos 059 mm 223 aa aqui informe ene; j : 11. Sim : 0.5375635; Baja. 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 12. Sim : 0.4802951; No similar. 
 informe diario agosto 13 2015 ventas minoristas eeuu rebotan julio crecen 06 mm segun esperado nlab; j : 13. Sim : 0.4885233; No similar. 
 informe diario mayo 13 2015 pib eurozona crecio 04 tt 1t15 acelerandose frente 4t14 03 tt labelurl ; j : 14. Sim : 0.4868206; No similar. 
