Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.08139696; No similar. 
 workersuniting workers unite condemn the horrendous attack on dibeth quintana of our sister union u; j : 2. Sim : 0.1761291; No similar. 
 bdrpadillach pocos dias amigos pa inicie sodacirque7d by cirque du soleil promos si pagan bancosava; j : 3. Sim : 0.22451147; No similar. 
 fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga ind; j : 4. Sim : 0.34319806; No similar. 
 franciscoporbta vendieron isagen plata perdio ahora dicen venderan ecopetrol financiar vias mismo c; j : 5. Sim : 0.35433888; No similar. 
 petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia; j : 6. Sim : 0.42505687; No similar. 
 andrespardoa colombia encuesta datexco eltiempo wradiocolombia 1a vuelta santos 277 zuluaga 256 2a ; j : 7. Sim : 0.24684767; No similar. 
 workingpaper 1037 by carlos leon and fabio ortega forecast labelurl let us know what you think  ; j : 8. Sim : 0.17928895; No similar. 
 alexlopezmaya gran tragedia mas 14 millones d trabajadors salario fijo seg social exijamos modelo e; j : 9. Sim : 0.25268373; No similar. 
 mlorozco78 usofrenteobrero ecopetrolsa minminas mintrabajocol mafsul baena aliciaarango viva union ; j : 10. Sim : 0.4224065; No similar. 
 elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera ; j : 11. Sim : 0.35544103; No similar. 
 usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor  ; j : 12. Sim : 0.4593042; No similar. 
 usoedwin hace 67 anos organizacion sindical usofrenteobrero dio nacimiento ecopetrolsa hoy seguimos; j : 13. Sim : 0.49123517; No similar. 
 ccajar cajar40anos tbt com ddhh paz usofrenteobrero hace llegar calido solidario saludo cajar ocasi; j : 14. Sim : 0.36455804; No similar. 
 petroguia union sindical obrera industria petroleo prefiere huelga general tribunales si logra acue; j : 15. Sim : 0.44535923; No similar. 
 neilmartinuni unions message to ecopetrolsa negotiate or risk halt to production usofrenteobrero in; j : 16. Sim : 0.13273911; No similar. 
 usofrenteobrero usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar; j : 17. Sim : 0.29479972; No similar. 
 bcavirtual acabo ver ecopetrol uso firmaron nueva convencion colectiva trabajo 20182022 palmaedwin ; j : 18. Sim : 0.34684834; No similar. 
 lauraggils ecopetrol pago 300 millones bono presidente revela hoy dcoronell derecho entidad cuyo pr; j : 19. Sim : 0.40137115; No similar. 
 cuanto dinero gastas cuanto dinero ahorras cuanto dinero inviertes respondiendo preguntas determina; j : 20. Sim : 0.19226079; No similar. 
 muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin  ; j : 21. Sim : 0.2885878; No similar. 
 valdedrama oye bebe dono teleton2018 elfotis dona pues alguien sumar 3000 pesos movamonosporteleton; j : 22. Sim : 0.05009542; No similar. 
 palmaedwin hoy entregamos segunda obra social marco aniversario numero 96 usofrenteobrero proximo m; j : 23. Sim : 0.38665757; No similar. 
 valdedrama chicos vamos solo tuit apoyando buena causa vamos puede vale pena movamonosporteletonbdb; j : 24. Sim : 0.16670024; No similar. 
 jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla  ; j : 25. Sim : 0.23019955; No similar. 
 andrespardoa colombia podria cambiar base minima cobro impuesto patrimonio viceministro hacienda an; j : 26. Sim : 0.34326148; No similar. 
 juanchodrm aniversario numero 95 usofrenteobrero cesar carrillo tan solo mes asesinaron 15 companer; j : 27. Sim : 0.35307413; No similar. 
 danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica; j : 28. Sim : 0.4343073; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 29. Sim : 0.52774185; Baja. 
 comision derechos humanos paz union sindical obrera uso hace llegar calido saludo colectivo labelur; j : 30. Sim : 0.44005176; No similar. 
 usocasabe intervencion uso cafeteria campo casabe celebramos 96 anos lucha reafirmamos conviccion p; j : 31. Sim : 0.43958887; No similar. 
 bluradioco registraduria emite primer boletin consultaliberal 2696 mesas escrutadas delacallehum 54; j : 32. Sim : 0.38102233; No similar. 
 aorgulloso persiste negociacion uso usofrenteobrero ecopetrolsa sindicato insiste lograr acuerdo co; j : 33. Sim : 0.2327384; No similar. 
 gelsylozano palmaedwin usofrenteobrero energias limpias generan tres veces mas puestos trabajo habl; j : 34. Sim : 0.40718436; No similar. 
 jerobledo defensoria pueblo dice 343 lideres sociales defensores derechos humanos sido asesinados c; j : 35. Sim : 0.45806116; No similar. 
 usofrenteobrero sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do; j : 36. Sim : 0.41234642; No similar. 
 usometa trabajadores usometa schlumberger colombia rompen dialogo recursos humanos rh incumplimient; j : 37. Sim : 0.50505304; Baja. 
