Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos escribirnos detalles dm directo ayudarte caso ocurrido atentos quedamos 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.10214474; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.17112966; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.1363124; No similar. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 4. Sim : 0.57930416; Baja. 
 zerepbox sfcsupervisor buenos dias escribenos favor mensaje interno revisar caso area encargada que; j : 5. Sim : 0.69236; Media. 
 pasteldecubios buenos dias permitenos ayudarte escribemos favor dm revisar caso area encargada qued; j : 6. Sim : 0.62941474; Baja. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 7. Sim : 0.69058806; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 8. Sim : 0.6642036; Baja. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 9. Sim : 0.6760722; Media. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 10. Sim : 0.6962738; Media. 
 jorgearmandoo hola jorge favor envianos datos contacto via dm remitir caso area encargada quedamos ; j : 11. Sim : 0.7140129; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 12. Sim : 0.68979704; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 13. Sim : 0.5143346; Baja. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 14. Sim : 0.53461385; Baja. 
 curramberillo gloriai4 buenos dias jota permitenos ayudarte envianos caso datos contacto dm quedamo; j : 15. Sim : 0.67056996; Media. 
 andrearrengifo sfcsupervisor favor cuentanos caso via dm colaborarte junto datos personales quedamo; j : 16. Sim : 0.7726672; Media. 
 luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm ; j : 17. Sim : 0.65907985; Baja. 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 18. Sim : 0.6052876; Baja. 
 jairoqra buenas tardes jairo envianos numero contacto dm enviar caso area encargada quedamos atento; j : 19. Sim : 0.60263383; Baja. 
 hola cerocarreta lamentamos molestias gustaria conocer detalle caso darte soluciones puedes escribi; j : 20. Sim : 0.7021643; Media. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 21. Sim : 0.62589854; Baja. 
 jorgearmandoo buenos dias jorge favor envianos datos personales via dm colaborarte caso feliz dia  ; j : 22. Sim : 0.62856865; Baja. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 23. Sim : 0.65854335; Baja. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 24. Sim : 0.6165372; Baja. 
 evento bogota seminariodeeconomia 510 wall street or main street who to bail out 07022018 labelurl ; j : 25. Sim : 0.07880774; No similar. 
 evento cali conferencia separate state dependence experience and heterogeneity in model of youth cr; j : 26. Sim : 0.14452715; No similar. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 27. Sim : 0.5171504; Baja. 
 hola gatomansoskull gustaria saber mas caso puedes favor contarnos detalle via dm asi poder darte s; j : 28. Sim : 0.6079023; Baja. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 29. Sim : 0.06501623; No similar. 
 dacabe2 hola daniel permitenos ayudarte envianos detalles caso dm revisarlo area encargada quedamos; j : 30. Sim : 0.68738294; Media. 
 g3rbar hola german permitenos ayudarte escribenos detalles caso dm revisarlo area encargada quedamo; j : 31. Sim : 0.6569898; Baja. 
 devoralibro hola clau permitenos ayudarte escribenos favor interno revisar caso area encargada qued; j : 32. Sim : 0.67145693; Media. 
 jexa10 hola jenny permitenos ayudarte escribenos favor interno revisar caso area encargada quedamos; j : 33. Sim : 0.66276073; Baja. 
 civavior hola vane permitenos ayudarte escribenos dm detalles caso revisarlo area encargada quedamo; j : 34. Sim : 0.6860782; Media. 
 natafranm yubertsanchez nathaly gracias escribirnos cuentanos detalles caso dm poder colaborarte qu; j : 35. Sim : 0.71709996; Media. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 36. Sim : 0.13404177; No similar. 
 cadripg hola adriana favor amplianos dm detalles ocurrido validar caso area encargada quedamos aten; j : 37. Sim : 0.71854675; Media. 
 nayibsk8 hola juan permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos ate; j : 38. Sim : 0.6614311; Baja. 
