Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos escribirnos detalles dm directo ayudarte 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.18957023; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.22541611; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.19533765; No similar. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 4. Sim : 0.5555714; Baja. 
 zerepbox sfcsupervisor buenos dias escribenos favor mensaje interno revisar caso area encargada que; j : 5. Sim : 0.5799202; Baja. 
 pasteldecubios buenos dias permitenos ayudarte escribemos favor dm revisar caso area encargada qued; j : 6. Sim : 0.552267; Baja. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 7. Sim : 0.5928663; Baja. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 8. Sim : 0.56310725; Baja. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 9. Sim : 0.59676296; Baja. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 10. Sim : 0.60440826; Baja. 
 jorgearmandoo hola jorge favor envianos datos contacto via dm remitir caso area encargada quedamos ; j : 11. Sim : 0.6619831; Baja. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 12. Sim : 0.5920814; Baja. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 13. Sim : 0.48937818; No similar. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 14. Sim : 0.5207993; Baja. 
 curramberillo gloriai4 buenos dias jota permitenos ayudarte envianos caso datos contacto dm quedamo; j : 15. Sim : 0.5971467; Baja. 
 andrearrengifo sfcsupervisor favor cuentanos caso via dm colaborarte junto datos personales quedamo; j : 16. Sim : 0.6784785; Media. 
 luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm ; j : 17. Sim : 0.66389066; Baja. 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 18. Sim : 0.6741995; Media. 
 jairoqra buenas tardes jairo envianos numero contacto dm enviar caso area encargada quedamos atento; j : 19. Sim : 0.5265107; Baja. 
 hola cerocarreta lamentamos molestias gustaria conocer detalle caso darte soluciones puedes escribi; j : 20. Sim : 0.66238487; Baja. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 21. Sim : 0.6020843; Baja. 
 jorgearmandoo buenos dias jorge favor envianos datos personales via dm colaborarte caso feliz dia  ; j : 22. Sim : 0.5955323; Baja. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 23. Sim : 0.61871743; Baja. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 24. Sim : 0.6277613; Baja. 
 evento bogota seminariodeeconomia 510 wall street or main street who to bail out 07022018 labelurl ; j : 25. Sim : 0.14976493; No similar. 
 evento cali conferencia separate state dependence experience and heterogeneity in model of youth cr; j : 26. Sim : 0.21894085; No similar. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 27. Sim : 0.51475143; Baja. 
 hola gatomansoskull gustaria saber mas caso puedes favor contarnos detalle via dm asi poder darte s; j : 28. Sim : 0.5956592; Baja. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 29. Sim : 0.12367797; No similar. 
 dacabe2 hola daniel permitenos ayudarte envianos detalles caso dm revisarlo area encargada quedamos; j : 30. Sim : 0.63469356; Baja. 
 g3rbar hola german permitenos ayudarte escribenos detalles caso dm revisarlo area encargada quedamo; j : 31. Sim : 0.6013715; Baja. 
 devoralibro hola clau permitenos ayudarte escribenos favor interno revisar caso area encargada qued; j : 32. Sim : 0.5804932; Baja. 
 jexa10 hola jenny permitenos ayudarte escribenos favor interno revisar caso area encargada quedamos; j : 33. Sim : 0.6076833; Baja. 
 civavior hola vane permitenos ayudarte escribenos dm detalles caso revisarlo area encargada quedamo; j : 34. Sim : 0.62640244; Baja. 
 natafranm yubertsanchez nathaly gracias escribirnos cuentanos detalles caso dm poder colaborarte qu; j : 35. Sim : 0.681411; Media. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 36. Sim : 0.17751694; No similar. 
 cadripg hola adriana favor amplianos dm detalles ocurrido validar caso area encargada quedamos aten; j : 37. Sim : 0.5959117; Baja. 
