Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias atentos quedamos datos bancorepublica si saludos envianos 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.18297713; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.16211867; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.15841705; No similar. 
 fdbedout incluso si proceso paz fracasara farc tendrian 7132 armas menos manos ven pateticos guerre; j : 4. Sim : 0.07401094; No similar. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 5. Sim : 0.7680387; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 6. Sim : 0.70545167; Media. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 7. Sim : 0.63929653; Baja. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 8. Sim : 0.733429; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 9. Sim : 0.6213801; Baja. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 10. Sim : 0.7360781; Media. 
 seelejg buenos dias julian gracias escribirnos envianos caso dm tomar medidas necesarias quedamos a; j : 11. Sim : 0.6644295; Baja. 
 si consideras invertir finca raiz busca herramientas ahorro den rentabilidad fija completar cuota i; j : 12. Sim : 0.23184624; No similar. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 13. Sim : 0.16098526; No similar. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 14. Sim : 0.60412097; Baja. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 15. Sim : 0.63173175; Baja. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 16. Sim : 0.19427378; No similar. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 17. Sim : 0.6890462; Media. 
 comandantemad77 sfcsupervisor chenel atendimos caso via dm respuesta enviada correo electronico per; j : 18. Sim : 0.51666856; Baja. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 19. Sim : 0.5153007; Baja. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 20. Sim : 0.73216087; Media. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 21. Sim : 0.5844267; Baja. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 22. Sim : 0.27560842; No similar. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 23. Sim : 0.72834647; Media. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 24. Sim : 0.7836291; Media. 
 jorgearmandoo buenos dias jorge permitenos colaborarte envianos caso datos contacto dm quedamos ate; j : 25. Sim : 0.70385957; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 26. Sim : 0.16292255; No similar. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 27. Sim : 0.7321312; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 28. Sim : 0.6650945; Baja. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 29. Sim : 0.7537524; Media. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 30. Sim : 0.73596483; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 31. Sim : 0.741348; Media. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 32. Sim : 0.7727633; Media. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 33. Sim : 0.76101595; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 34. Sim : 0.7421319; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 35. Sim : 0.72527814; Media. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 36. Sim : 0.7481311; Media. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 37. Sim : 0.2717519; No similar. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 38. Sim : 0.81010187; Media. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 39. Sim : 0.73584396; Media. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 40. Sim : 0.76332164; Media. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 41. Sim : 0.077486694; No similar. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 42. Sim : 0.62909466; Baja. 
 dfmguerrero buenos dias fernando cuentanos detalle caso dm enviarlo area encargada quedamos atentos; j : 43. Sim : 0.57894933; Baja. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 44. Sim : 0.5845644; Baja. 
 divagandoando buenos dias envianos datos contacto dm validar caso area encargada quedamos atentos  ; j : 45. Sim : 0.7787453; Media. 
 feliperesrrepo buenos dias felipe cuentanos detalle experiencia dm reportarla area encargada quedam; j : 46. Sim : 0.6228836; Baja. 
 evento bogota seminariodeeconomia 499 credit risk and monetary passthrough evidence from chile 0111; j : 47. Sim : 0.26134008; No similar. 
 jerobledo hechos estan dando razon declararnos oposicion gobierno hoy rueda prensa organizada banca; j : 48. Sim : 0.25811794; No similar. 
 lfmaguin hola luis fernando permitenos colaborarte cuentanos caso dm gestionarlo area encargada que; j : 49. Sim : 0.5016114; Baja. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 50. Sim : 0.6831378; Media. 
 jorgoconrobledo puede haber ninguna duda cicaterias mezquindades debe reparar toda zona afectada es; j : 51. Sim : 0.0032116012; No similar. 
 dared76holguin danny gusto enviaremos caso area encargada seguridad recomendamos eliminar datos for; j : 52. Sim : 0.48625633; No similar. 
 hoy hace 480 anos fundo hermosa ciudad cali queremos celebrar junto ser ciudad labelurl  ; j : 53. Sim : 0.14127144; No similar. 
 frasedeldia si deseas tener exito busca nuevos caminos lugar recorrer caminos tradicionales exito l; j : 54. Sim : 0.3273855; No similar. 
 lunatiikarude vengo denunciar estan matando lideres lideresas sociales n joven polarice deje sembra; j : 55. Sim : 0.12835738; No similar. 
 dia hoy inicia comite reunion do dias espera banco central anuncie cuarta ult labelurl  ; j : 56. Sim : 0.2569339; No similar. 
 juandamont tuboletanews juan permitenos ayudarte envianos caso datos contacto dm colaborarte quedam; j : 57. Sim : 0.71342707; Media. 
 valdedrama vacaciones estres hacer vueltas banco va quitar felicidad gracias vida hacerme contemp  ; j : 58. Sim : 0.31581983; No similar. 
 unimos global money week recordandote importancia cultivar edades tempranas hijos educacion financi; j : 59. Sim : 0.15286668; No similar. 
 destacan ediciones lituano persa tartaro turco vietnames yugoeslavo eston croata danes esloveno b l; j : 60. Sim : 0.07766344; No similar. 
 pepar1950 pedro envianos caso datos contacto dm revisarlo area encargada quedamos atentos  ; j : 61. Sim : 0.71478146; Media. 
 sebasea buenos dias sebas envianos comentas dm revisarlo area encargada quedamos atentos  ; j : 62. Sim : 0.59191954; Baja. 
 diarionocturno nicolas permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 63. Sim : 0.6025192; Baja. 
 jblasdoxt buenos dias diana envianos caso dm revisarlo area encargada quedamos atentos  ; j : 64. Sim : 0.6476986; Baja. 
 pilitarojas hola pilar permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 65. Sim : 0.6803318; Media. 
 carito2012ley carolina permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 66. Sim : 0.5750075; Baja. 
 lufeviga83 lupe permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 67. Sim : 0.6165374; Baja. 
 alvaradolucia hola nadia permitenos colaborarte envianos caso datos contacto dm gestionarlo area en; j : 68. Sim : 0.59406453; Baja. 
 iris9112 hola isa permitenos colaborarte envianos datos personales caso via dm pendientes saludos  ; j : 69. Sim : 0.6478043; Baja. 
 alvaradolucia nadia envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 70. Sim : 0.73606545; Media. 
 carloswaltherr carlos gracias reportarnos caso revisaremos area encargada poder darte respuesta sal; j : 71. Sim : 0.6127071; Baja. 
 ginamarce hola gigi permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos ; j : 72. Sim : 0.65122694; Baja. 
 isabelitarh isabel permitenos ayudarte envianos caso dm gestionarlo area encargada quedamos atentos; j : 73. Sim : 0.6082809; Baja. 
 diarionocturno pibegeek sfcsupervisor atentos colaborarte caso via dm necesitamos datos personales ; j : 74. Sim : 0.6134935; Baja. 
 namontanop nelson permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos ; j : 75. Sim : 0.6934299; Media. 
 jsant84 jennifer permitenos ayudarte envianos caso dm datos contacto colaborarte quedamos atentos  ; j : 76. Sim : 0.7036977; Media. 
 anovasa albert permitenos colaborarte envianos caso datos contacto dm ayudarte quedamos atentos  ; j : 77. Sim : 0.69390696; Media. 
 lukasmeluk muchas gracias reporte lukas pasamos area encargada sulucionen mas pronto posible saludo; j : 78. Sim : 0.48659882; No similar. 
 jennifergutiers hola jennifer gracias escribirnos envianos caso datos contacto dm colaborarte queda; j : 79. Sim : 0.8189109; Media. 
 johdaz19 hola john permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 80. Sim : 0.6988416; Media. 
 maocastillope mauricio permitemos ayudarte envianos caso dm gestionarlo area encargada quedamos ate; j : 81. Sim : 0.6516481; Baja. 
 joselvilladiego jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 82. Sim : 0.72339964; Media. 
 jamankind hola jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atento; j : 83. Sim : 0.73279434; Media. 
 cavendish09 hola walter permitenos ayudarte envianos caso datos contacto dm quedamos atentos saludo; j : 84. Sim : 0.7622516; Media. 
 edwardrico68 hola edward permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos a; j : 85. Sim : 0.7393472; Media. 
 paulandreab hola paula permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 86. Sim : 0.7173125; Media. 
 henryluisp hola henry permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos aten; j : 87. Sim : 0.7057139; Media. 
 notcarlosperez carlos gracias escribirnos envianos caso datos contacto dm colaborarte quedamos aten; j : 88. Sim : 0.7795028; Media. 
 cristiangbd2 ponemos trabas queremos agilizar proceso poder darle esposa solucion mas pronto posibl; j : 89. Sim : 0.2702666; No similar. 
 banrepeduca lanza 10a version concurso ensayo banca escolar banca central dirigido est labelurl  ; j : 90. Sim : 0.10819339; No similar. 
 natipatilla hola gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos ate; j : 91. Sim : 0.82328945; Media. 
 raulfdrodriguez hola raul permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ; j : 92. Sim : 0.7103405; Media. 
 evento recuerde cita manana bogota seminariodeeconomia 501 specialization pattern in international ; j : 93. Sim : 0.22314969; No similar. 
 hedbot edwin permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 94. Sim : 0.7048046; Media. 
 almehandrag hola aleja permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 95. Sim : 0.7275032; Media. 
 mloreguti gusto inaugurar restaurante acento hotel intercontinental cali hotelesestelar acompanaron; j : 96. Sim : 0.115098275; No similar. 
 mdgarzon miguel permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 97. Sim : 0.70759153; Media. 
 linapiedrahita5 lina cuentanos detalle caso dm envianos soportes datos contacto quedamos atentos  ; j : 98. Sim : 0.74689066; Media. 
 hijo pidio maleta nueva aunque anterior aun sirvensi senornsi leiste cantando nuest labelurl  ; j : 99. Sim : 0.30706358; No similar. 
 hola fabiandevia interesa conocer motivo comentario puedes escribirnos via dm conocer detalle caso ; j : 100. Sim : 0.54358065; Baja. 
 hola silviavalenti interesa conocer detalle caso darte soluciones puedes escribirnos via dm saludos; j : 101. Sim : 0.5983728; Baja. 
 pazupersonica hola paz permitenos ayudarte envianos consulta datos contacto dm colaborarte quedamos; j : 102. Sim : 0.6680129; Baja. 
 mariaantoniay buenos dias maria antonia cuentanos dm caso poder colaborarte quedamos atentos  ; j : 103. Sim : 0.48901382; No similar. 
 estan ofreciendo ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda ma labelurl; j : 104. Sim : 0.15412647; No similar. 
 yucolsa seminario nuevo regimen cambios internacionales sera trasmitido via stream siganos pr label; j : 105. Sim : 0.27689883; No similar. 
 lugar podra interpretar ensayar escribir producir musica ademas consultar contenidos sonidos pacifi; j : 106. Sim : 0.27618492; No similar. 
 arizaivan hola ivan permitenos ayudarte envianos consulta datos contacto dm colaborarte quedamos at; j : 107. Sim : 0.73089445; Media. 
 jorgearmandoo buenos dias jorge vamos validar comentas area encargada manejando caso dm  ; j : 108. Sim : 0.46729976; No similar. 
 turistas visiten aeropuerto bogeldorado pueden conocer nueva familia billet cuyos disenos exa label; j : 109. Sim : 0.275179; No similar. 
 hola ilbiancodelsud interesa conocer caso generar soluciones puedes escribirnos via inbox datos not; j : 110. Sim : 0.5747829; Baja. 
 pibegeek hola pablo gracias escribirnos cuentanos experiencia dm gestionarla area encargada quedamo; j : 111. Sim : 0.5962948; Baja. 
 estan ofreciendo ganancias fijas altas corto tiempo si invierte criptomonedas cuidado and labelurl ; j : 112. Sim : 0.23398487; No similar. 
 damos bienvenida daniel nino fundador pyxis economica conectese siguiente enlace conocer mas deta l; j : 113. Sim : 0.2994064; No similar. 
 bde banca escolar banca central hace parte programa educacion economica financiera banrepeduca labe; j : 114. Sim : 0.09890289; No similar. 
 jacorame hola javier permitenos ayudarte cuentanos caso dm envianos datos contacto quedamos atentos; j : 115. Sim : 0.73380363; Media. 
 medios regionales pueden participar rueda prensa dara hoy finalizar reunion junta dire labelurl  ; j : 116. Sim : 0.20514078; No similar. 
 institutobcp hoy comenzamos cursotaller infraestructura mercados cuyo instructor director dpto fidu; j : 117. Sim : 0.16332112; No similar. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 118. Sim : 0.14643644; No similar. 
 bel concurso banca escolar banca central hace parte programa educacion economica financiera labelur; j : 119. Sim : 0.07443857; No similar. 
