Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm 
 bandrespardoa we expect authorities to secure passage of significant structural tax reform to prese; j : 1. Sim : 0.17445107; No similar. 
 festereopicnic fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2; j : 2. Sim : 0.04510245; No similar. 
 luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm ; j : 3. Sim : 0.64417267; Baja. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 4. Sim : 0.6022003; Baja. 
 zalathielc buen dia favor envianos dm datos nombre cedula telefono documentacion tramite quedamos a; j : 5. Sim : 0.6543052; Baja. 
 binvestigacionesbanrep borrador 1049 an auctionbased test of private information in an interdealer ; j : 6. Sim : 0.17927817; No similar. 
 roberto junguito antonio hernandez armando montenegro hugo palacios leonardo villar olga lucia acos; j : 7. Sim : 0.20069838; No similar. 
 juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos; j : 8. Sim : 0.57702816; Baja. 
 jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte que; j : 9. Sim : 0.5763795; Baja. 
 ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz d; j : 10. Sim : 0.5670386; Baja. 
 rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atent; j : 11. Sim : 0.6340653; Baja. 
 araacuna sfcsupervisor hola alvaro favor envianos numero cedula via dm procesar solicitud quedamos ; j : 12. Sim : 0.60189253; Baja. 
 rabedo86 buenas tardes rabedo86 contactanos via mensaje directo poder atender solicitud atentos sal; j : 13. Sim : 0.6035178; Baja. 
 katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos ate; j : 14. Sim : 0.67668176; Media. 
 f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia  ; j : 15. Sim : 0.638816; Baja. 
 ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo que; j : 16. Sim : 0.7302586; Media. 
 oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedam; j : 17. Sim : 0.69096535; Media. 
 auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atent; j : 18. Sim : 0.5817259; Baja. 
