Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.038610537; No similar. 
 bdrpadillach pocos dias amigos pa inicie sodacirque7d by cirque du soleil promos si pagan bancosava; j : 2. Sim : 0.22577982; No similar. 
 fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga ind; j : 3. Sim : 0.3515538; No similar. 
 petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia; j : 4. Sim : 0.43083468; No similar. 
 andrespardoa banrepublica hizo bien comenzar subir tasas inter hizo mal dar senales correctas anali; j : 5. Sim : 0.32086915; No similar. 
 mlorozco78 usofrenteobrero ecopetrolsa minminas mintrabajocol mafsul baena aliciaarango viva union ; j : 6. Sim : 0.40028915; No similar. 
 elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera ; j : 7. Sim : 0.3416385; No similar. 
 usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor  ; j : 8. Sim : 0.47279388; No similar. 
 petrogustavo encuesta datexco vamos bien extinguio diferencia habia sacado fajardo subimos intencio; j : 9. Sim : 0.285396; No similar. 
 petroguia union sindical obrera industria petroleo prefiere huelga general tribunales si logra acue; j : 10. Sim : 0.4721275; No similar. 
 muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin  ; j : 11. Sim : 0.29311302; No similar. 
 danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica; j : 12. Sim : 0.42272186; No similar. 
 bcavirtual bcavirtual hoy 25 agosto ecopetrol cumpliendo 67 anos vida palmaedwin usofrenteobrero us; j : 13. Sim : 0.36722615; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 14. Sim : 0.5532222; Baja. 
 usofrenteobrero usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar; j : 15. Sim : 0.3320705; No similar. 
 valdedrama chicos vamos solo tuit apoyando buena causa vamos puede vale pena movamonosporteletonbdb; j : 16. Sim : 0.1789765; No similar. 
 jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla  ; j : 17. Sim : 0.25841233; No similar. 
 andrespardoa colombia podria cambiar base minima cobro impuesto patrimonio viceministro hacienda an; j : 18. Sim : 0.35182735; No similar. 
 usocasabe hora puerta principal campo casabe conmemoracion 31 anos asesinato manuel gustavo chacon ; j : 19. Sim : 0.4725283; No similar. 
 usofrenteobrero martes 14 agosto 800am calle 35 725 bogota sede uso rueda prensa ac  ; j : 20. Sim : 0.36804092; No similar. 
 bcavirtual acabo ver ecopetrol uso firmaron nueva convencion colectiva trabajo 20182022 palmaedwin ; j : 21. Sim : 0.33718267; No similar. 
 andrespardoa argentina valor contratos seguro impago cds 1 ano subio 2600 7500 2 dias valor co  ; j : 22. Sim : 0.40777043; No similar. 
 comision derechos humanos paz union sindical obrera uso hace llegar calido saludo colectivo labelur; j : 23. Sim : 0.46887544; No similar. 
 aorgulloso persiste negociacion uso usofrenteobrero ecopetrolsa sindicato insiste lograr acuerdo co; j : 24. Sim : 0.25870636; No similar. 
 usocasabe intervencion uso cafeteria campo casabe celebramos 96 anos lucha reafirmamos conviccion p; j : 25. Sim : 0.43882304; No similar. 
 aocampon trabajadores contratistas campo rubiales meta manifiestan apoyo total usofrenteobrero usom; j : 26. Sim : 0.2789481; No similar. 
 usometa trabajadores usometa schlumberger colombia rompen dialogo recursos humanos rh incumplimient; j : 27. Sim : 0.51226395; Baja. 
 usofrenteobrero sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do; j : 28. Sim : 0.42926207; No similar. 
 bluradioco registraduria emite primer boletin consultaliberal 2696 mesas escrutadas delacallehum 54; j : 29. Sim : 0.3705528; No similar. 
 jcontrerasa listo salir correr 10k mmb atletismo deporte day sunday journalist equipo porvenirofici; j : 30. Sim : 0.20365737; No similar. 
 usocasabe usocasabe logra reintegro pago salarios trabajadora casino habia sido terminado contrato ; j : 31. Sim : 0.2723081; No similar. 
 palmaedwin asi nacio usofrenteobrero hace 95 anos sindicato siento orgulloso pertenecer dirigir som; j : 32. Sim : 0.31958508; No similar. 
 juego identidad dia negros personas pintan cara cosmetico negro dia blancos cubren talco  ; j : 33. Sim : 0.32691732; No similar. 
 palmaedwin juez constitucional ordena navierafluvial negociar pliego peticiones presento usofrenteo; j : 34. Sim : 0.25366566; No similar. 
 bcavirtual bcavirtual defensa ecopetrol patrimonio publico sera base pliego dice uso palmaedwin uso; j : 35. Sim : 0.2909174; No similar. 
