Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias atentos quedamos datos bancorepublica si saludos envianos area colaborarte 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.2545141; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.25452903; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.25834492; No similar. 
 fdbedout incluso si proceso paz fracasara farc tendrian 7132 armas menos manos ven pateticos guerre; j : 4. Sim : 0.07914336; No similar. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 5. Sim : 0.7747809; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 6. Sim : 0.72613645; Media. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 7. Sim : 0.75103974; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 8. Sim : 0.75948185; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 9. Sim : 0.7455631; Media. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 10. Sim : 0.7710323; Media. 
 seelejg buenos dias julian gracias escribirnos envianos caso dm tomar medidas necesarias quedamos a; j : 11. Sim : 0.6290567; Baja. 
 si consideras invertir finca raiz busca herramientas ahorro den rentabilidad fija completar cuota i; j : 12. Sim : 0.23395196; No similar. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 13. Sim : 0.23413438; No similar. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 14. Sim : 0.64236647; Baja. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 15. Sim : 0.67097086; Media. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 16. Sim : 0.24119464; No similar. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 17. Sim : 0.7051152; Media. 
 comandantemad77 sfcsupervisor chenel atendimos caso via dm respuesta enviada correo electronico per; j : 18. Sim : 0.57455945; Baja. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 19. Sim : 0.52415; Baja. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 20. Sim : 0.69078577; Media. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 21. Sim : 0.6921929; Media. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 22. Sim : 0.32875922; No similar. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 23. Sim : 0.76785487; Media. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 24. Sim : 0.7798117; Media. 
 jorgearmandoo buenos dias jorge permitenos colaborarte envianos caso datos contacto dm quedamos ate; j : 25. Sim : 0.7591086; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 26. Sim : 0.25713944; No similar. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 27. Sim : 0.74050814; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 28. Sim : 0.69597065; Media. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 29. Sim : 0.7258636; Media. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 30. Sim : 0.74802387; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 31. Sim : 0.70421475; Media. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 32. Sim : 0.7465493; Media. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 33. Sim : 0.8089283; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 34. Sim : 0.71246934; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 35. Sim : 0.7105972; Media. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 36. Sim : 0.769935; Media. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 37. Sim : 0.32950592; No similar. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 38. Sim : 0.82603157; Media. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 39. Sim : 0.76755065; Media. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 40. Sim : 0.73319894; Media. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 41. Sim : 0.14741208; No similar. 
