Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm informacion numero 
 bandrespardoa we expect authorities to secure passage of significant structural tax reform to prese; j : 1. Sim : 0.23039268; No similar. 
 festereopicnic fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2018 fep2; j : 2. Sim : 0.042087223; No similar. 
 luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm ; j : 3. Sim : 0.6316798; Baja. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 4. Sim : 0.6142076; Baja. 
 zalathielc buen dia favor envianos dm datos nombre cedula telefono documentacion tramite quedamos a; j : 5. Sim : 0.7532584; Media. 
 binvestigacionesbanrep borrador 1049 an auctionbased test of private information in an interdealer ; j : 6. Sim : 0.24896204; No similar. 
 roberto junguito antonio hernandez armando montenegro hugo palacios leonardo villar olga lucia acos; j : 7. Sim : 0.26934174; No similar. 
 juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos; j : 8. Sim : 0.62532943; Baja. 
 jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte que; j : 9. Sim : 0.61372125; Baja. 
 ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz d; j : 10. Sim : 0.6138773; Baja. 
 rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atent; j : 11. Sim : 0.59747154; Baja. 
 araacuna sfcsupervisor hola alvaro favor envianos numero cedula via dm procesar solicitud quedamos ; j : 12. Sim : 0.6889572; Media. 
 rabedo86 buenas tardes rabedo86 contactanos via mensaje directo poder atender solicitud atentos sal; j : 13. Sim : 0.6005697; Baja. 
 katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos ate; j : 14. Sim : 0.70518804; Media. 
 f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia  ; j : 15. Sim : 0.7201269; Media. 
 ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo que; j : 16. Sim : 0.76990026; Media. 
 oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedam; j : 17. Sim : 0.7744069; Media. 
 auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atent; j : 18. Sim : 0.58468944; Baja. 
 carlosjaimesl buen dia favor envianos datos nombre cedula celular dm contactarte quedamos atentos  ; j : 19. Sim : 0.72426635; Media. 
 eduardpajaro sfcsupervisor buen dia eduardo escribenos mensaje interno poder ayudarte mejor manera ; j : 20. Sim : 0.60233134; Baja. 
 camilomonroyp buen dia favor contactanos via mensaje interno poder asesorarte mejor manera saludos ; j : 21. Sim : 0.62858677; Baja. 
 cmauricio1978 buenos dias favor contactanos via mensaje directo atender solicitud poder ayudarte at; j : 22. Sim : 0.69380194; Media. 
 hollmanmorris asi quedaron ayer pasillos universidad cauca templos saber llenos represion dictadura; j : 23. Sim : 0.21615303; No similar. 
 lhr7 tuitbdb hola lhr7 queremos ayudarte favor compartenos numero cedula mensaje directo cu labelur; j : 24. Sim : 0.67134434; Media. 
 qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos; j : 25. Sim : 0.6449903; Baja. 
 andresjgomez hola andres amplianos favor informacion ocurrido dm validar podemos ayudarte quedamos ; j : 26. Sim : 0.6901815; Media. 
 qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos; j : 27. Sim : 0.6449903; Baja. 
 mauxwell hola mauricio permitenos ayudarte cuentanos favor mensaje interno detalles sucedido quedam; j : 28. Sim : 0.768027; Media. 
 santiagoccm lawneira bancode buen doble recuerda puedes participar mas vez sube mas fotos tuy label; j : 29. Sim : 0.4201323; No similar. 
 tovi0507 hola victor permitenos ayudarte escribenos favor dm ocurrido podemos ayudarte quedamos ate; j : 30. Sim : 0.6239457; Baja. 
 n0tamental hola andres gracias escribirnos amplianos favor informacion acerca ocurrido dm quedamos ; j : 31. Sim : 0.7721467; Media. 
 diegosar7 hola diego permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos at; j : 32. Sim : 0.6811068; Media. 
 arqaya hola luis amplianos favor informacion requerimiento dm poder validar ayudarte quedamos atent; j : 33. Sim : 0.7230362; Media. 
 tattz buen doble recuerda puedes participar mas vez sube mas fotos doble famoso pa labelurl  ; j : 34. Sim : 0.43741688; No similar. 
 negromar mooonaa wmancipe policiacolombia buen dia favor escribenos mensaje interno datos per label; j : 35. Sim : 0.52522033; Baja. 
 pipiule sfcsupervisor hola carlos poderte ayudar favor escribenos dm mensaje interno quedamos atent; j : 36. Sim : 0.68978834; Media. 
 juanchatoo hola juan david permitenos ayudarte escribenos favor dm detalles caso alli pediremos u l; j : 37. Sim : 0.62730813; Baja. 
 jusemohe hola juan sebastian permitenos ayudarte escribenos favor dm alli pediremos datos adi label; j : 38. Sim : 0.64221764; Baja. 
 mariosmejia hola mario comunicaremos mensaje directo contigo verificar datos favor siguenos poder c; j : 39. Sim : 0.7704124; Media. 
 morineira sfcsupervisor buenos dias permitenos ayudarte escribenos favor dm detalles ocurrido par l; j : 40. Sim : 0.64341825; Baja. 
 luischereno cccentromayor hola luis gracias escribirnos cuentanos favor detalles ocurrido dm quedam; j : 41. Sim : 0.7923363; Media. 
 alesarca hola alejandra amplianos favor informacion acerca ocurrido dm revisar caso quedamos atento; j : 42. Sim : 0.68126446; Media. 
 sergiozam11 sergio favor envianos mensaje interno datos poder contactarnos contigo buen dia  ; j : 43. Sim : 0.713094; Media. 
 natalialr26 buenos dias natalia gracias escribirnos puedes indicarnos sucursal encontraban encendid; j : 44. Sim : 0.5431825; Baja. 
 anamariaberand hola ana permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos; j : 45. Sim : 0.6962683; Media. 
 marthabarbieri lamentamos inconveniente presentas favor cuentanos caso dm poder ayudarte quedamos a; j : 46. Sim : 0.7068274; Media. 
 dia ayer legisladores britanicos aprobaron 412 votos 202 enmienda favor retrasar salid labelurl  ; j : 47. Sim : 0.3380261; No similar. 
 esoestalento buenos dias favor amplianos informacion acerca ocurrido dm revisar caso encarg labelur; j : 48. Sim : 0.58381116; Baja. 
 diegocastrofm buenas tardes favor escribenos mensaje interno poder asosorarte caso mejor manera  ; j : 49. Sim : 0.4117413; No similar. 
 flaviorestrepo flavio favor comunicate interno poder saber detalle caso saber podemos colaborar  ; j : 50. Sim : 0.46113494; No similar. 
 jonathan24252 buen dia favor contactanos medio mensaje interno poder asesorarte mejor manera  ; j : 51. Sim : 0.5710032; Baja. 
 investigacionesbanrep posturafiscal clark granger yurany hernandez jorge ramos jorge toro hector za; j : 52. Sim : 0.14065617; No similar. 
 karitoo83 hola gracias contarnos ocurrido favor dejanos datos mensaje hacer reporte cajeros saludos; j : 53. Sim : 0.73897344; Media. 
 danielgongorav sicsuper davidbarguil hola daniel gracias escribirnos favor dejanos datos hacer repo; j : 54. Sim : 0.6706155; Media. 
 vktrhgo gracias contarnos sucedido dm dejanos punto ocurrio inconveniente datos hacer reporte  ; j : 55. Sim : 0.6370792; Baja. 
 ahora turno disfrutar mejor festival musica encontrando doble famoso fep2018 doblesbdb cono labelur; j : 56. Sim : 0.24626482; No similar. 
 alejah09 hola gracias informacion imagenes puedes indicarnos dm sede refieres favor quedamos atento; j : 57. Sim : 0.73925364; Media. 
 sarboledam ahora turno disfrutar mejor festival musica doble perfecto fep2018 recuerda qu labelurl ; j : 58. Sim : 0.32305; No similar. 
 siendoangelika hola angelica favor cuentanos banco perteneces favor envianos numero celular mensaje; j : 59. Sim : 0.66451925; Baja. 
 chimilla hola chimilla queda claro comentario favor amplianos detalles sucedido dm quedamos atentos; j : 60. Sim : 0.6508189; Baja. 
 jdcs28 hola jdcs28 favor siguenos podernos contactar dm contigo modo aclarar todas du labelurl  ; j : 61. Sim : 0.54868823; Baja. 
 metropolicol deport atletismo carlos santiago hernandez liga cundinamarca cristian moreno soacha co; j : 62. Sim : 0.093289696; No similar. 
 andresvv hola andres gracias escribirnos cuentanos dm dia hora ocurrio sucedido quedamos atentos  ; j : 63. Sim : 0.6908658; Media. 
 leilachujfi aribon86 carcasg edilbertocalde1 merv59 antoniaher05 anita830 ramirezdo elchancho86 phi; j : 64. Sim : 0.009020581; No similar. 
 sydbareto hola sydbareto queremos ayudarte favor compartenos numero cedula mensaje directo rev labe; j : 65. Sim : 0.7185186; Media. 
 nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl  ; j : 66. Sim : 0.7909112; Media. 
 unmito hola unmito gracias escribirnos favor indicanos numero cedula mensaje directo par labelurl  ; j : 67. Sim : 0.7261902; Media. 
 nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl  ; j : 68. Sim : 0.7909112; Media. 
 rudolfhommes hola rudolf favor siguenos podernos comunicar contigo mensaje interno alli pedirem lab; j : 69. Sim : 0.6051896; Baja. 
 oscaracr tuitbdb hola oscaracr gracias escribirnos favor indicanos numero cedula mensaje di labelur; j : 70. Sim : 0.6493742; Baja. 
 martik hola martik queremos ayudarte favor compartenos numero cedula mensaje directo revisar labelu; j : 71. Sim : 0.7133853; Media. 
 eagocode hola eagocode gusto saludarte indicanos mensaje directo numero cedula poder ayudart labelu; j : 72. Sim : 0.5970617; Baja. 
 jpc0505 jpc0505 favor compartenos mensaje directo mas detalles ocurrido junto numero ce labelurl  ; j : 73. Sim : 0.63533765; Baja. 
 helbush hola helbush queremos ayudarte favor compartenos numero cedula mensaje directo revisar labe; j : 74. Sim : 0.75760466; Media. 
 martik hola martik queremos ayudarte favor compartenos numero cedula mensaje directo revisar labelu; j : 75. Sim : 0.7133853; Media. 
 dindico4 hola dennys amplianos favor informacion acerca ocurrido dm validar podemos ayud labelurl  ; j : 76. Sim : 0.6054898; Baja. 
 iemonroy sicsuper sfcsupervisor hola iemonroy queremos ayudarte favor compartenos numero cedula po ; j : 77. Sim : 0.54202; Baja. 
 andrewr bancolombia davivienda hola andrewr queremos ayudarte favor compartenos numero cedula po la; j : 78. Sim : 0.53857803; Baja. 
 susunaga7 hola bolisusu permitenos ayudarte amplianos favor detalles sucedido dm alli pedi labelurl; j : 79. Sim : 0.6284161; Baja. 
 uribistayque buenas tardes permitenos ayudarte amplianos favor informacion sucedido dm alli t label; j : 80. Sim : 0.5566273; Baja. 
 anyicastel hola anyi gustaria brindarte mas informacion favor siguenos poder enviarte mensaje direc; j : 81. Sim : 0.74937314; Media. 
 yakosalazar hola yako permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli label; j : 82. Sim : 0.67097443; Media. 
 soraya1003 hola soraya1003 gustaria brindarte mas informacion favor siguenos poder enviarte mensaje; j : 83. Sim : 0.6876118; Media. 
 faiberleon hola faiberleon gustaria brindarte mas informacion favor siguenos poder enviarte mensaje; j : 84. Sim : 0.72631574; Media. 
 jessefontalvo hola jessefontalvo gustaria brindarte mas informacion favor siguenos poder enviarte m; j : 85. Sim : 0.71434116; Media. 
 otalatita hola otalatita gustaria brindarte mas informacion favor siguenos poder enviarte mensaje d; j : 86. Sim : 0.72017527; Media. 
 marro1984 hola marro1984 gustaria brindarte mas informacion favor siguenos poder enviarte mensaje d; j : 87. Sim : 0.66268706; Baja. 
 alexramirez02 hola alexramirez02 gustaria brindarte mas informacion favor siguenos poder enviarte m; j : 88. Sim : 0.71024716; Media. 
 analiticocol hola analiticocol gustaria brindarte mas informacion favor siguenos poder enviarte men; j : 89. Sim : 0.6551353; Baja. 
 andyurreg hola andy gracias escribirnos amplianos favor informacion acerca ocurrido dm alli labelur; j : 90. Sim : 0.7362353; Media. 
 adrianapqr hola adriana permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli lab; j : 91. Sim : 0.65064603; Baja. 
