Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 2. Sim : 0.4414393; No similar. 
 andrespardoa eeuu crearon 288 mil empleos junio vs estimacion 215 mil tasa desempleo bajo 61 vs est; j : 3. Sim : 0.5414235; Baja. 
 andrespardoa eeuu crearon 288 mil empleos abril vs expectativa 210 mil tasa desempleo cae 63 vs exp; j : 4. Sim : 0.4770485; No similar. 
 andrespardoa economia eeuu contrajo 1 1er trimestre 2014 us gdp contract at pace of 1 in the first ; j : 5. Sim : 0.29610333; No similar. 
 andrespardoa eeuu crearon 192 mil empleos agricolas marzo vs consenso 200 mil tasa desempleo mantuv; j : 6. Sim : 0.48840845; No similar. 
 andrespardoa eeuu crearon solo 142 mil empleos agosto menor cifra va ano vs esperado 230 mil tasa d; j : 7. Sim : 0.3957963; No similar. 
 andrespardoa eeuu crearon 217 mil empleos mayo vs estimado 218 mil tasa desempleo estable 63 sigue ; j : 8. Sim : 0.49717537; No similar. 
 andrespardoa cepal forecast 2014 colombia gdp growth of 50 pct vs previous forecast of 45 pct reute; j : 9. Sim : 0.4067256; No similar. 
 andrespardoa colombia hoy 7 pm revela inflacion enero 2014 esperamos 059 mm 223 aa aqui informe ene; j : 10. Sim : 0.5375635; Baja. 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 11. Sim : 0.4802951; No similar. 
 informe diario agosto 13 2015 ventas minoristas eeuu rebotan julio crecen 06 mm segun esperado nlab; j : 12. Sim : 0.4885233; No similar. 
 informe diario mayo 13 2015 pib eurozona crecio 04 tt 1t15 acelerandose frente 4t14 03 tt labelurl ; j : 13. Sim : 0.4868206; No similar. 
 eeuu crearon 214 mil empleos agricolas octubre vs esperado 230 mil tasa desempleo baja 58 59  ; j : 14. Sim : 0.39438522; No similar. 
 andrespardoa colombia segun andicolombia produccion industrial crecio 22 ventas total crecieron 32 ; j : 15. Sim : 0.46552175; No similar. 
 andrespardoa eeuu consumo personal cae 01 mensual abril vs 02 esperado reduce probabilidad fuerte r; j : 16. Sim : 0.3679141; No similar. 
 andrespardoa colombia consumo hogares acelero crecer 51 1er trimestre 2014 vs 44 4to trimestre 2013; j : 17. Sim : 0.49053678; No similar. 
 pib 3q uk preliminar sale mejor esperado mom 05 vs 03 esperado yoy 23 vs 21 labelurl  ; j : 18. Sim : 0.28860983; No similar. 
 informe diario marzo 31 2015 tasa desempleo colombia bajo 99 febrero 2015 vs 107 hace ano labelurl ; j : 19. Sim : 0.5074745; Baja. 
 informe diario junio 30 2015 tasa desempleo colombia subio 89 mayo 2015 vs 88 hace ano labelurl  ; j : 20. Sim : 0.5275704; Baja. 
 informe diario octubre 14 2015 inflacion ipp cayo eeuu ubico 05 mm 11 aa septiembrenlabelurl  ; j : 21. Sim : 0.56781167; Baja. 
 informe diario agosto 19 2015 inflacion ipc eeuu subio 01 aa nucleo mantuvo 18 aa labelurl  ; j : 22. Sim : 0.5922809; Baja. 
 informe diario octubre 15 2015 inflacion ipc eeuu cayo septiembre 02 mm nucleo 19 aanlabelurl  ; j : 23. Sim : 0.56176955; Baja. 
 informe diario marzo 25 2015 ordenes bienes durables febrero cayeron 14 mm revirtiendo alza enero l; j : 24. Sim : 0.39673007; No similar. 
 informe diario septiembre 16 2015 inflacion ipc eeuu mantuvo 01 aa agosto nucleo 18 aa labelurl  ; j : 25. Sim : 0.58475894; Baja. 
 informe diario agosto 12 2015 produccion industrial eurozona cayo 04 mm 12 aa junio nlabelurl  ; j : 26. Sim : 0.3707623; No similar. 
 informe diario julio 3 2014 tasa desempleo eeuu disminuyo 61 junio crearon 288 mil nuevos empleos l; j : 27. Sim : 0.52153224; Baja. 
 informe diario octubre 30 2014 pib eeuu 3t14 crecio 35 banrep dejo inalterada tasa 45 labelurl  ; j : 28. Sim : 0.60481733; Baja. 
 andrespardoa eurozona economia crecio 02 1er trimestre 2014 vs 04 esperado decepciona aumenta proba; j : 29. Sim : 0.52068263; Baja. 
 andrespardoa colombia produccion industrial crecio 32 ventas total crecieron 39 primeros 4 meses 20; j : 30. Sim : 0.43803048; No similar. 
 andrespardoa colombia demanda interna crecio 87 1er trimestre vs 54 4to trimestre superando ampliam; j : 31. Sim : 0.4602563; No similar. 
 informe diario marzo 19 2015 deficit cuenta corriente eeuu aumento 1481 tt cuarto trimestre 2014 la; j : 32. Sim : 0.4923817; No similar. 
 japon aumenta estimulo monetario segun anticipamos inyectara 80 billones yen ano u750 mil millones ; j : 33. Sim : 0.37744197; No similar. 
 informe diario junio 18 2014 feed anuncio recorte 10 mil millones dolares qe3 partir julio labelurl; j : 34. Sim : 0.4049115; No similar. 
 andrespardoa colombia tasa desempleo cayo 111 enero 2014 vs 121 mismo mes 2013 continua recuperacio; j : 35. Sim : 0.54839617; Baja. 
 informe diario mayo 12 2015 encuesta jolt eeuu marzo registro leve descenso tras 5 meses mejoras la; j : 36. Sim : 0.4420828; No similar. 
