Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde anos 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.05604058; No similar. 
 bdrpadillach pocos dias amigos pa inicie sodacirque7d by cirque du soleil promos si pagan bancosava; j : 2. Sim : 0.26904568; No similar. 
 fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga ind; j : 3. Sim : 0.3677664; No similar. 
 petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia; j : 4. Sim : 0.4693437; No similar. 
 andrespardoa banrepublica hizo bien comenzar subir tasas inter hizo mal dar senales correctas anali; j : 5. Sim : 0.32212913; No similar. 
 mlorozco78 usofrenteobrero ecopetrolsa minminas mintrabajocol mafsul baena aliciaarango viva union ; j : 6. Sim : 0.4008007; No similar. 
 elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera ; j : 7. Sim : 0.39025772; No similar. 
 usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor  ; j : 8. Sim : 0.47030598; No similar. 
 petrogustavo encuesta datexco vamos bien extinguio diferencia habia sacado fajardo subimos intencio; j : 9. Sim : 0.31211337; No similar. 
 petroguia union sindical obrera industria petroleo prefiere huelga general tribunales si logra acue; j : 10. Sim : 0.4620475; No similar. 
 muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin  ; j : 11. Sim : 0.3042488; No similar. 
 danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica; j : 12. Sim : 0.43868434; No similar. 
 bcavirtual bcavirtual hoy 25 agosto ecopetrol cumpliendo 67 anos vida palmaedwin usofrenteobrero us; j : 13. Sim : 0.4151628; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 14. Sim : 0.5720152; Baja. 
 usofrenteobrero usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar; j : 15. Sim : 0.36401054; No similar. 
 valdedrama chicos vamos solo tuit apoyando buena causa vamos puede vale pena movamonosporteletonbdb; j : 16. Sim : 0.16832153; No similar. 
 jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla  ; j : 17. Sim : 0.28041726; No similar. 
 andrespardoa colombia podria cambiar base minima cobro impuesto patrimonio viceministro hacienda an; j : 18. Sim : 0.38573438; No similar. 
 usocasabe hora puerta principal campo casabe conmemoracion 31 anos asesinato manuel gustavo chacon ; j : 19. Sim : 0.52250516; Baja. 
 usofrenteobrero martes 14 agosto 800am calle 35 725 bogota sede uso rueda prensa ac  ; j : 20. Sim : 0.38385025; No similar. 
 bcavirtual acabo ver ecopetrol uso firmaron nueva convencion colectiva trabajo 20182022 palmaedwin ; j : 21. Sim : 0.35056487; No similar. 
 andrespardoa argentina valor contratos seguro impago cds 1 ano subio 2600 7500 2 dias valor co  ; j : 22. Sim : 0.45502684; No similar. 
 comision derechos humanos paz union sindical obrera uso hace llegar calido saludo colectivo labelur; j : 23. Sim : 0.47030267; No similar. 
 aorgulloso persiste negociacion uso usofrenteobrero ecopetrolsa sindicato insiste lograr acuerdo co; j : 24. Sim : 0.26608777; No similar. 
 usocasabe intervencion uso cafeteria campo casabe celebramos 96 anos lucha reafirmamos conviccion p; j : 25. Sim : 0.4912322; No similar. 
 aocampon trabajadores contratistas campo rubiales meta manifiestan apoyo total usofrenteobrero usom; j : 26. Sim : 0.26926544; No similar. 
 usometa trabajadores usometa schlumberger colombia rompen dialogo recursos humanos rh incumplimient; j : 27. Sim : 0.5240248; Baja. 
 usofrenteobrero sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do; j : 28. Sim : 0.45557114; No similar. 
 bluradioco registraduria emite primer boletin consultaliberal 2696 mesas escrutadas delacallehum 54; j : 29. Sim : 0.34271598; No similar. 
 jcontrerasa listo salir correr 10k mmb atletismo deporte day sunday journalist equipo porvenirofici; j : 30. Sim : 0.21012887; No similar. 
 usocasabe usocasabe logra reintegro pago salarios trabajadora casino habia sido terminado contrato ; j : 31. Sim : 0.2755795; No similar. 
 palmaedwin asi nacio usofrenteobrero hace 95 anos sindicato siento orgulloso pertenecer dirigir som; j : 32. Sim : 0.39166376; No similar. 
 juego identidad dia negros personas pintan cara cosmetico negro dia blancos cubren talco  ; j : 33. Sim : 0.33575293; No similar. 
 palmaedwin juez constitucional ordena navierafluvial negociar pliego peticiones presento usofrenteo; j : 34. Sim : 0.29555038; No similar. 
 bcavirtual bcavirtual defensa ecopetrol patrimonio publico sera base pliego dice uso palmaedwin uso; j : 35. Sim : 0.2914215; No similar. 
 betoccastro hoy cumplen 95 anos union sindical obrera usofrenteobrero medio dificultades luchas vic; j : 36. Sim : 0.438357; No similar. 
 solidaridad acdac1 hace 14 anos vivimos mismo episodio oitnoticias despues dio razon re labelurl  ; j : 37. Sim : 0.47602522; No similar. 
 petrogustavo cierto bajando impuestos gran capital crece empleo hecho ultimas decadas todas dere  ; j : 38. Sim : 0.3434322; No similar. 
 angela merkel logro formar coalicion gobierno alemanianel bloque conservador cdu canciller alemana ; j : 39. Sim : 0.36729643; No similar. 
 petrogustavo cierto bajando impuestos gran capital crece empleo hecho ultimas decadas todas dere  ; j : 40. Sim : 0.3434322; No similar. 
 howardrv0526 no12horas 1886 libraron primeras huelgas defender turnos trabajo vamos ser inferiores ; j : 41. Sim : 0.26594922; No similar. 
 usocasabe pesar todas dificultades 10 feb 1923 fundada clandestinidad union obrera union obreros  ; j : 42. Sim : 0.40319765; No similar. 
 palmaedwin razones esgrimio usofrenteobrero trabajadores petroleros hace 41 anos ir huelga mismas q; j : 43. Sim : 0.43644965; No similar. 
 usometa conozca logros lucha obrera usofrenteobrero tras 42 dias negociacion acuerdo convencional e; j : 44. Sim : 0.43040228; No similar. 
 anifco bogota xxix asambleaanif inicia intervencion miguel largacha presidente consejo directivo an; j : 45. Sim : 0.41649267; No similar. 
 soyandrejo hoy porveniroficial presento equipo deportistas despues cumplir 20 anos aniversario impu; j : 46. Sim : 0.453572; No similar. 
 nachoboada hoy ecopetrolsa adelanta diligencia d descargos companero ariel corzonsi empresa despide; j : 47. Sim : 0.34635246; No similar. 
 ecopetrolsa debe decirle verdad pais si ahorrar costos abandono mal pozos si tragedi labelurl  ; j : 48. Sim : 0.4118109; No similar. 
 andrespardoa paz colombia veran beneficios economicos nota cnnee opiniones jrestrepo mias xavierser; j : 49. Sim : 0.61762094; Baja. 
 andrespardoa hoy tampoco pinta bien peso colombiano cnbcworld emerge market currencies take batter ; j : 50. Sim : 0.18274622; No similar. 
 fabioariascut declarada desierta subasta energia eolica solar minminas gobierno debe usar extraordi; j : 51. Sim : 0.24396673; No similar. 
 justributaria noticias elespectador ecopetrolsa debe venderse sino fortalecerse asi puede lograr di; j : 52. Sim : 0.33078212; No similar. 
 usocasabe hoy reunion junta subdirectiva casabe revisando distintos temas trabajadores ajustando pl; j : 53. Sim : 0.4414422; No similar. 
 valdedrama casi inicia temporada sodacirque7d by cirque du soleil mejores show experienciasaval mag; j : 54. Sim : 0.023139644; No similar. 
 acdac1 atendiendo llamado defensor pueblo luego 51 dias pilotos acdac anuncian fin huelga labelurl ; j : 55. Sim : 0.28177333; No similar. 
 mashirafael felicitaciones andres manuel lopez obrador nuevo presidente mexico lindo querido victor; j : 56. Sim : 0.3735899; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 57. Sim : 0.5721093; Baja. 
 hoy celebramos vida seres dia dia dan mejor si cuidar darle mejor fami labelurl  ; j : 58. Sim : 0.36772674; No similar. 
 mjsarmientoa saludo union sindical obrera usofrenteobrero 95 anos existencia luchas historia duda r; j : 59. Sim : 0.49229166; No similar. 
 huelga da resultados luego 16 dias cese actividades tcbuen logra convencion colectiva tr labelurl  ; j : 60. Sim : 0.45842478; No similar. 
 usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar mauricio gomez ; j : 61. Sim : 0.35959452; No similar. 
 dias 14 agosto cesar loza presidente uso hablo caracol radio pliego peticiones si labelurl  ; j : 62. Sim : 0.42677313; No similar. 
