Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias atentos quedamos datos bancorepublica si saludos envianos area colaborarte encargada 
 colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with th; j : 1. Sim : 0.24834152; No similar. 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 2. Sim : 0.26051; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 3. Sim : 0.25980887; No similar. 
 fdbedout incluso si proceso paz fracasara farc tendrian 7132 armas menos manos ven pateticos guerre; j : 4. Sim : 0.047441237; No similar. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 5. Sim : 0.79424; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 6. Sim : 0.7662599; Media. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 7. Sim : 0.7641841; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 8. Sim : 0.7807258; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 9. Sim : 0.76325226; Media. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 10. Sim : 0.7984077; Media. 
 seelejg buenos dias julian gracias escribirnos envianos caso dm tomar medidas necesarias quedamos a; j : 11. Sim : 0.6156432; Baja. 
 si consideras invertir finca raiz busca herramientas ahorro den rentabilidad fija completar cuota i; j : 12. Sim : 0.2363261; No similar. 
 evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evi; j : 13. Sim : 0.23940353; No similar. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 14. Sim : 0.6897646; Media. 
 juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada que; j : 15. Sim : 0.70297587; Media. 
 evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded poli; j : 16. Sim : 0.24464925; No similar. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 17. Sim : 0.6842916; Media. 
 comandantemad77 sfcsupervisor chenel atendimos caso via dm respuesta enviada correo electronico per; j : 18. Sim : 0.571947; Baja. 
 kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feli; j : 19. Sim : 0.5073439; Baja. 
 gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm queda; j : 20. Sim : 0.67484975; Media. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 21. Sim : 0.7077492; Media. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 22. Sim : 0.31198838; No similar. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 23. Sim : 0.7919257; Media. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 24. Sim : 0.82035416; Media. 
 jorgearmandoo buenos dias jorge permitenos colaborarte envianos caso datos contacto dm quedamos ate; j : 25. Sim : 0.73930424; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 26. Sim : 0.2652052; No similar. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 27. Sim : 0.77755797; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 28. Sim : 0.73269254; Media. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 29. Sim : 0.7080298; Media. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 30. Sim : 0.7279914; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 31. Sim : 0.6873534; Media. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 32. Sim : 0.7266387; Media. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 33. Sim : 0.7995924; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 34. Sim : 0.6941331; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 35. Sim : 0.6896401; Media. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 36. Sim : 0.7683865; Media. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 37. Sim : 0.32458687; No similar. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 38. Sim : 0.8065633; Media. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 39. Sim : 0.7428891; Media. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 40. Sim : 0.7098183; Media. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 41. Sim : 0.14410432; No similar. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 42. Sim : 0.6906977; Media. 
 dfmguerrero buenos dias fernando cuentanos detalle caso dm enviarlo area encargada quedamos atentos; j : 43. Sim : 0.6778581; Media. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 44. Sim : 0.68534374; Media. 
 divagandoando buenos dias envianos datos contacto dm validar caso area encargada quedamos atentos  ; j : 45. Sim : 0.8225479; Media. 
 feliperesrrepo buenos dias felipe cuentanos detalle experiencia dm reportarla area encargada quedam; j : 46. Sim : 0.6976277; Media. 
 evento bogota seminariodeeconomia 499 credit risk and monetary passthrough evidence from chile 0111; j : 47. Sim : 0.3487812; No similar. 
 jerobledo hechos estan dando razon declararnos oposicion gobierno hoy rueda prensa organizada banca; j : 48. Sim : 0.27292642; No similar. 
 lfmaguin hola luis fernando permitenos colaborarte cuentanos caso dm gestionarlo area encargada que; j : 49. Sim : 0.63000077; Baja. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 50. Sim : 0.7191981; Media. 
 jorgoconrobledo puede haber ninguna duda cicaterias mezquindades debe reparar toda zona afectada es; j : 51. Sim : 0.05633705; No similar. 
 dared76holguin danny gusto enviaremos caso area encargada seguridad recomendamos eliminar datos for; j : 52. Sim : 0.56366336; Baja. 
