Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm numero informacion 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 1. Sim : 0.74036735; Media. 
 zalathielc buen dia favor envianos dm datos nombre cedula telefono documentacion tramite quedamos a; j : 2. Sim : 0.75325847; Media. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 3. Sim : 0.6142076; Baja. 
 juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos; j : 4. Sim : 0.62532943; Baja. 
 jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte que; j : 5. Sim : 0.61372125; Baja. 
 rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atent; j : 6. Sim : 0.59747154; Baja. 
 katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos ate; j : 7. Sim : 0.7051879; Media. 
 ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo que; j : 8. Sim : 0.76990026; Media. 
 ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz d; j : 9. Sim : 0.6138773; Baja. 
 oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedam; j : 10. Sim : 0.7744069; Media. 
 f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia  ; j : 11. Sim : 0.7201269; Media. 
 auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atent; j : 12. Sim : 0.58468944; Baja. 
 eduardpajaro sfcsupervisor buen dia eduardo escribenos mensaje interno poder ayudarte mejor manera ; j : 13. Sim : 0.60233134; Baja. 
 camilomonroyp buen dia favor contactanos via mensaje interno poder asesorarte mejor manera saludos ; j : 14. Sim : 0.62858677; Baja. 
 camilopub hola favor cuentanos banco perteneces envianos datos dm nombre cedula celular quedamos at; j : 15. Sim : 0.69579494; Media. 
 lhr7 tuitbdb hola lhr7 queremos ayudarte favor compartenos numero cedula mensaje directo cu labelur; j : 16. Sim : 0.67134434; Media. 
 andresjgomez hola andres amplianos favor informacion ocurrido dm validar podemos ayudarte quedamos ; j : 17. Sim : 0.6901815; Media. 
 qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos; j : 18. Sim : 0.6449903; Baja. 
 n0tamental hola andres gracias escribirnos amplianos favor informacion acerca ocurrido dm quedamos ; j : 19. Sim : 0.7721467; Media. 
 juanchatoo hola juan david permitenos ayudarte escribenos favor dm detalles caso alli pediremos u l; j : 20. Sim : 0.62730813; Baja. 
 mauxwell hola mauricio permitenos ayudarte cuentanos favor mensaje interno detalles sucedido quedam; j : 21. Sim : 0.768027; Media. 
 lmaf12 sfcsupervisor sicsuper hola lmaf12 gracias escribirnos respondiendo consulta mensaje directo; j : 22. Sim : 0.6463859; Baja. 
 arqaya hola luis amplianos favor informacion requerimiento dm poder validar ayudarte quedamos atent; j : 23. Sim : 0.7230362; Media. 
 santiagoccm lawneira bancode buen doble recuerda puedes participar mas vez sube mas fotos tuy label; j : 24. Sim : 0.4201323; No similar. 
