Modulo nnlm-es-dim128-with-normalization-2
Topicos : andrespardoa colombia analisis portafolioco sistema bancorepublica invitamos tasa hoy corficolombiana inflacion economia 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.30006486; No similar. 
 bandrespardoa the stable outlook on colombias baa2 rat be predicate on the implementation of durabl; j : 2. Sim : 0.3065958; No similar. 
 andrespardoa mala noticia emergentes wsjasia preliminary china manufacture data sink to 7month low ; j : 3. Sim : 0.25796416; No similar. 
 andrespardoa imfnews imfs blanchard financial bump such as those in may 2013 may well happen again ; j : 4. Sim : 0.28337517; No similar. 
 andrespardoa economia eeuu contrajo 1 1er trimestre 2014 us gdp contract at pace of 1 in the first ; j : 5. Sim : 0.40703824; No similar. 
 andrespardoa eeuu crearon 192 mil empleos agricolas marzo vs consenso 200 mil tasa desempleo mantuv; j : 6. Sim : 0.50548345; Baja. 
 andrespardoa colombia sondeo reuters peso cerrara 2014 1980 usd vs 2000 usd sondeo previo via bocan; j : 7. Sim : 0.59201795; Baja. 
 andrespardoa eeuu crearon 217 mil empleos mayo vs estimado 218 mil tasa desempleo estable 63 sigue ; j : 8. Sim : 0.47015294; No similar. 
 sabia usted quelos costos levantamiento fracking eeuu estan 35 60 dolares precio actual seria logic; j : 9. Sim : 0.44683906; No similar. 
 andrespardoa politica monetaria colombia argumento subir tasas porq peru mexico chile estan bajando; j : 10. Sim : 0.63658905; Baja. 
 andrespardoa colombia recaudo tributario subio 184 1er bimestre 195 bn pesos supero 65 meta 183 bil; j : 11. Sim : 0.47666788; No similar. 
 andrespardoa emergentes emitido 512bn bonos globales enero61 mas q hace 1 ano ft colombia join em b; j : 12. Sim : 0.5468592; Baja. 
 andrespardoa colombia consumo hogares acelero crecer 51 1er trimestre 2014 vs 44 4to trimestre 2013; j : 13. Sim : 0.5277102; Baja. 
 andrespardoa japon lleva 15 anos deflacion crecimiento economico sido tan solo 08 anual aqui explic; j : 14. Sim : 0.6354722; Baja. 
 andrespardoa oferta record bonos globales corrido 2014 financialtimes fastft colombia join em bond ; j : 15. Sim : 0.50190574; Baja. 
 andrespardoa colombia demanda interna crecio 87 1er trimestre vs 54 4to trimestre superando ampliam; j : 16. Sim : 0.4995777; No similar. 
