;Topico4
"carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen dia
";0.94431
"zalathielc buen dia favor envianos dm datos nombre cedula telefono documentacion tramite quedamos atentos
";0.94426
"vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera quedamos atentos
";0.94422
"vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera quedamos atentos
";0.94422
"juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos atentps
";0.94043
"jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte quedamos atentos
";0.9404
"jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte quedamos atentos
";0.9404
"rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atentos saludos
";0.94037
"katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos atentos
";0.94035
"katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos atentos
";0.94035
"ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo quedamos atentos
";0.94033
"ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz dia
";0.94032
"oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedamos atentos
";0.94031
"f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia
";0.9403
"auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atentos
";0.9402
"auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atentos
";0.9402
"eduardpajaro sfcsupervisor buen dia eduardo escribenos mensaje interno poder ayudarte mejor manera saludos
";0.94018
"camilomonroyp buen dia favor contactanos via mensaje interno poder asesorarte mejor manera saludos
";0.94016
"camilopub hola favor cuentanos banco perteneces envianos datos dm nombre cedula celular quedamos atentos
";0.9399
"lhr7 tuitbdb hola lhr7 queremos ayudarte favor compartenos numero cedula mensaje directo cu labelurl
";0.93588
"andresjgomez hola andres amplianos favor informacion ocurrido dm validar podemos ayudarte quedamos atentos
";0.93584
"qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos atentos
";0.93583
"qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos atentos
";0.93583
"n0tamental hola andres gracias escribirnos amplianos favor informacion acerca ocurrido dm quedamos atentos
";0.93583
"juanchatoo hola juan david permitenos ayudarte escribenos favor dm detalles caso alli pediremos u labelurl
";0.93582
"mauxwell hola mauricio permitenos ayudarte cuentanos favor mensaje interno detalles sucedido quedamos atentos
";0.93582
"lmaf12 sfcsupervisor sicsuper hola lmaf12 gracias escribirnos respondiendo consulta mensaje directo feliz dia
";0.93581
"arqaya hola luis amplianos favor informacion requerimiento dm poder validar ayudarte quedamos atentos
";0.93581
"santiagoccm lawneira bancode buen doble recuerda puedes participar mas vez sube mas fotos tuy labelurl
";0.9358
"alesarca hola alejandra amplianos favor informacion acerca ocurrido dm revisar caso quedamos atentos
";0.9358
"jusemohe hola juan sebastian permitenos ayudarte escribenos favor dm alli pediremos datos adi labelurl
";0.9358
"marthabarbieri lamentamos inconveniente presentas favor cuentanos caso dm poder ayudarte quedamos atentos
";0.9358
"negromar mooonaa wmancipe policiacolombia buen dia favor escribenos mensaje interno datos per labelurl
";0.93579
"mariosmejia hola mario comunicaremos mensaje directo contigo verificar datos favor siguenos poder contactarte
";0.93579
"negromar mooonaa wmancipe policiacolombia buen dia favor escribenos mensaje interno datos per labelurl
";0.93579
"antoniohdezj hola antonio perrmitenos ayudarte escribenos favor dm validar podemos ayudarte quedamos atentos
";0.93577
"anamariaberand hola ana permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos atentos
";0.93576
"sergiozam11 sergio favor envianos mensaje interno datos poder contactarnos contigo buen dia
";0.93576
"tattz buen doble recuerda puedes participar mas vez sube mas fotos doble famoso pa labelurl
";0.93575
"morineira sfcsupervisor buenos dias permitenos ayudarte escribenos favor dm detalles ocurrido par labelurl
";0.93575
"diegosar7 hola diego permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos atentos
";0.93573
"esoestalento buenos dias favor amplianos informacion acerca ocurrido dm revisar caso encarg labelurl
";0.93573
"luischereno cccentromayor hola luis gracias escribirnos cuentanos favor detalles ocurrido dm quedamos atentos
";0.93572
"karitoo83 hola gracias contarnos ocurrido favor dejanos datos mensaje hacer reporte cajeros saludos
";0.93568
"laaleka hola alejandra intenta favor nuevamente si logras comunicarte escribenos favor dm sobr labelurl
";0.93567
"danielgongorav sicsuper davidbarguil hola daniel gracias escribirnos favor dejanos datos hacer reporte saludos
";0.93566
"vktrhgo gracias contarnos sucedido dm dejanos punto ocurrio inconveniente datos hacer reporte
";0.93561
"dia ayer legisladores britanicos aprobaron 412 votos 202 enmienda favor retrasar salid labelurl
";0.93556
"dia ayer legisladores britanicos aprobaron 412 votos 202 enmienda favor retrasar salid labelurl
";0.93556
"jonathan24252 buen dia favor contactanos medio mensaje interno poder asesorarte mejor manera
";0.93555
"flaviorestrepo flavio favor comunicate interno poder saber detalle caso saber podemos colaborar
";0.93555
"investigacionesbanrep posturafiscal clark granger yurany hernandez jorge ramos jorge toro hector zarate labelurl
";0.93554
"alejah09 hola gracias informacion imagenes puedes indicarnos dm sede refieres favor quedamos atentos
";0.9355
"chimilla hola chimilla queda claro comentario favor amplianos detalles sucedido dm quedamos atentos
";0.93543
"siendoangelika hola angelica favor cuentanos banco perteneces favor envianos numero celular mensaje interno
";0.93531
"tovi0507 hola victor permitenos ayudarte escribenos favor dm ocurrido podemos ayudarte quedamos atentos
";0.93522
"andresvv hola andres gracias escribirnos cuentanos dm dia hora ocurrio sucedido quedamos atentos
";0.93399
"leilachujfi aribon86 carcasg edilbertocalde1 merv59 antoniaher05 anita830 ramirezdo elchancho86 philoangamarthaepll prime
";0.93055
"nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl
";0.93054
"unmito hola unmito gracias escribirnos favor indicanos numero cedula mensaje directo par labelurl
";0.93054
"nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl
";0.93054
"uribistayque buenas tardes permitenos ayudarte amplianos favor informacion sucedido dm alli t labelurl
";0.93053
"oscaracr tuitbdb hola oscaracr gracias escribirnos favor indicanos numero cedula mensaje di labelurl
";0.93053
"otalatita hola otalatita gustaria brindarte mas informacion favor siguenos poder enviarte mensaje directo
";0.93052
"adrianapqr hola adriana permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli labelurl
";0.93052
"dindico4 hola dennys amplianos favor informacion acerca ocurrido dm validar podemos ayud labelurl
";0.93052
"faiberleon hola faiberleon gustaria brindarte mas informacion favor siguenos poder enviarte mensaje directo
";0.93052
"alexramirez02 hola alexramirez02 gustaria brindarte mas informacion favor siguenos poder enviarte mensaje directo
";0.93052
"anyicastel hola anyi gustaria brindarte mas informacion favor siguenos poder enviarte mensaje directo
";0.93052
"diegorduna hola diego permitenos ayudarte amplianos favor detalles sucedido dm alli pedire labelurl
";0.93052
"sergioirock alegra saludarte sergioirock envianos mensaje directo numero cedula podremos rev labelurl
";0.93052
