Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion marzo 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 1. Sim : 0.61689544; Baja. 
 informe diario mayo 13 2015 pib eurozona crecio 04 tt 1t15 acelerandose frente 4t14 03 tt labelurl ; j : 2. Sim : 0.61526555; Baja. 
 informe diario agosto 13 2015 ventas minoristas eeuu rebotan julio crecen 06 mm segun esperado nlab; j : 3. Sim : 0.61185855; Baja. 
 informe diario marzo 31 2015 tasa desempleo colombia bajo 99 febrero 2015 vs 107 hace ano labelurl ; j : 4. Sim : 0.65811354; Baja. 
 informe diario octubre 15 2015 inflacion ipc eeuu cayo septiembre 02 mm nucleo 19 aanlabelurl  ; j : 5. Sim : 0.6448888; Baja. 
 informe diario octubre 14 2015 inflacion ipp cayo eeuu ubico 05 mm 11 aa septiembrenlabelurl  ; j : 6. Sim : 0.5725473; Baja. 
 informe diario marzo 25 2015 ordenes bienes durables febrero cayeron 14 mm revirtiendo alza enero l; j : 7. Sim : 0.5796943; Baja. 
 informe diario agosto 19 2015 inflacion ipc eeuu subio 01 aa nucleo mantuvo 18 aa labelurl  ; j : 8. Sim : 0.62693065; Baja. 
 informe diario agosto 12 2015 produccion industrial eurozona cayo 04 mm 12 aa junio nlabelurl  ; j : 9. Sim : 0.5478986; Baja. 
 informe diario septiembre 16 2015 inflacion ipc eeuu mantuvo 01 aa agosto nucleo 18 aa labelurl  ; j : 10. Sim : 0.6494232; Baja. 
 informe diario marzo 19 2015 deficit cuenta corriente eeuu aumento 1481 tt cuarto trimestre 2014 la; j : 11. Sim : 0.5968343; Baja. 
 informe diario agosto 24 2015 lunes negro shanghai composite cayo 85 china mayor descenso 2007 labe; j : 12. Sim : 0.40047595; No similar. 
 informe diario mayo 12 2015 encuesta jolt eeuu marzo registro leve descenso tras 5 meses mejoras la; j : 13. Sim : 0.6320755; Baja. 
 informe diario agosto 20 2015 ventas vivienda usada eeuu aumentaron 103 aa mejor nivel 2007 labelur; j : 14. Sim : 0.50457215; Baja. 
 intimesias indago quedo quieto pregunta fallecido pizano nestor humberto martinez quieto responde h; j : 15. Sim : 0.18444544; No similar. 
 informe diario agosto 3 2015 inflacion pce eeuu subio 03 aa mientras nucleo mantuvo 13 aanlabelurl ; j : 16. Sim : 0.6753878; Media. 
 informe diario noviembre 26 2014 ordenes bienes durables eeuu registraron alza 04 mm octubre labelu; j : 17. Sim : 0.61365557; Baja. 
 informe diario mayo 15 2014 crecimiento eurozona 1t14 02 tt inferior expectativa 04 tt labelurl  ; j : 18. Sim : 0.54953706; Baja. 
 informe diario septiembre 8 2015 eurozona crecio 04 tt 15 aa 2t15 levemente superior esperado label; j : 19. Sim : 0.5009214; Baja. 
 informe diario junio 18 2015 inflacion eeuu positiva mayo 003 aa despues 4 meses negativos labelurl; j : 20. Sim : 0.6418504; Baja. 
 informe diario noviembre 24 2015 pib 3t15 eeuu crecio 21 tt linea esperado mercado labelurl  ; j : 21. Sim : 0.6575908; Baja. 
 informe diario enero 30 2014 pib eeuu desacelera 4t13 pmi manufacturero china deteriora enero label; j : 22. Sim : 0.6162555; Baja. 
 informe diario agosto 27 2015 pib 2t15 eeuu crecio 37 tt superior esperado mercado labelurl  ; j : 23. Sim : 0.61803037; Baja. 
 informe diario enero 28 2016 eeuu pedidos bienes durables registraron caida 51 mm diciembre labelur; j : 24. Sim : 0.62791365; Baja. 
 informe diario octubre 29 2015 economia eeuu crecio 15 tt 3t15 menor 16 t t esperado labelurl  ; j : 25. Sim : 0.5618531; Baja. 
 informe diario octubre 19 2015 pib 3t15 china crecio 69 aa debajo trimestre anterior labelurl  ; j : 26. Sim : 0.56930774; Baja. 
 informe diario noviembre 20 2014 inflacion eeuu crece 17 aa octubre linea mes anterior labelurl  ; j : 27. Sim : 0.6685593; Baja. 
 informe diario mayo 4 2015 ipp colombia cayo 106 aa abril inferior 232 aa marzo labelurl  ; j : 28. Sim : 0.51711714; Baja. 
 informe diario septiembre 17 2015 feed mantiene tasa inter reduce proyecciones tasas 2016 2017 labe; j : 29. Sim : 0.59456605; Baja. 
 informe diario junio 19 2014la economia colombia crecio 64 aa 1t14 superando expectativa mercado la; j : 30. Sim : 0.5643119; Baja. 
 informe diario mayo 11 2015 banco central china redujo tasa referencia 25 pbs 510 labelurl  ; j : 31. Sim : 0.43160662; No similar. 
 bbancorepublica menos mes alumnos grados 10 11 12 participen banca escolar banca central juanpab  ; j : 32. Sim : 0.13709387; No similar. 
