Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias bancorepublica atentos quedamos datos area colaborarte envianos saludos encargada contacto 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 1. Sim : 0.2773951; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 2. Sim : 0.27622962; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 3. Sim : 0.19634347; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 4. Sim : 0.1904604; No similar. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 5. Sim : 0.8312369; Alta. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 6. Sim : 0.8054372; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 7. Sim : 0.80777705; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 8. Sim : 0.8213576; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 9. Sim : 0.798601; Media. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 10. Sim : 0.8262222; Media. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 11. Sim : 0.66575205; Baja. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 12. Sim : 0.66322374; Baja. 
 si consideras invertir finca raiz busca herramientas ahorro den rentabilidad fija completar cuota i; j : 13. Sim : 0.1959778; No similar. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 14. Sim : 0.26605424; No similar. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 15. Sim : 0.69990665; Media. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 16. Sim : 0.82787657; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 17. Sim : 0.73156774; Media. 
 alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos a; j : 18. Sim : 0.84764284; Alta. 
 jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atento; j : 19. Sim : 0.80614036; Media. 
 andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos; j : 20. Sim : 0.7648392; Media. 
 erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 21. Sim : 0.74279445; Media. 
 fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos; j : 22. Sim : 0.81340873; Media. 
 nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 23. Sim : 0.72966963; Media. 
 sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos; j : 24. Sim : 0.7959029; Media. 
 kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 25. Sim : 0.73916066; Media. 
 henryluisp buenos dias henry permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 26. Sim : 0.7178337; Media. 
 jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte q; j : 27. Sim : 0.77964896; Media. 
 lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d labelurl  ; j : 28. Sim : 0.26960722; No similar. 
 eltapaman hola si deseas envianos datos contacto dm enviar caso area encargada quedamos atentos  ; j : 29. Sim : 0.8092459; Media. 
 gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos  ; j : 30. Sim : 0.7413076; Media. 
 imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada qued; j : 31. Sim : 0.6809814; Media. 
 carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area enc; j : 32. Sim : 0.72177017; Media. 
 diariodecas ninos escuela porfia recibieron kit escolares parte secretaria educacion yopal gloria f; j : 33. Sim : 0.16637924; No similar. 
 jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos; j : 34. Sim : 0.76384795; Media. 
 evento bogota seminariodeeconomia 499 credit risk and monetary passthrough evidence from chile 0111; j : 35. Sim : 0.36228675; No similar. 
 lopeztelar u2 andres permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 36. Sim : 0.7321174; Media. 
 jerobledo hechos estan dando razon declararnos oposicion gobierno hoy rueda prensa organizada banca; j : 37. Sim : 0.2555637; No similar. 
 lorespitia gracias reporte lorena pasaremos area encargada arreglen danos mas pronto posible feliz ; j : 38. Sim : 0.472156; No similar. 
 carlcat17 sfcsupervisor carlos gusto enviaremos caso datos contacto area encargada colaborarte feli; j : 39. Sim : 0.62427247; Baja. 
 jorgoconrobledo puede haber ninguna duda cicaterias mezquindades debe reparar toda zona afectada es; j : 40. Sim : 0.05633732; No similar. 
 gobertolima apoyada bcooccidente sec planeacion tic hace entrega kit escolares marco celebracion di; j : 41. Sim : 0.41162875; No similar. 
 mloreguti desarrollo mercado capitales romperia barrera ser pais ingreso medio motor emprendimiento; j : 42. Sim : 0.16397265; No similar. 
 hola gretelaleman seguiremos haciendo mejor conseguirlo muchas gracias buenos deseos feliz navidad ; j : 43. Sim : 0.29759055; No similar. 
 pilitarojas hola pilar permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 44. Sim : 0.8028479; Media. 
 lufeviga83 lupe permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos atentos; j : 45. Sim : 0.7468917; Media. 
 sebasea buenos dias sebas envianos comentas dm revisarlo area encargada quedamos atentos  ; j : 46. Sim : 0.6633861; Baja. 
 carito2012ley carolina permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 47. Sim : 0.7317653; Media. 
 diarionocturno nicolas permitenos colaborarte envianos caso datos contacto dm colaborarte quedamos ; j : 48. Sim : 0.7394353; Media. 
 jblasdoxt buenos dias diana envianos caso dm revisarlo area encargada quedamos atentos  ; j : 49. Sim : 0.7366797; Media. 
 carloswaltherr carlos gracias reportarnos caso revisaremos area encargada poder darte respuesta sal; j : 50. Sim : 0.67522144; Media. 
 jennifergutiers hola jennifer gracias escribirnos envianos caso datos contacto dm colaborarte queda; j : 51. Sim : 0.87422574; Alta. 
 isabelitarh isabel permitenos ayudarte envianos caso dm gestionarlo area encargada quedamos atentos; j : 52. Sim : 0.68529046; Media. 
 edwardrico68 hola edward permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos a; j : 53. Sim : 0.75993556; Media. 
 jsant84 jennifer permitenos ayudarte envianos caso dm datos contacto colaborarte quedamos atentos  ; j : 54. Sim : 0.77627987; Media. 
 ginamarce hola gigi permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos ; j : 55. Sim : 0.7231773; Media. 
 raulfdrodriguez hola raul permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ; j : 56. Sim : 0.7443985; Media. 
 notcarlosperez carlos gracias escribirnos envianos caso datos contacto dm colaborarte quedamos aten; j : 57. Sim : 0.82861555; Media. 
 namontanop nelson permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos ; j : 58. Sim : 0.7668667; Media. 
 henryluisp hola henry permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos aten; j : 59. Sim : 0.75059247; Media. 
 jamankind hola jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atento; j : 60. Sim : 0.7582768; Media. 
 joselvilladiego jose permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atent; j : 61. Sim : 0.75463825; Media. 
 diarionocturno pibegeek sfcsupervisor atentos colaborarte caso via dm necesitamos datos personales ; j : 62. Sim : 0.66361165; Baja. 
 natipatilla hola gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos ate; j : 63. Sim : 0.8588239; Alta. 
 almehandrag hola aleja permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 64. Sim : 0.7398434; Media. 
 paulandreab hola paula permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos ate; j : 65. Sim : 0.7590446; Media. 
 fraruiz21 buenos dias francisco envianos datos contacto dm asesores comunique contigo saludos  ; j : 66. Sim : 0.69998485; Media. 
 solucionatico hola permitenos colaborarte envianos caso datos contacto dm verificar sucedio quedamo; j : 67. Sim : 0.8053944; Media. 
 evento recuerde cita manana bogota seminariodeeconomia 501 specialization pattern in international ; j : 68. Sim : 0.28956997; No similar. 
 banrepeduca lanza 10a version concurso ensayo banca escolar banca central dirigido est labelurl  ; j : 69. Sim : 0.16245358; No similar. 
 lukasmeluk muchas gracias reporte lukas pasamos area encargada sulucionen mas pronto posible saludo; j : 70. Sim : 0.56756115; Baja. 
 linapiedrahita5 lina cuentanos detalle caso dm envianos soportes datos contacto quedamos atentos  ; j : 71. Sim : 0.74519265; Media. 
 yucolsa seminario nuevo regimen cambios internacionales sera trasmitido via stream siganos pr label; j : 72. Sim : 0.35811085; No similar. 
 cavendish09 hola walter permitenos ayudarte envianos caso datos contacto dm quedamos atentos saludo; j : 73. Sim : 0.7504302; Media. 
 hola fabiandevia interesa conocer motivo comentario puedes escribirnos via dm conocer detalle caso ; j : 74. Sim : 0.57944256; Baja. 
 hola silviavalenti interesa conocer detalle caso darte soluciones puedes escribirnos via dm saludos; j : 75. Sim : 0.5997672; Baja. 
 cristiangbd2 ponemos trabas queremos agilizar proceso poder darle esposa solucion mas pronto posibl; j : 76. Sim : 0.25206256; No similar. 
 estan ofreciendo ganancias fijas altas corto tiempo invertir criptomonedas cuidado anda ma labelurl; j : 77. Sim : 0.18146487; No similar. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 78. Sim : 0.20627606; No similar. 
 mdgarzon miguel permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 79. Sim : 0.75215566; Media. 
 bucaramanga pierda proximo 20 marzo simposio economia agricola desarrollo rural tendra lu labelurl ; j : 80. Sim : 0.20627606; No similar. 
 nicolasescandoh salvamento voto magistrado cortesupremaj gerardo botero zuluaga demuestra rigor deb; j : 81. Sim : 0.12594205; No similar. 
 pazupersonica hola paz permitenos ayudarte envianos consulta datos contacto dm colaborarte quedamos; j : 82. Sim : 0.7459072; Media. 
 estan ofreciendo ganancias fijas altas corto tiempo si invierte criptomonedas cuidado and labelurl ; j : 83. Sim : 0.20052877; No similar. 
 jotamorales julio permitenos ayudarte envianos dm caso datos contacto colaborarte quedamos atentos ; j : 84. Sim : 0.7660044; Media. 
 damos bienvenida daniel nino fundador pyxis economica conectese siguiente enlace conocer mas deta l; j : 85. Sim : 0.365176; No similar. 
 bde banca escolar banca central hace parte programa educacion economica financiera banrepeduca labe; j : 86. Sim : 0.1948962; No similar. 
 dreunal conferencia banco republica npatrocinio estudiar exterior posgrado derecho economicon21 mar; j : 87. Sim : 0.107993245; No similar. 
 bel ensayo participa banca escolar banca central debe ser escrito espanol inedito labelurl  ; j : 88. Sim : 0.17882948; No similar. 
 bel concurso banca escolar banca central hace parte programa educacion economica financiera labelur; j : 89. Sim : 0.16506074; No similar. 
 colombia1319 hola puedes enviar datos personales dm pasar reporte asi brindarte ayuda saludos  ; j : 90. Sim : 0.62472385; Baja. 
 si notas presencia personas sospechosas dentro banco alguien ceda varias veces turno labelurl  ; j : 91. Sim : 0.17878962; No similar. 
 carlgarnn latamco carlos envianos caso datos contacto dm colaborarte quedamos atentos  ; j : 92. Sim : 0.7894907; Media. 
 jporfavor buenos dias envianos caso dm revisarlo area encargada quedamos atentos  ; j : 93. Sim : 0.76291776; Media. 
 violacea hola envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 94. Sim : 0.87080276; Alta. 
 juandrb buenos dias juan diego gusto enviaremos recomendacion area encargada saludos  ; j : 95. Sim : 0.4755372; No similar. 
 pilpintutintaya angelica manejando caso dm enviamos nuevo respuesta area encargada saludos  ; j : 96. Sim : 0.5994128; Baja. 
 gomezfreddy1 atentado oleoducto trasandino altura nvereda coataquer municipio mallama narino ecopet; j : 97. Sim : 0.06027723; No similar. 
