Modulo nnlm-es-dim128-with-normalization-2
Topicos : favor gracias mensaje cuentanos detalles escribirnos directo ayudarte ocurrido dm numero informacion sfcsupervisor 
 carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen di; j : 1. Sim : 0.72291136; Media. 
 zalathielc buen dia favor envianos dm datos nombre cedula telefono documentacion tramite quedamos a; j : 2. Sim : 0.73191184; Media. 
 vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera q; j : 3. Sim : 0.6276853; Baja. 
 juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos; j : 4. Sim : 0.60482746; Baja. 
 jrobertoj84 sfcsupervisor buen dia escribenos mensaje interno contandonos caso poder asesorarte que; j : 5. Sim : 0.6454791; Baja. 
 rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atent; j : 6. Sim : 0.5829414; Baja. 
 katiasie hola katia lamentamos leer favor envianos mensaje interno poder ayudarte caso quedamos ate; j : 7. Sim : 0.6802363; Media. 
 ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo que; j : 8. Sim : 0.75014836; Media. 
 ceasmu1 buen dia contactanos favor medio mensaje interno comentarte situacion requerimiento feliz d; j : 9. Sim : 0.5881613; Baja. 
 oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedam; j : 10. Sim : 0.7498207; Media. 
 f8af hola favor envianos datos dm nombre cedula celular poder comunicarnos contigo buen dia  ; j : 11. Sim : 0.70007396; Media. 
 auditoriagrupo buen dia favor escribenos mensaje interno gestionar caso mejor manera quedamos atent; j : 12. Sim : 0.55940986; Baja. 
 eduardpajaro sfcsupervisor buen dia eduardo escribenos mensaje interno poder ayudarte mejor manera ; j : 13. Sim : 0.6124177; Baja. 
 camilomonroyp buen dia favor contactanos via mensaje interno poder asesorarte mejor manera saludos ; j : 14. Sim : 0.6074156; Baja. 
 camilopub hola favor cuentanos banco perteneces envianos datos dm nombre cedula celular quedamos at; j : 15. Sim : 0.67952496; Media. 
 lhr7 tuitbdb hola lhr7 queremos ayudarte favor compartenos numero cedula mensaje directo cu labelur; j : 16. Sim : 0.6674398; Baja. 
 andresjgomez hola andres amplianos favor informacion ocurrido dm validar podemos ayudarte quedamos ; j : 17. Sim : 0.657199; Baja. 
 qfandrestero hola andres podemos ayudarte canal cuentanos mensaje interno podemos ayudarte quedamos; j : 18. Sim : 0.6199753; Baja. 
 n0tamental hola andres gracias escribirnos amplianos favor informacion acerca ocurrido dm quedamos ; j : 19. Sim : 0.75360715; Media. 
 juanchatoo hola juan david permitenos ayudarte escribenos favor dm detalles caso alli pediremos u l; j : 20. Sim : 0.6299272; Baja. 
 mauxwell hola mauricio permitenos ayudarte cuentanos favor mensaje interno detalles sucedido quedam; j : 21. Sim : 0.75659215; Media. 
 lmaf12 sfcsupervisor sicsuper hola lmaf12 gracias escribirnos respondiendo consulta mensaje directo; j : 22. Sim : 0.6721621; Media. 
 arqaya hola luis amplianos favor informacion requerimiento dm poder validar ayudarte quedamos atent; j : 23. Sim : 0.691788; Media. 
 santiagoccm lawneira bancode buen doble recuerda puedes participar mas vez sube mas fotos tuy label; j : 24. Sim : 0.43865123; No similar. 
 alesarca hola alejandra amplianos favor informacion acerca ocurrido dm revisar caso quedamos atento; j : 25. Sim : 0.66268975; Baja. 
 jusemohe hola juan sebastian permitenos ayudarte escribenos favor dm alli pediremos datos adi label; j : 26. Sim : 0.6337804; Baja. 
 marthabarbieri lamentamos inconveniente presentas favor cuentanos caso dm poder ayudarte quedamos a; j : 27. Sim : 0.6841265; Media. 
 negromar mooonaa wmancipe policiacolombia buen dia favor escribenos mensaje interno datos per label; j : 28. Sim : 0.5128032; Baja. 
 mariosmejia hola mario comunicaremos mensaje directo contigo verificar datos favor siguenos poder c; j : 29. Sim : 0.75499225; Media. 
 negromar mooonaa wmancipe policiacolombia buen dia favor escribenos mensaje interno datos per label; j : 30. Sim : 0.5128032; Baja. 
 antoniohdezj hola antonio perrmitenos ayudarte escribenos favor dm validar podemos ayudarte quedamo; j : 31. Sim : 0.6187593; Baja. 
 anamariaberand hola ana permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos; j : 32. Sim : 0.6845231; Media. 
 sergiozam11 sergio favor envianos mensaje interno datos poder contactarnos contigo buen dia  ; j : 33. Sim : 0.6846161; Media. 
 tattz buen doble recuerda puedes participar mas vez sube mas fotos doble famoso pa labelurl  ; j : 34. Sim : 0.43803427; No similar. 
 morineira sfcsupervisor buenos dias permitenos ayudarte escribenos favor dm detalles ocurrido par l; j : 35. Sim : 0.6878855; Media. 
 diegosar7 hola diego permitenos ayudarte amplianos favor informacion acerca ocurrido dm quedamos at; j : 36. Sim : 0.6581268; Baja. 
 esoestalento buenos dias favor amplianos informacion acerca ocurrido dm revisar caso encarg labelur; j : 37. Sim : 0.5787316; Baja. 
 luischereno cccentromayor hola luis gracias escribirnos cuentanos favor detalles ocurrido dm quedam; j : 38. Sim : 0.77213657; Media. 
 karitoo83 hola gracias contarnos ocurrido favor dejanos datos mensaje hacer reporte cajeros saludos; j : 39. Sim : 0.73073256; Media. 
 laaleka hola alejandra intenta favor nuevamente si logras comunicarte escribenos favor dm sobr labe; j : 40. Sim : 0.54933393; Baja. 
 danielgongorav sicsuper davidbarguil hola daniel gracias escribirnos favor dejanos datos hacer repo; j : 41. Sim : 0.65638095; Baja. 
 vktrhgo gracias contarnos sucedido dm dejanos punto ocurrio inconveniente datos hacer reporte  ; j : 42. Sim : 0.6241201; Baja. 
 dia ayer legisladores britanicos aprobaron 412 votos 202 enmienda favor retrasar salid labelurl  ; j : 43. Sim : 0.3050365; No similar. 
 jonathan24252 buen dia favor contactanos medio mensaje interno poder asesorarte mejor manera  ; j : 44. Sim : 0.55395705; Baja. 
 flaviorestrepo flavio favor comunicate interno poder saber detalle caso saber podemos colaborar  ; j : 45. Sim : 0.4500433; No similar. 
 investigacionesbanrep posturafiscal clark granger yurany hernandez jorge ramos jorge toro hector za; j : 46. Sim : 0.1311148; No similar. 
 alejah09 hola gracias informacion imagenes puedes indicarnos dm sede refieres favor quedamos atento; j : 47. Sim : 0.73168135; Media. 
 chimilla hola chimilla queda claro comentario favor amplianos detalles sucedido dm quedamos atentos; j : 48. Sim : 0.6108168; Baja. 
 siendoangelika hola angelica favor cuentanos banco perteneces favor envianos numero celular mensaje; j : 49. Sim : 0.6503393; Baja. 
 tovi0507 hola victor permitenos ayudarte escribenos favor dm ocurrido podemos ayudarte quedamos ate; j : 50. Sim : 0.6080799; Baja. 
 andresvv hola andres gracias escribirnos cuentanos dm dia hora ocurrio sucedido quedamos atentos  ; j : 51. Sim : 0.65813196; Baja. 
 leilachujfi aribon86 carcasg edilbertocalde1 merv59 antoniaher05 anita830 ramirezdo elchancho86 phi; j : 52. Sim : 0.05750252; No similar. 
 nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl  ; j : 53. Sim : 0.79783154; Media. 
 unmito hola unmito gracias escribirnos favor indicanos numero cedula mensaje directo par labelurl  ; j : 54. Sim : 0.73920673; Media. 
 nmber alegra saludarte indicanos mensaje directo numero cedula mas detalles ayuden rev labelurl  ; j : 55. Sim : 0.79783154; Media. 
 uribistayque buenas tardes permitenos ayudarte amplianos favor informacion sucedido dm alli t label; j : 56. Sim : 0.5630253; Baja. 
 oscaracr tuitbdb hola oscaracr gracias escribirnos favor indicanos numero cedula mensaje di labelur; j : 57. Sim : 0.663978; Baja. 
 otalatita hola otalatita gustaria brindarte mas informacion favor siguenos poder enviarte mensaje d; j : 58. Sim : 0.69950503; Media. 
 adrianapqr hola adriana permitenos ayudarte amplianos favor informacion acerca ocurrido dm alli lab; j : 59. Sim : 0.64668924; Baja. 
 dindico4 hola dennys amplianos favor informacion acerca ocurrido dm validar podemos ayud labelurl  ; j : 60. Sim : 0.59361035; Baja. 
 faiberleon hola faiberleon gustaria brindarte mas informacion favor siguenos poder enviarte mensaje; j : 61. Sim : 0.7132043; Media. 
