Modulo nnlm-es-dim128-with-normalization-2
Topicos : andrespardoa colombia analisis portafolioco sistema bancorepublica invitamos tasa hoy corficolombiana inflacion economia via 
 andrespardoa decline in gdp growth or more pressure on external accountsbeyond our baseline scenari; j : 1. Sim : 0.3442866; No similar. 
 bandrespardoa the stable outlook on colombias baa2 rat be predicate on the implementation of durabl; j : 2. Sim : 0.33684573; No similar. 
 andrespardoa mala noticia emergentes wsjasia preliminary china manufacture data sink to 7month low ; j : 3. Sim : 0.2824178; No similar. 
 andrespardoa imfnews imfs blanchard financial bump such as those in may 2013 may well happen again ; j : 4. Sim : 0.3012054; No similar. 
 andrespardoa economia eeuu contrajo 1 1er trimestre 2014 us gdp contract at pace of 1 in the first ; j : 5. Sim : 0.4621214; No similar. 
 andrespardoa eeuu crearon 192 mil empleos agricolas marzo vs consenso 200 mil tasa desempleo mantuv; j : 6. Sim : 0.48125803; No similar. 
 andrespardoa colombia sondeo reuters peso cerrara 2014 1980 usd vs 2000 usd sondeo previo via bocan; j : 7. Sim : 0.6284744; Baja. 
 andrespardoa eeuu crearon 217 mil empleos mayo vs estimado 218 mil tasa desempleo estable 63 sigue ; j : 8. Sim : 0.42855635; No similar. 
 sabia usted quelos costos levantamiento fracking eeuu estan 35 60 dolares precio actual seria logic; j : 9. Sim : 0.43994778; No similar. 
 andrespardoa politica monetaria colombia argumento subir tasas porq peru mexico chile estan bajando; j : 10. Sim : 0.64446294; Baja. 
 andrespardoa colombia recaudo tributario subio 184 1er bimestre 195 bn pesos supero 65 meta 183 bil; j : 11. Sim : 0.46701178; No similar. 
 andrespardoa emergentes emitido 512bn bonos globales enero61 mas q hace 1 ano ft colombia join em b; j : 12. Sim : 0.55319655; Baja. 
 andrespardoa colombia consumo hogares acelero crecer 51 1er trimestre 2014 vs 44 4to trimestre 2013; j : 13. Sim : 0.525835; Baja. 
 andrespardoa japon lleva 15 anos deflacion crecimiento economico sido tan solo 08 anual aqui explic; j : 14. Sim : 0.6154249; Baja. 
