Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente 
 bdrpadillach pocos dias amigos pa inicie sodacirque7d by cirque du soleil promos si pagan bancosava; j : 1. Sim : 0.28223336; No similar. 
 fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga ind; j : 2. Sim : 0.44806984; No similar. 
 petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia; j : 3. Sim : 0.46915653; No similar. 
 workingpaper 1037 by carlos leon and fabio ortega forecast labelurl let us know what you think  ; j : 4. Sim : 0.26128247; No similar. 
 alexlopezmaya gran tragedia mas 14 millones d trabajadors salario fijo seg social exijamos modelo e; j : 5. Sim : 0.18286943; No similar. 
 elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera ; j : 6. Sim : 0.43561047; No similar. 
 mlorozco78 usofrenteobrero ecopetrolsa minminas mintrabajocol mafsul baena aliciaarango viva union ; j : 7. Sim : 0.52366936; Baja. 
 elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera ; j : 8. Sim : 0.43561047; No similar. 
 usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor  ; j : 9. Sim : 0.5078368; Baja. 
 danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica; j : 10. Sim : 0.36595505; No similar. 
 bcavirtual acabo ver ecopetrol uso firmaron nueva convencion colectiva trabajo 20182022 palmaedwin ; j : 11. Sim : 0.38364637; No similar. 
 muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin  ; j : 12. Sim : 0.31515324; No similar. 
 jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla  ; j : 13. Sim : 0.3748987; No similar. 
 usofrenteobrero usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar; j : 14. Sim : 0.46923712; No similar. 
 comision derechos humanos paz union sindical obrera uso hace llegar calido saludo colectivo labelur; j : 15. Sim : 0.5013323; Baja. 
 aorgulloso persiste negociacion uso usofrenteobrero ecopetrolsa sindicato insiste lograr acuerdo co; j : 16. Sim : 0.33558866; No similar. 
 aocampon trabajadores contratistas campo rubiales meta manifiestan apoyo total usofrenteobrero usom; j : 17. Sim : 0.30488673; No similar. 
 bluradioco registraduria emite primer boletin consultaliberal 2696 mesas escrutadas delacallehum 54; j : 18. Sim : 0.21530797; No similar. 
 juanalies tal estonnuera destapo soho tio orlando cabrales pdte reficar gobierno alvarouribevel dur; j : 19. Sim : 0.4530306; No similar. 
 usometa trabajadores usometa schlumberger colombia rompen dialogo recursos humanos rh incumplimient; j : 20. Sim : 0.46536252; No similar. 
 usocasabe usocasabe logra reintegro pago salarios trabajadora casino habia sido terminado contrato ; j : 21. Sim : 0.22897096; No similar. 
 palmaedwin asi nacio usofrenteobrero hace 95 anos sindicato siento orgulloso pertenecer dirigir som; j : 22. Sim : 0.49608305; No similar. 
 howardrv0526 no12horas 1886 libraron primeras huelgas defender turnos trabajo vamos ser inferiores ; j : 23. Sim : 0.2068567; No similar. 
 jcontrerasa listo salir correr 10k mmb atletismo deporte day sunday journalist equipo porvenirofici; j : 24. Sim : 0.19738892; No similar. 
 palmaedwin razones esgrimio usofrenteobrero trabajadores petroleros hace 41 anos ir huelga mismas q; j : 25. Sim : 0.40767613; No similar. 
 usometa conozca logros lucha obrera usofrenteobrero tras 42 dias negociacion acuerdo convencional e; j : 26. Sim : 0.42303535; No similar. 
 usometa usofrenteobrero sigue cumpliendo clase obrera conseguir acuerdos luego jornadas intensas pr; j : 27. Sim : 0.29513568; No similar. 
 usometa conozca logros lucha obrera usofrenteobrero tras 42 dias negociacion acuerdo convencional e; j : 28. Sim : 0.42303535; No similar. 
 angela merkel logro formar coalicion gobierno alemanianel bloque conservador cdu canciller alemana ; j : 29. Sim : 0.41328916; No similar. 
 nachoboada hoy ecopetrolsa adelanta diligencia d descargos companero ariel corzonsi empresa despide; j : 30. Sim : 0.3872244; No similar. 
 usocasabe pesar todas dificultades 10 feb 1923 fundada clandestinidad union obrera union obreros  ; j : 31. Sim : 0.46641234; No similar. 
 palmaedwin juez constitucional ordena navierafluvial negociar pliego peticiones presento usofrenteo; j : 32. Sim : 0.32279396; No similar. 
 nachoboada hoy ecopetrolsa adelanta diligencia d descargos companero ariel corzonsi empresa despide; j : 33. Sim : 0.3872244; No similar. 
 usocasabe pesar todas dificultades 10 feb 1923 fundada clandestinidad union obrera union obreros  ; j : 34. Sim : 0.46641234; No similar. 
 anifco bogota xxix asambleaanif inicia intervencion miguel largacha presidente consejo directivo an; j : 35. Sim : 0.47936547; No similar. 
 yariguies1027 atencion ecopetrolsa admitio mancha crudo llego rio sogamoso vez trabajan controlar m; j : 36. Sim : 0.38701499; No similar. 
 acdac1 atendiendo llamado defensor pueblo luego 51 dias pilotos acdac anuncian fin huelga labelurl ; j : 37. Sim : 0.31332895; No similar. 
 solidaridad acdac1 hace 14 anos vivimos mismo episodio oitnoticias despues dio razon re labelurl  ; j : 38. Sim : 0.4942155; No similar. 
 banrepcultural teatro quiminza sera sede banrepcultural tunja mientras realicen restauracion claust; j : 39. Sim : 0.29111844; No similar. 
 ecopetrolsa debe decirle verdad pais si ahorrar costos abandono mal pozos si tragedi labelurl  ; j : 40. Sim : 0.43143034; No similar. 
 fondosdepension juan david correa presidente consejo directivo asofondos santiago montenegro presid; j : 41. Sim : 0.46185103; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 42. Sim : 0.28087237; No similar. 
 usocasabe hoy reunion junta subdirectiva casabe revisando distintos temas trabajadores ajustando pl; j : 43. Sim : 0.35682505; No similar. 
 hoy celebramos vida seres dia dia dan mejor si cuidar darle mejor fami labelurl  ; j : 44. Sim : 0.38316578; No similar. 
