Modulo nnlm-es-dim128-with-normalization-2
Topicos : caso dm gracias bancorepublica atentos quedamos datos area colaborarte 
 julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota d; j : 1. Sim : 0.18399064; No similar. 
 franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota; j : 2. Sim : 0.20090906; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 3. Sim : 0.2110233; No similar. 
 moveconcertsco drive rain nuevos temas trae slash feat myles kennedy and the conspirators nuevo dis; j : 4. Sim : 0.20115308; No similar. 
 dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos at; j : 5. Sim : 0.7256213; Media. 
 carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo are; j : 6. Sim : 0.7171295; Media. 
 ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos aten; j : 7. Sim : 0.6938047; Media. 
 jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos  ; j : 8. Sim : 0.71175206; Media. 
 jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encar; j : 9. Sim : 0.7022917; Media. 
 andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos aten; j : 10. Sim : 0.7262757; Media. 
 hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encar; j : 11. Sim : 0.62953204; Baja. 
 jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto d; j : 12. Sim : 0.53063554; Baja. 
 si consideras invertir finca raiz busca herramientas ahorro den rentabilidad fija completar cuota i; j : 13. Sim : 0.24145274; No similar. 
 colombiapilotos formula enla piloto colombiana tatiana calderon participara test formula marrakechl; j : 14. Sim : 0.28696746; No similar. 
 merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada queda; j : 15. Sim : 0.6872736; Media. 
 buenos dias dorisal96262141 envianos caso datos contacto dm revisar caso area encargada saludos  ; j : 16. Sim : 0.6914562; Media. 
 camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamo; j : 17. Sim : 0.65290326; Baja. 
