Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be colombia esperamos juan 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 1. Sim : 0.5156634; Baja. 
 elmimori saludos taquillas bloque 29 primer piso funcionan lunes viernes 800 be 1200 pm 200 600 pm ; j : 2. Sim : 0.43276995; No similar. 
 rt fundacionanaas marcas contrabandodecigarrillo camel damp j gold seal golden deer ibiza jaisalmer; j : 3. Sim : 0.27708134; No similar. 
 danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justici; j : 4. Sim : 0.28619814; No similar. 
 hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos  ; j : 5. Sim : 0.47991243; No similar. 
 rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicaci; j : 6. Sim : 0.7192728; Media. 
 hoy damos inicio cineclub chaplin charlie vida obra charles bloque 18 auditorio 110 600 pm labelurl; j : 7. Sim : 0.45373157; No similar. 
 hoyeneafit cine club universidad eafit fuego fatuo bloque 38 aula 110 partir 600 pm esperamos  ; j : 8. Sim : 0.49806044; No similar. 
 rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector c; j : 9. Sim : 0.3124438; No similar. 
 rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derecho; j : 10. Sim : 0.58956826; Baja. 
 simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelu; j : 11. Sim : 0.68691677; Media. 
 rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 en; j : 12. Sim : 0.50132793; Baja. 
 rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rz; j : 13. Sim : 0.407367; No similar. 
 rt behrentz hace 68 anos martes 29 marzo 1949 lugar primeras clases uniandeshoy queremos saber recu; j : 14. Sim : 0.39315936; No similar. 
 1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia  ; j : 15. Sim : 0.44495848; No similar. 
 estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte su; j : 16. Sim : 0.23384374; No similar. 
 hoyeneafit cine club universidad eafit lacombe lucien bloque 38 aula 110 partir 600 pm labelurl  ; j : 17. Sim : 0.44375288; No similar. 
 hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl  ; j : 18. Sim : 0.520107; Baja. 
 hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl  ; j : 19. Sim : 0.5185423; Baja. 
 hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl  ; j : 20. Sim : 0.4481008; No similar. 
 hoyeneafit cine club universidad eafit amor asunto privado bloque 38 aula 110 partir 600 labelurl  ; j : 21. Sim : 0.3886053; No similar. 
 hoyeneafit cine club universidad eafit adios ninos bloque 38 aula 110 partir 600 pm labelurl  ; j : 22. Sim : 0.5586762; Baja. 
 hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl  ; j : 23. Sim : 0.42561156; No similar. 
 rt urbameafit rector juan luis mejia eafit da bienvenida estudiantes curso urbanismo social gestion; j : 24. Sim : 0.659255; Baja. 
 hoyeneafit cine club universidad eafit ladron paris bloque 38 aula 110 partir 600 pm l labelurl  ; j : 25. Sim : 0.57720304; Baja. 
 proteccion salud bienestar finalidad principal convenciones lucha drogas yesid reyes ex min justici; j : 26. Sim : 0.3111789; No similar. 
 cienciaseafit invitacion terrestres extraterrestres jueves 16 marzo 400 pm auditorio 101 bloque 38 ; j : 27. Sim : 0.4428285; No similar. 
 rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios cons; j : 28. Sim : 0.4079676; No similar. 
 conferencia inaugural sera eafit 11 agosto auditorio 38 110 900 be 1200 m ver mas labelurl  ; j : 29. Sim : 0.527448; Baja. 
 rt comsocialeafit jonathan kubben hizo rede social fuente ingreso estara eafit dando tip ser instag; j : 30. Sim : 0.43835953; No similar. 
 inicia lapazenfoco hoy ivan cepeda marco romero antonio navarro construccion paz partidos politicos; j : 31. Sim : 0.5907009; Baja. 
 rt camaraoriente eventoscamara dr juan felipe mejia decano escuela d economiafinanzas d eafit prese; j : 32. Sim : 0.536117; Baja. 
 eafit invita innovar caso bonem 2 agosto bloque 38 auditorio 101 entrada libre previa inscripcion l; j : 33. Sim : 0.33944997; No similar. 
 rt ueesec dr joaquin hernandez rector uees visita eafit medellin colombia entablar dialogos autorid; j : 34. Sim : 0.7056698; Media. 
 ser honesto exigencia cualquier ciudadano funcionarios deben tener buena formacion academica mauric; j : 35. Sim : 0.40453544; No similar. 
