Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy 
 rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and inte; j : 1. Sim : 0.054229677; No similar. 
 rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participa; j : 2. Sim : -0.008416548; No similar. 
 how to adapt the social model in the age of polarization jeanolivier hairault paris school of econo; j : 3. Sim : 0.016184697; No similar. 
 rt biomedcentral from acclimation to adaptation the plastic life of caribbean soft coral by biommar; j : 4. Sim : 0.031864043; No similar. 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 5. Sim : 0.6122518; Baja. 
 dublin institute of technology centenary scholarship programme for more information please visit ou; j : 6. Sim : 0.06408803; No similar. 
 rt economiauandes documentocede no25 the effect of child disability on parent labour supply evidenc; j : 7. Sim : 0.07547694; No similar. 
 rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio; j : 8. Sim : 0.185664; No similar. 
 finalizar gran dia opera the medium video canal institucional untelevision labelurl feliz noche com; j : 9. Sim : 0.53573483; Baja. 
 feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolomb; j : 10. Sim : 0.6856839; Media. 
 rt unisabanaradio excusa recuerda puedes escuchar usr tunein radio app radio garden unisabana app y; j : 11. Sim : 0.2591973; No similar. 
 comunidadun terminamos dia mejor energia tener unas grandes vacaciones deseamos feliz diciembre unp; j : 12. Sim : 0.62962365; Baja. 
 feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos  ; j : 13. Sim : 0.65738255; Baja. 
 comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unpar; j : 14. Sim : 0.59117943; Baja. 
 zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atenc; j : 15. Sim : 0.34848094; No similar. 
 rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas; j : 16. Sim : 0.40773398; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes un; j : 17. Sim : 0.3599954; No similar. 
 felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun ; j : 18. Sim : 0.37918183; No similar. 
 terminar ano queremos decir gracias ser parte gran comunidadun 2016 regresamos mas unparatodos  ; j : 19. Sim : 0.4357484; No similar. 
 rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noesho; j : 20. Sim : 0.22870144; No similar. 
 the complexities of truth tell for trust reintegration and peace seminario internacional desafios p; j : 21. Sim : 0.03631813; No similar. 
 principios siglo xx medellin interpretaba musica salon musica adaptaba bandas lira fernando gil  ; j : 22. Sim : 0.28220895; No similar. 
 rt obsdemocracia invitados esperamos cafe digital datos gobierno abierto manana jueves mas informac; j : 23. Sim : 0.4608872; No similar. 
 comunidadun 257 votos recibimos 81 participantes cree acuerdo paz debe ser firmado uncolombia  ; j : 24. Sim : 0.29640824; No similar. 
 si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ; j : 25. Sim : 0.30614254; No similar. 
 rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti uni; j : 26. Sim : 0.16214462; No similar. 
 finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin sema; j : 27. Sim : 0.6234533; Baja. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 28. Sim : 0.70384794; Media. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 29. Sim : 0.4235795; No similar. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 30. Sim : 0.65011674; Baja. 
 buenviernes toda comunidadun acompana diariamente rede sociales oficiales deseamos gran dia somosun; j : 31. Sim : 0.4365901; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 32. Sim : 0.6709916; Media. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 33. Sim : 0.7046629; Media. 
 feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos  ; j : 34. Sim : 0.6327224; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 35. Sim : 0.7046629; Media. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 36. Sim : 0.54952306; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 37. Sim : 0.6899164; Media. 
 feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos  ; j : 38. Sim : 0.61727697; Baja. 
