Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos 
 rt iptigeneva experience tell us when people do not own process it be hard to sell the peace agreem; j : 1. Sim : 0.16560607; No similar. 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 2. Sim : 0.13421084; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 3. Sim : 0.16690004; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 4. Sim : 0.13364622; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 5. Sim : 0.29606473; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 6. Sim : 0.21739925; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 7. Sim : 0.21990235; No similar. 
 rt andrecdalmeida uniandes imagine the future of education for sdgs with 32 universities from 22 co; j : 8. Sim : 0.21621451; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 9. Sim : 0.33003342; No similar. 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 2; j : 10. Sim : 0.37688044; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 11. Sim : 0.16640876; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 12. Sim : 0.18477966; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 13. Sim : 0.23605298; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 26 piso labe; j : 14. Sim : 0.3380473; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 15. Sim : 0.14405881; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 16. Sim : 0.23667441; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 17. Sim : 0.20726398; No similar. 
 manana celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque label; j : 18. Sim : 0.411791; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 19. Sim : 0.2342395; No similar. 
 rt urosarioradio hoy estrenamos conteo musical universitario mas destacado urdel10al1 dias 10am hoy; j : 20. Sim : 0.39314604; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloque 26 piso 7 labe; j : 21. Sim : 0.33083048; No similar. 
 rt unisabanaradio aire werockus hablando albumes cumplen 50 anos historia sgt pepper lonely heart c; j : 22. Sim : 0.20746975; No similar. 
 rt colombiapurdue peter s maria eafit universidadeia cofounder use colombiapurdue relationships to ; j : 23. Sim : 0.3769324; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 24. Sim : 0.21547242; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 25. Sim : 0.22597924; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 26. Sim : 0.36917844; No similar. 
 hoyeneafit concierto gratuito eva zollner 28 octubre auditorio fundadores 730 pm entrada libre bo l; j : 27. Sim : 0.37526578; No similar. 
 rt unisabana asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 ; j : 28. Sim : 0.41562024; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 29. Sim : 0.19062282; No similar. 
 rt jsmcdougald master in masterselt unisabana get ready for new academic year all the best labelurl; j : 30. Sim : 0.18669197; No similar. 
 my best rts this week come from blogdelanacho diegofhl dibun thanksall who be yours labelurl labelu; j : 31. Sim : 0.18942742; No similar. 
 va corrido ano llegado 100 toneladas droga incautada vice mindefensa anibal fernandez soto forounga; j : 32. Sim : 0.26100668; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 33. Sim : 0.25865325; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 34. Sim : 0.3831853; No similar. 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloqu labe; j : 35. Sim : 0.39939144; No similar. 
 si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl  ; j : 36. Sim : 0.34783643; No similar. 
 hoy buena parte droga producida colombia queda pais vice mindefensa anibal fernandez soto foroungas; j : 37. Sim : 0.39422435; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 38. Sim : 0.48699215; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 39. Sim : 0.25931785; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 40. Sim : 0.14358659; No similar. 
 rt estadoalterado invitados luz hermoso recital natalia valencia eafit sera proximo 10 marzo entrad; j : 41. Sim : 0.334886; No similar. 
 rt uniandesderecho hoy foro 130 pm edificio santo domingo sala conferencias 1003 uniandes invita ma; j : 42. Sim : 0.40138966; No similar. 
 rt serpilopaga atencion pilo si credito condonable 3ra convocatoria pre aprobado debes seguir sigui; j : 43. Sim : 0.34452376; No similar. 
 empleos demandan mas habilidades socioemocionales tambien demandan mas habilidades cognitivas pablo; j : 44. Sim : 0.36548823; No similar. 
 rt unisabanaradio vaya dejar tren recuerden manana sale gran estacion 535 be unisabana voyentren ht; j : 45. Sim : 0.4616699; No similar. 
 rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo u; j : 46. Sim : 0.13766755; No similar. 
 rt deuniandes gracias programa padrinazgo grupo andar nuevos uniandinos podran sentirse parte red a; j : 47. Sim : 0.17136715; No similar. 
 rt jrestrp hoy hace 363 anos nacio urosarionews ilustrar republica formar personas profesionales ha; j : 48. Sim : 0.33950496; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 49. Sim : 0.3603599; No similar. 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 50. Sim : 0.4239505; No similar. 
 rt oaduniandes ayeryhoy mirada edificio roberto franco hacia prado san alberto magno throwbackthurs; j : 51. Sim : 0.26865876; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 52. Sim : 0.30043057; No similar. 
 asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 flickr labelu; j : 53. Sim : 0.3703579; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 54. Sim : 0.2547816; No similar. 
 rt deportessabana sabana campeon general masculino subcampeon femenino finales grupo universitario ; j : 55. Sim : 0.34581745; No similar. 
 rt oaduniandes ayeryhoy mirada prado san alberto magno hacia bloque g identifica diferencias coment; j : 56. Sim : 0.08281981; No similar. 
 rt hernanolano despues 21 anos unisabana dpto historia despedimos dr juan maria guasch graciasguasc; j : 57. Sim : 0.5251289; Baja. 
