Modulo nnlm-es-dim128-with-normalization-2
Topicos : mas unisabana estudiantes colombia investigacion uniandes educacion urosario programas pregrado inscripciones pais urosarionews 
 rt iptigeneva organize citizen forums all over colombia could give new ownership of the peace proce; j : 1. Sim : 0.23683032; No similar. 
 rt ascun1 consejo directivo ascun participacion rectores ies asociadas presidente ascun dr adolfo l; j : 2. Sim : 0.4654469; No similar. 
 usted sabe gano bogota bosa ciudad bolivar usme ahi viven victimas mensaje manda francisco santos  ; j : 3. Sim : 0.44670534; No similar. 
 rt wenrosal felicitaciones drs fernando lizcano luz indira sotelo dusko kalenatic grandes investiga; j : 4. Sim : 0.2745925; No similar. 
 creo eln quiera negociar presidente tampoco creo presidente aliento carlos velandia gestor paz eln ; j : 5. Sim : 0.1839483; No similar. 
 rt maestriaderintl conversatorio climate change after the paris agreement where next annalisa savar; j : 6. Sim : 0.28623062; No similar. 
 transformacion debe generar oportunidades crear mundo mejor generar aporte sociedad mauricio carren; j : 7. Sim : 0.2707865; No similar. 
 rt derechousabana reciente publicacion diana maria gomez salas amigas lactancia realidad pais eltie; j : 8. Sim : 0.5902934; Baja. 
 oigan paso primera vez santos uribe timochenko hablan mismo lenguaje parece importante francisco sa; j : 9. Sim : 0.26693526; No similar. 
 voto domingo distinto tomar decision pais relacionada guerra paz carlos velandia gestor paz eln  ; j : 10. Sim : 0.36118886; No similar. 
 rt educaunisabana olga castiblancoana florido diana pulido junto profesor asesor johnalba25 present; j : 11. Sim : 0.303043; No similar. 
 rt noticiasrcn colombia ocupa cuarto puesto concepto salario minimo mas bajo latinoamerica segun es; j : 12. Sim : 0.5688044; Baja. 
 lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauni; j : 13. Sim : 0.25252575; No similar. 
 rt economiauandes documentocede no36 school choice nash implementation of stable match through rank; j : 14. Sim : 0.21065944; No similar. 
 seguramente orden parecida ejercito habran recibido huestes camarada timochenko carlos velandia ges; j : 15. Sim : 0.38039768; No similar. 
 rt mauriciocard maria fernanda sanchez santiago neira estudiantes economia 5 6 semestre ejemplos ap; j : 16. Sim : 0.6007948; Baja. 
 nicolas santos apoya carrera 10k uniandes busca consolidar beca deportiva unete apoya labelurl mepo; j : 17. Sim : 0.3161657; No similar. 
 rt facisouniandes hoy tendra lugar evento whats next for colombia reconciliation and peacebuilding ; j : 18. Sim : 0.37543416; No similar. 
 invito ayuden construir podemos seguir culpandonos pase pagina trabajo tender puentes francisco san; j : 19. Sim : 0.2429552; No similar. 
 rt niulive unisabana students join niuceet students for intensive industrial systems engineer summe; j : 20. Sim : 0.32996133; No similar. 
 lideres opinion estan logrando cambiar opinion centros educativos siguen escindidos realidad nicola; j : 21. Sim : 0.5080181; Baja. 
 ser victima matoneo mundo real incrementa 10 posibilidades serlo rede sociales sandracortesi respet; j : 22. Sim : 0.29666469; No similar. 
 golpe poder adquisitivo reforma tributaria ana maria olaya profesora eicea via revista dinero label; j : 23. Sim : 0.3178073; No similar. 
 seminar spectral and spatial analysis of vegetation traits and ecosystem process pierdas presentaci; j : 24. Sim : 0.25811735; No similar. 
 encuentro ingenio innovacion usingenieria pensar diferente ser creativo ir mas alla conocido edgar ; j : 25. Sim : 0.38780117; No similar. 
 gladys agudelo rectora ie fundacion celia duque abejorral agradece eafit oportunidad da estudiantes; j : 26. Sim : 0.48913473; No similar. 
 eln critico aspero acuerdo firmado presidente santos guerrilla farc carlos velandia gestor eln  ; j : 27. Sim : 0.37246674; No similar. 
 ustedes viven estrato 87 recorri ciudad eleccion manda dosis humildad grande francisco santos  ; j : 28. Sim : 0.40900728; No similar. 
 rt arquituniandes firma convenio uniandes politecnico torino permite doble titulo ntra maestria arq; j : 29. Sim : 0.40799445; No similar. 
 circunstancias tiro borracho puede modificar manera dramatica proceso carlos velandia gestor paz el; j : 30. Sim : 0.3023328; No similar. 
 presidente quedado atado pies manos decision tomado pais carlos velandia gestor paz eln  ; j : 31. Sim : 0.31595513; No similar. 
 rt danecolombia usuarios centro datos eafit podran acceder servidores dane consultar info especiali; j : 32. Sim : 0.46178883; No similar. 
 siempre riesgo ser desplazados ahora consumidores adquieren servicios activos mauricio carreno gedi; j : 33. Sim : 0.2048122; No similar. 
 adivinen cuantos concejales bogota viven ciudad bolivar cero desconexion elector elegido francisco ; j : 34. Sim : 0.423931; No similar. 
 rt profebarreto estudiantes maestria pedagogia ext guajira unisabana organizan primer coloquio depa; j : 35. Sim : 0.6737588; Media. 
 rt jrestrp primera vez urosario presente rank mundial universidades importante avance seguir mejora; j : 36. Sim : 0.22731474; No similar. 
 rt educaunisabana inicia primera catedra abierta 20172 conferencia dra angelica satiro educacioninf; j : 37. Sim : 0.36730355; No similar. 
 rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gesti; j : 38. Sim : 0.4610415; No similar. 
 entiendo peligros veo vaso medio lleno mandaron mensaje absolutamente claro ciudadanos francisco sa; j : 39. Sim : 0.1380355; No similar. 
 politicos pusieron peso pusieron teja zinc bulto cemento expreso opinion francisco santos  ; j : 40. Sim : 0.26717943; No similar. 
 rt opusdeicolombia carta prelado 31 enero 2017 labelurl primera carta mons fernando ocariz fieles o; j : 41. Sim : 0.10308262; No similar. 
 rt mediuniandes medicos uniandinos mejores pruebas saber pro pais mediuniandes fsfbsalud uniandinos; j : 42. Sim : 0.5060469; Baja. 
 rt bibliosabana unisabana olvides velada literaria hoy si fan harrypotter va encantar bienestarsaba; j : 43. Sim : 0.24494597; No similar. 
 rt jrestrp felicitaciones cristina pardo egresada profesora urosarionews eleccion magistrada corte ; j : 44. Sim : 0.40747678; No similar. 
 rt cespedeslinam magistrado consejo francia facultad jurisprudencia urosarionews catedra inaugural ; j : 45. Sim : 0.42694387; No similar. 
 rt sfcsupervisor informacion cierta suficiente clara oportuna consumidores tomen decisiones adecuad; j : 46. Sim : 0.08519839; No similar. 
 nefastos numeros paro camionero ana maria olaya eicea via eltiempo labelurl colombia parocamionero ; j : 47. Sim : 0.43908024; No similar. 
 crecimientoverde mas union comunidades cientifica generadora politicas mejor mitigacion cambio clim; j : 48. Sim : 0.5813387; Baja. 
 rt medicinasabana anocolombiafrancia colfra2017 memorando entendimiento universidad pierre et marie; j : 49. Sim : 0.44421095; No similar. 
 rt fcardioinfantil acuerdo permitira estudiantes medicina pongan practica conocimientos dr santiago; j : 50. Sim : 0.56019914; Baja. 
 va mas humanismo mas sensible piensa solo terminos matematicos maria clara aristizabal  ; j : 51. Sim : 0.3371176; No similar. 
 unico creia iba ganar partido incluyendo alvaro uribe francisco santos exvicepresidente colombia  ; j : 52. Sim : 0.43163395; No similar. 
 rt innpulsacol implementamos metodologia rede uniandes pilar metodologia produccion mas limpia apre; j : 53. Sim : 0.4344918; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 54. Sim : 0.39702934; No similar. 
 eln inclinaria mas caminos mas explicitos participacion comunidades lideres sociales carlos velandi; j : 55. Sim : 0.5841094; Baja. 
 rt uis orgullouis centro colombiano computacion avanzada iniciara labor universidad apoyado uniande; j : 56. Sim : 0.38547024; No similar. 
 rt posmedunisabana firma memorando entendimiento universidad pierre et marie curiesorbona paris vi ; j : 57. Sim : 0.4510409; No similar. 
 rt juancmartinez lanzamiento libro estudios derecho consumo homenaje alvaro mendoza ramirez aporte ; j : 58. Sim : 0.48092017; No similar. 
 rt congresovisible diadelamujer datos clave percepcion roles genero colombia trabajo mujeres congre; j : 59. Sim : 0.5506061; Baja. 
 aun tal proceso totalmente atipico mundo parezca carlos velandia gestor paz eln  ; j : 60. Sim : 0.2849275; No similar. 
 rt cancilleriaur jeroen roodenburg embajador reino paises bajos colombia urosarionews explorando pr; j : 61. Sim : 0.3782831; No similar. 
 rt derechousabana ii jornadas internacionales propiedad intelectual cedepi cordobamarentes juancmar; j : 62. Sim : 0.4583197; No similar. 
 rt economiauandes documentocede no26 land child labor and schoolinglongitudinal evidence from colom; j : 63. Sim : 0.20262612; No similar. 
 rt deuniandes medallista olimpico oscar figueroa visito u dejo mensaje estudiantes curso practica s; j : 64. Sim : 0.5001527; Baja. 
 rt minjusticiaco aestahora ministro enriquegilbgil participa foro plandecenal justicia organizado c; j : 65. Sim : 0.29390293; No similar. 
 terreno civil estable sociedad democratica c tognato director centro nicanor restrepo santamaria pa; j : 66. Sim : 0.35360324; No similar. 
 primero sonreir edna hurtado cesar yepes juan pablo soche charla formacion volunta labelurl  ; j : 67. Sim : 0.40070724; No similar. 
