Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be colombia esperamos juan conferencia 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 1. Sim : 0.5276047; Baja. 
 elmimori saludos taquillas bloque 29 primer piso funcionan lunes viernes 800 be 1200 pm 200 600 pm ; j : 2. Sim : 0.44893122; No similar. 
 rt fundacionanaas marcas contrabandodecigarrillo camel damp j gold seal golden deer ibiza jaisalmer; j : 3. Sim : 0.25516844; No similar. 
 danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justici; j : 4. Sim : 0.28868175; No similar. 
 hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos  ; j : 5. Sim : 0.5035304; Baja. 
 rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicaci; j : 6. Sim : 0.71322995; Media. 
 hoy damos inicio cineclub chaplin charlie vida obra charles bloque 18 auditorio 110 600 pm labelurl; j : 7. Sim : 0.49071696; No similar. 
 hoyeneafit cine club universidad eafit fuego fatuo bloque 38 aula 110 partir 600 pm esperamos  ; j : 8. Sim : 0.5313888; Baja. 
 rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector c; j : 9. Sim : 0.33152223; No similar. 
 rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derecho; j : 10. Sim : 0.61260587; Baja. 
 simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelu; j : 11. Sim : 0.6851526; Media. 
 rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 en; j : 12. Sim : 0.54174554; Baja. 
 rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rz; j : 13. Sim : 0.36847347; No similar. 
 rt behrentz hace 68 anos martes 29 marzo 1949 lugar primeras clases uniandeshoy queremos saber recu; j : 14. Sim : 0.41311797; No similar. 
 1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia  ; j : 15. Sim : 0.42860734; No similar. 
 estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte su; j : 16. Sim : 0.2137637; No similar. 
 hoyeneafit cine club universidad eafit lacombe lucien bloque 38 aula 110 partir 600 pm labelurl  ; j : 17. Sim : 0.4789135; No similar. 
 hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl  ; j : 18. Sim : 0.5492491; Baja. 
 hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl  ; j : 19. Sim : 0.55358654; Baja. 
 hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl  ; j : 20. Sim : 0.47970012; No similar. 
 hoyeneafit cine club universidad eafit amor asunto privado bloque 38 aula 110 partir 600 labelurl  ; j : 21. Sim : 0.4347146; No similar. 
 hoyeneafit cine club universidad eafit adios ninos bloque 38 aula 110 partir 600 pm labelurl  ; j : 22. Sim : 0.58374333; Baja. 
