Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy noche 
 rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and inte; j : 1. Sim : 0.021195902; No similar. 
 rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participa; j : 2. Sim : -0.03015645; No similar. 
 how to adapt the social model in the age of polarization jeanolivier hairault paris school of econo; j : 3. Sim : -0.020212648; No similar. 
 rt biomedcentral from acclimation to adaptation the plastic life of caribbean soft coral by biommar; j : 4. Sim : 0.013631234; No similar. 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 5. Sim : 0.6375012; Baja. 
 dublin institute of technology centenary scholarship programme for more information please visit ou; j : 6. Sim : 0.039869566; No similar. 
 rt economiauandes documentocede no25 the effect of child disability on parent labour supply evidenc; j : 7. Sim : 0.039117128; No similar. 
 rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio; j : 8. Sim : 0.19470744; No similar. 
 finalizar gran dia opera the medium video canal institucional untelevision labelurl feliz noche com; j : 9. Sim : 0.5637293; Baja. 
 feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolomb; j : 10. Sim : 0.7247095; Media. 
 rt unisabanaradio excusa recuerda puedes escuchar usr tunein radio app radio garden unisabana app y; j : 11. Sim : 0.25381428; No similar. 
 comunidadun terminamos dia mejor energia tener unas grandes vacaciones deseamos feliz diciembre unp; j : 12. Sim : 0.6252446; Baja. 
 feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos  ; j : 13. Sim : 0.7208557; Media. 
 comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unpar; j : 14. Sim : 0.58461106; Baja. 
 zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atenc; j : 15. Sim : 0.32932687; No similar. 
 rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas; j : 16. Sim : 0.39689335; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes un; j : 17. Sim : 0.3618097; No similar. 
 felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun ; j : 18. Sim : 0.38051423; No similar. 
 terminar ano queremos decir gracias ser parte gran comunidadun 2016 regresamos mas unparatodos  ; j : 19. Sim : 0.40913254; No similar. 
 rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noesho; j : 20. Sim : 0.22505432; No similar. 
 the complexities of truth tell for trust reintegration and peace seminario internacional desafios p; j : 21. Sim : 0.020875804; No similar. 
 principios siglo xx medellin interpretaba musica salon musica adaptaba bandas lira fernando gil  ; j : 22. Sim : 0.29797375; No similar. 
 rt obsdemocracia invitados esperamos cafe digital datos gobierno abierto manana jueves mas informac; j : 23. Sim : 0.47134385; No similar. 
 comunidadun 257 votos recibimos 81 participantes cree acuerdo paz debe ser firmado uncolombia  ; j : 24. Sim : 0.27903575; No similar. 
 si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ; j : 25. Sim : 0.26702464; No similar. 
 rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti uni; j : 26. Sim : 0.15352267; No similar. 
 finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin sema; j : 27. Sim : 0.64561343; Baja. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 28. Sim : 0.7343739; Media. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 29. Sim : 0.40615886; No similar. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 30. Sim : 0.68920267; Media. 
 buenviernes toda comunidadun acompana diariamente rede sociales oficiales deseamos gran dia somosun; j : 31. Sim : 0.42028797; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 32. Sim : 0.65788156; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 33. Sim : 0.6995212; Media. 
 feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos  ; j : 34. Sim : 0.69979393; Media. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 35. Sim : 0.6995212; Media. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 36. Sim : 0.5316305; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 37. Sim : 0.71501464; Media. 
 feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos  ; j : 38. Sim : 0.68054366; Media. 
 rt fismed hoy comenzamos travesia tres dias hoy compartiremos eafit placer contar historias bienven; j : 39. Sim : 0.56708694; Baja. 
 lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333  ; j : 40. Sim : 0.44227728; No similar. 
 acabo dia alcanzaste pasar biblioteca atencion 247 31 mes aprovecha noche somosun  ; j : 41. Sim : 0.49797872; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 42. Sim : 0.21331938; No similar. 
 bojaya votamos 96 si teniamos todas razones votar padre antun ramos lapazesposible  ; j : 43. Sim : 0.20825663; No similar. 
 rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja val; j : 44. Sim : 0.31014237; No similar. 
 natasha kanape refleja poesia deseo cambiar mundo cuida rlo ingrid bejerman haymedellin17 labelurl ; j : 45. Sim : 0.18810172; No similar. 
 rt obsdemocracia participe tan probable cree logre consenso salvar acuerdo paz finalizar 2016 http ; j : 46. Sim : 0.20999399; No similar. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 47. Sim : 0.47876626; No similar. 
 buenos dias comunidadun comencemos dia conociendo mas proyecto ley 047 labelurl uncolombia diegofhl; j : 48. Sim : 0.5135115; Baja. 
 preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman ; j : 49. Sim : 0.28226537; No similar. 
 laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactar; j : 50. Sim : 0.44057938; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 51. Sim : 0.45765838; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 52. Sim : 0.4823496; No similar. 
 andfel05 saludos error corregido puede volver ingresar oferta conocer informacion feliz dia  ; j : 53. Sim : 0.37511754; No similar. 
 unparatodos conoce mas proyecto fritz karsen deje huella labelurl via semanaed oribogota unbogota  ; j : 54. Sim : 0.33285046; No similar. 
 video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios  ; j : 55. Sim : 0.43180418; No similar. 
 comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unpara; j : 56. Sim : 0.40590537; No similar. 
 rt educaunisabana buenasnoticias mas 300 obras disponibles 24 horas dia siete dias semana unisabana; j : 57. Sim : 0.5465317; Baja. 
 riveracamilaaa buenas tardes favor envianos datos mensaje interno atender solicitud gracias atencio; j : 58. Sim : 0.31707543; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 59. Sim : 0.18311642; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 60. Sim : 0.09258901; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 61. Sim : 0.1506931; No similar. 
 sondeo usted acuerdo proyecto ciudad can retira predios da unal opine aqui labelurl  ; j : 62. Sim : 0.20175436; No similar. 
 rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio d; j : 63. Sim : 0.35637963; No similar. 
 300 pm institucionaltv lapazenfoco frbarbosa74 dejusticia rodrigo uprimny camilo borrero piensapazu; j : 64. Sim : 0.11984333; No similar. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 65. Sim : 0.285828; No similar. 
