Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos concierto 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 2; j : 10. Sim : 0.42915234; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 11. Sim : 0.16345201; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 12. Sim : 0.19675508; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 13. Sim : 0.24560769; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 26 piso labe; j : 14. Sim : 0.40048704; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 15. Sim : 0.15243441; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 16. Sim : 0.23196416; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 17. Sim : 0.203483; No similar. 
 manana celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque label; j : 18. Sim : 0.47046894; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 19. Sim : 0.24603273; No similar. 
 rt urosarioradio hoy estrenamos conteo musical universitario mas destacado urdel10al1 dias 10am hoy; j : 20. Sim : 0.45305538; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloque 26 piso 7 labe; j : 21. Sim : 0.39000452; No similar. 
 rt unisabanaradio aire werockus hablando albumes cumplen 50 anos historia sgt pepper lonely heart c; j : 22. Sim : 0.2767987; No similar. 
 rt colombiapurdue peter s maria eafit universidadeia cofounder use colombiapurdue relationships to ; j : 23. Sim : 0.3713898; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 24. Sim : 0.215067; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 25. Sim : 0.22944787; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 26. Sim : 0.3707886; No similar. 
 hoyeneafit concierto gratuito eva zollner 28 octubre auditorio fundadores 730 pm entrada libre bo l; j : 27. Sim : 0.46033025; No similar. 
 rt unisabana asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 ; j : 28. Sim : 0.4106562; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 29. Sim : 0.2093788; No similar. 
 rt jsmcdougald master in masterselt unisabana get ready for new academic year all the best labelurl; j : 30. Sim : 0.18081483; No similar. 
 my best rts this week come from blogdelanacho diegofhl dibun thanksall who be yours labelurl labelu; j : 31. Sim : 0.19912946; No similar. 
 va corrido ano llegado 100 toneladas droga incautada vice mindefensa anibal fernandez soto forounga; j : 32. Sim : 0.23478197; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 33. Sim : 0.2789971; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 34. Sim : 0.38730928; No similar. 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloqu labe; j : 35. Sim : 0.44759884; No similar. 
 si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl  ; j : 36. Sim : 0.32071006; No similar. 
 hoy buena parte droga producida colombia queda pais vice mindefensa anibal fernandez soto foroungas; j : 37. Sim : 0.3723748; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 38. Sim : 0.4839956; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 39. Sim : 0.28174588; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 40. Sim : 0.12180979; No similar. 
 rt estadoalterado invitados luz hermoso recital natalia valencia eafit sera proximo 10 marzo entrad; j : 41. Sim : 0.40322253; No similar. 
 rt uniandesderecho hoy foro 130 pm edificio santo domingo sala conferencias 1003 uniandes invita ma; j : 42. Sim : 0.45286593; No similar. 
 rt serpilopaga atencion pilo si credito condonable 3ra convocatoria pre aprobado debes seguir sigui; j : 43. Sim : 0.33526978; No similar. 
 empleos demandan mas habilidades socioemocionales tambien demandan mas habilidades cognitivas pablo; j : 44. Sim : 0.33544484; No similar. 
 rt unisabanaradio vaya dejar tren recuerden manana sale gran estacion 535 be unisabana voyentren ht; j : 45. Sim : 0.4677759; No similar. 
 rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo u; j : 46. Sim : 0.14005086; No similar. 
 rt deuniandes gracias programa padrinazgo grupo andar nuevos uniandinos podran sentirse parte red a; j : 47. Sim : 0.22778608; No similar. 
 rt jrestrp hoy hace 363 anos nacio urosarionews ilustrar republica formar personas profesionales ha; j : 48. Sim : 0.34640124; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 49. Sim : 0.33019254; No similar. 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 50. Sim : 0.41540754; No similar. 
 rt oaduniandes ayeryhoy mirada edificio roberto franco hacia prado san alberto magno throwbackthurs; j : 51. Sim : 0.26411247; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 52. Sim : 0.29311675; No similar. 
 asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 flickr labelu; j : 53. Sim : 0.3715115; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 54. Sim : 0.24440113; No similar. 
 rt deportessabana sabana campeon general masculino subcampeon femenino finales grupo universitario ; j : 55. Sim : 0.34151787; No similar. 
 rt oaduniandes ayeryhoy mirada prado san alberto magno hacia bloque g identifica diferencias coment; j : 56. Sim : 0.06803629; No similar. 
 rt hernanolano despues 21 anos unisabana dpto historia despedimos dr juan maria guasch graciasguasc; j : 57. Sim : 0.4965293; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 58. Sim : 0.38249016; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 59. Sim : 0.21686234; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 60. Sim : 0.46872061; No similar. 
 rt unisabanaradio lanzamiento libro drogas politicas publicas profesor alfonso aza jacome unisabana; j : 61. Sim : 0.4839801; No similar. 
 manana partir 800 be aud alfonso lopez pumarejo entrada libre completar aforo launcuenta labelurl  ; j : 62. Sim : 0.40798533; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 63. Sim : 0.41859686; No similar. 
