Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 
 rt iptigeneva experience tell us when people do not own process it be hard to sell the peace agreem; j : 1. Sim : 0.109525554; No similar. 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 2. Sim : 0.101185955; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 3. Sim : 0.12166975; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 4. Sim : 0.078377865; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 5. Sim : 0.24839284; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 6. Sim : 0.18667382; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 7. Sim : 0.17940855; No similar. 
 rt andrecdalmeida uniandes imagine the future of education for sdgs with 32 universities from 22 co; j : 8. Sim : 0.1596306; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 9. Sim : 0.31310126; No similar. 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 2; j : 10. Sim : 0.33115858; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 11. Sim : 0.12590197; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 12. Sim : 0.16425243; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 13. Sim : 0.1907449; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 26 piso labe; j : 14. Sim : 0.30136746; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 15. Sim : 0.13991147; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 16. Sim : 0.2018977; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 17. Sim : 0.18067369; No similar. 
 manana celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque label; j : 18. Sim : 0.36377952; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 19. Sim : 0.2140176; No similar. 
 rt urosarioradio hoy estrenamos conteo musical universitario mas destacado urdel10al1 dias 10am hoy; j : 20. Sim : 0.42266122; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloque 26 piso 7 labe; j : 21. Sim : 0.31992203; No similar. 
 rt unisabanaradio aire werockus hablando albumes cumplen 50 anos historia sgt pepper lonely heart c; j : 22. Sim : 0.1495653; No similar. 
 rt colombiapurdue peter s maria eafit universidadeia cofounder use colombiapurdue relationships to ; j : 23. Sim : 0.33601072; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 24. Sim : 0.18461356; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 25. Sim : 0.1603389; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 26. Sim : 0.32449865; No similar. 
 hoyeneafit concierto gratuito eva zollner 28 octubre auditorio fundadores 730 pm entrada libre bo l; j : 27. Sim : 0.3775561; No similar. 
 rt unisabana asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 ; j : 28. Sim : 0.38753307; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 29. Sim : 0.17303021; No similar. 
 rt jsmcdougald master in masterselt unisabana get ready for new academic year all the best labelurl; j : 30. Sim : 0.15658106; No similar. 
 my best rts this week come from blogdelanacho diegofhl dibun thanksall who be yours labelurl labelu; j : 31. Sim : 0.1508406; No similar. 
 va corrido ano llegado 100 toneladas droga incautada vice mindefensa anibal fernandez soto forounga; j : 32. Sim : 0.25264302; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 33. Sim : 0.26994088; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 34. Sim : 0.36658967; No similar. 
 hoyeneafit celebracion mes financiero cine foro proyeccion pelicula the big short 500 pm bloqu labe; j : 35. Sim : 0.3566387; No similar. 
 si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl  ; j : 36. Sim : 0.34460676; No similar. 
 hoy buena parte droga producida colombia queda pais vice mindefensa anibal fernandez soto foroungas; j : 37. Sim : 0.4117272; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 38. Sim : 0.42793238; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 39. Sim : 0.20249814; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 40. Sim : 0.1687525; No similar. 
 rt estadoalterado invitados luz hermoso recital natalia valencia eafit sera proximo 10 marzo entrad; j : 41. Sim : 0.35595602; No similar. 
 rt uniandesderecho hoy foro 130 pm edificio santo domingo sala conferencias 1003 uniandes invita ma; j : 42. Sim : 0.43936038; No similar. 
 rt serpilopaga atencion pilo si credito condonable 3ra convocatoria pre aprobado debes seguir sigui; j : 43. Sim : 0.3106688; No similar. 
 empleos demandan mas habilidades socioemocionales tambien demandan mas habilidades cognitivas pablo; j : 44. Sim : 0.3163795; No similar. 
 rt unisabanaradio vaya dejar tren recuerden manana sale gran estacion 535 be unisabana voyentren ht; j : 45. Sim : 0.47758818; No similar. 
 rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo u; j : 46. Sim : 0.118619464; No similar. 
 rt deuniandes gracias programa padrinazgo grupo andar nuevos uniandinos podran sentirse parte red a; j : 47. Sim : 0.20035006; No similar. 
 rt jrestrp hoy hace 363 anos nacio urosarionews ilustrar republica formar personas profesionales ha; j : 48. Sim : 0.35202527; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 49. Sim : 0.31921571; No similar. 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 50. Sim : 0.40526947; No similar. 
 rt oaduniandes ayeryhoy mirada edificio roberto franco hacia prado san alberto magno throwbackthurs; j : 51. Sim : 0.25706765; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 52. Sim : 0.29789037; No similar. 
 asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 flickr labelu; j : 53. Sim : 0.3377918; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 54. Sim : 0.24664344; No similar. 
 rt deportessabana sabana campeon general masculino subcampeon femenino finales grupo universitario ; j : 55. Sim : 0.36163884; No similar. 
 rt oaduniandes ayeryhoy mirada prado san alberto magno hacia bloque g identifica diferencias coment; j : 56. Sim : 0.08546031; No similar. 
 rt hernanolano despues 21 anos unisabana dpto historia despedimos dr juan maria guasch graciasguasc; j : 57. Sim : 0.47678167; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 58. Sim : 0.36411357; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 59. Sim : 0.2208288; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 60. Sim : 0.37922928; No similar. 
 rt unisabanaradio lanzamiento libro drogas politicas publicas profesor alfonso aza jacome unisabana; j : 61. Sim : 0.4345577; No similar. 
 manana partir 800 be aud alfonso lopez pumarejo entrada libre completar aforo launcuenta labelurl  ; j : 62. Sim : 0.34013644; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 63. Sim : 0.35975713; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 64. Sim : 0.28580847; No similar. 
 orgullouniandes andes subio 16 puestos rank global qs hace parte top 1 universidades mundo labelurl; j : 65. Sim : 0.31910938; No similar. 
 problema drogas cambiado cultivos parte industrial comercializacion vice mindefensa anibal fernande; j : 66. Sim : 0.15961206; No similar. 
 rt uniandesderecho estan cordialmente invitados proximo seminario cijus entrada libre cupo limitado; j : 67. Sim : 0.3410508; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.20865013; No similar. 
 rt sinfonicaeafit pierdas jueves 6 abril v concierto temporada mass in blue venta boletas eafit blo; j : 69. Sim : 0.30790788; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 70. Sim : 0.36668563; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 71. Sim : 0.23229618; No similar. 
 hoy propone van der hammen 700 1400 hectareas vuelvan parte reserva publica enriquepenalosa  ; j : 72. Sim : 0.1968755; No similar. 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 73. Sim : 0.42999598; No similar. 
