Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia mas estudiantes paz educacion social cambio investigacion innovacion 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.4654044; No similar. 
 creo eln quiera negociar presidente tampoco creo presidente aliento carlos velandia gestor paz eln ; j : 2. Sim : 0.372905; No similar. 
 transformacion debe generar oportunidades crear mundo mejor generar aporte sociedad mauricio carren; j : 3. Sim : 0.38341874; No similar. 
 rt wenrosal felicitaciones drs fernando lizcano luz indira sotelo dusko kalenatic grandes investiga; j : 4. Sim : 0.23168744; No similar. 
 rt facisouniandes hoy tendra lugar evento whats next for colombia reconciliation and peacebuilding ; j : 5. Sim : 0.40516952; No similar. 
 rt camaraoriente eventoscamara queremos contribuir generar economias mas competitivas region andres; j : 6. Sim : 0.5582344; Baja. 
 rt educaunisabana olga castiblancoana florido diana pulido junto profesor asesor johnalba25 present; j : 7. Sim : 0.31371573; No similar. 
 call for paper ethejournal universities of the future educational and organizational challenge and ; j : 8. Sim : 0.19220321; No similar. 
 rt derechousabana reciente publicacion diana maria gomez salas amigas lactancia realidad pais eltie; j : 9. Sim : 0.56704; Baja. 
 oigan paso primera vez santos uribe timochenko hablan mismo lenguaje parece importante francisco sa; j : 10. Sim : 0.29452732; No similar. 
 lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauni; j : 11. Sim : 0.28973714; No similar. 
 seguramente orden parecida ejercito habran recibido huestes camarada timochenko carlos velandia ges; j : 12. Sim : 0.41636342; No similar. 
 entiendo peligros veo vaso medio lleno mandaron mensaje absolutamente claro ciudadanos francisco sa; j : 13. Sim : 0.25553855; No similar. 
 presidente quedado atado pies manos decision tomado pais carlos velandia gestor paz eln  ; j : 14. Sim : 0.41932458; No similar. 
 seminar spectral and spatial analysis of vegetation traits and ecosystem process pierdas presentaci; j : 15. Sim : 0.26370206; No similar. 
 invito ayuden construir podemos seguir culpandonos pase pagina trabajo tender puentes francisco san; j : 16. Sim : 0.32454553; No similar. 
 eln critico aspero acuerdo firmado presidente santos guerrilla farc carlos velandia gestor eln  ; j : 17. Sim : 0.45848703; No similar. 
 lideres opinion estan logrando cambiar opinion centros educativos siguen escindidos realidad nicola; j : 18. Sim : 0.61864984; Baja. 
 rt cementosargos pasado ser exportador jugador local multiples mercados juan esteban calle foro inf; j : 19. Sim : 0.32699215; No similar. 
 encuentro ingenio innovacion usingenieria pensar diferente ser creativo ir mas alla conocido edgar ; j : 20. Sim : 0.47805238; No similar. 
 gladys agudelo rectora ie fundacion celia duque abejorral agradece eafit oportunidad da estudiantes; j : 21. Sim : 0.4872622; No similar. 
 rt igarzonvallejo aca pueden ver foro plebiscito unisabana rafael nieto loaiza jorge ivan cuervo la; j : 22. Sim : 0.48342505; No similar. 
 circunstancias tiro borracho puede modificar manera dramatica proceso carlos velandia gestor paz el; j : 23. Sim : 0.43787426; No similar. 
 reglas formales normas morales normas sociales estan alineadas mas economico llegar acuerdos antana; j : 24. Sim : 0.46795815; No similar. 
 siempre riesgo ser desplazados ahora consumidores adquieren servicios activos mauricio carreno gedi; j : 25. Sim : 0.28276744; No similar. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 26. Sim : 0.56674635; Baja. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 27. Sim : 0.27476627; No similar. 
 rt profebarreto maestria pedagogia visita institucional colegios san jose santa catalina siena maic; j : 28. Sim : 0.5023943; Baja. 
 ustedes viven estrato 87 recorri ciudad eleccion manda dosis humildad grande francisco santos  ; j : 29. Sim : 0.46645167; No similar. 
 rt comsabana natalia pinzon jefe becas ayudas economicas explica beneficios economicos ofrece unisa; j : 30. Sim : 0.5310502; Baja. 
 comenzo noviolenciaton jueves invitamos cine foro dr martin luther king jr historical perspe labelu; j : 31. Sim : 0.32303357; No similar. 
 rt unisabanaradio modo elige carrera quieren hacer propio programa radio pasen estudio unisabana ra; j : 32. Sim : 0.26705265; No similar. 
 adivinen cuantos concejales bogota viven ciudad bolivar cero desconexion elector elegido francisco ; j : 33. Sim : 0.46170852; No similar. 
 rt metrodemedellin metro eafit obtienen nueva patente internacional sistema detectar defectos redon; j : 34. Sim : 0.16743305; No similar. 
 pregunta hoy si posible implementacion acuerdos si posible negociar eln si posible renegociar  ; j : 35. Sim : 0.20936774; No similar. 
 ser victima matoneo mundo real incrementa 10 posibilidades serlo rede sociales sandracortesi respet; j : 36. Sim : 0.4210074; No similar. 
 rt juancmartinez lanzamiento libro estudios derecho consumo homenaje alvaro mendoza ramirez aporte ; j : 37. Sim : 0.4849607; No similar. 
 rt unisabanaradio menos 24 horas cumplir anos sensaciones invaden alegria emocion gratitudgracias f; j : 38. Sim : 0.44851878; No similar. 
 unico creia iba ganar partido incluyendo alvaro uribe francisco santos exvicepresidente colombia  ; j : 39. Sim : 0.46720237; No similar. 
 politicos pusieron peso pusieron teja zinc bulto cemento expreso opinion francisco santos  ; j : 40. Sim : 0.32803842; No similar. 
 rt deuniandes medallista olimpico oscar figueroa visito u dejo mensaje estudiantes curso practica s; j : 41. Sim : 0.51000196; Baja. 
 rt minjusticiaco aestahora ministro enriquegilbgil participa foro plandecenal justicia organizado c; j : 42. Sim : 0.3254093; No similar. 
 rt fcardioinfantil acuerdo permitira estudiantes medicina pongan practica conocimientos dr santiago; j : 43. Sim : 0.50444883; Baja. 
 primero sonreir edna hurtado cesar yepes juan pablo soche charla formacion volunta labelurl  ; j : 44. Sim : 0.40714008; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 45. Sim : 0.29037744; No similar. 
