Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video 
 rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participa; j : 1. Sim : 0.03745564; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 2. Sim : 0.21683541; No similar. 
 rt biblioeafit hoy manana gemma bernado doctora filologia clasica estara eafit hablando libros incu; j : 3. Sim : 0.40270343; No similar. 
 rt economiauandes documentocede no25 the effect of child disability on parent labour supply evidenc; j : 4. Sim : 0.123602435; No similar. 
 rt luisfermartin felices 37anosunisabana orgulloso alma mater casi cuatro decadas trabajo bien hech; j : 5. Sim : 0.3771745; No similar. 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 6. Sim : 0.57925165; Baja. 
 dublin institute of technology centenary scholarship programme for more information please visit ou; j : 7. Sim : 0.09696662; No similar. 
 rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio; j : 8. Sim : 0.16792895; No similar. 
 the complexities of truth tell for trust reintegration and peace seminario internacional desafios p; j : 9. Sim : 0.040539294; No similar. 
 pague diez anos efectivos prision debo nadie llevo timochenko metiera nombre discurso historico cv ; j : 10. Sim : 0.3260267; No similar. 
 rt cideruniandes diamundialdelrefugiado sabias segun datos acnur colombia sigue siendo pais mas des; j : 11. Sim : 0.36480585; No similar. 
 feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolomb; j : 12. Sim : 0.6244823; Baja. 
 feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos  ; j : 13. Sim : 0.58838713; Baja. 
 comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unpar; j : 14. Sim : 0.59057766; Baja. 
 comunidadun terminamos dia mejor energia tener unas grandes vacaciones deseamos feliz diciembre unp; j : 15. Sim : 0.6170487; Baja. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes un; j : 16. Sim : 0.3533971; No similar. 
 rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas; j : 17. Sim : 0.39076427; No similar. 
 imaginan ganado si 50000 votos estaria incendiado pais tan inteligente mando mensaje contrario  ; j : 18. Sim : 0.29845092; No similar. 
 zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atenc; j : 19. Sim : 0.39214653; No similar. 
 felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun ; j : 20. Sim : 0.38561106; No similar. 
 si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ; j : 21. Sim : 0.28648958; No similar. 
 terminar ano queremos decir gracias ser parte gran comunidadun 2016 regresamos mas unparatodos  ; j : 22. Sim : 0.43581134; No similar. 
 principios siglo xx medellin interpretaba musica salon musica adaptaba bandas lira fernando gil  ; j : 23. Sim : 0.31576726; No similar. 
 comunidadun 257 votos recibimos 81 participantes cree acuerdo paz debe ser firmado uncolombia  ; j : 24. Sim : 0.36096862; No similar. 
 rt sofaunisabana recuerdan wachu open english pues viernes enelsofa unisabanaradio interprete adria; j : 25. Sim : 0.30382264; No similar. 
 rt jrestrp editorial urosarionews lanza feria 5 68 nuevos libros ultimo ano compromiso investigacio; j : 26. Sim : 0.3304165; No similar. 
 medejean cementosargos buenos dias puede ingresar porterias peatonales dejarla espacios bicicletas ; j : 27. Sim : 0.1991382; No similar. 
 rt unisabanaradio casi acaban talentos musicales 2016 gracias participaron hicieron pasar buen rato; j : 28. Sim : 0.1933594; No similar. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 29. Sim : 0.47478506; No similar. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 30. Sim : 0.67155325; Media. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 31. Sim : 0.5856928; Baja. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 32. Sim : 0.6592711; Baja. 
 feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos  ; j : 33. Sim : 0.5839981; Baja. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 34. Sim : 0.53598845; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 35. Sim : 0.6068161; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 36. Sim : 0.6366376; Baja. 
 feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos  ; j : 37. Sim : 0.5571315; Baja. 
 bojaya votamos 96 si teniamos todas razones votar padre antun ramos lapazesposible  ; j : 38. Sim : 0.32362276; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 39. Sim : 0.39395946; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 40. Sim : 0.23729442; No similar. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 41. Sim : 0.45768803; No similar. 
 rt revistaarcadia acaban conocer finalistas premio nacional literatura eafit patricia engel rsilvar; j : 42. Sim : 0.26333842; No similar. 
