Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana convocatoria paz inscripciones mas estudiantes uniandes conoce universidad informacion 
 rt iptigeneva organize citizen forums all over colombia could give new ownership of the peace proce; j : 1. Sim : 0.19234806; No similar. 
 rt fundacionanaas marcas contrabandodecigarrillo camel damp j gold seal golden deer ibiza jaisalmer; j : 2. Sim : 0.12474936; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 3. Sim : 0.075661816; No similar. 
 midase gastos si va pedir prestado conozca bancos cobran maria teresa macias labelurl via eltiempo ; j : 4. Sim : 0.061794505; No similar. 
 jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humbold; j : 5. Sim : 0.20085792; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 6. Sim : 0.13371125; No similar. 
 rt maestriaderintl conversatorio climate change after the paris agreement where next annalisa savar; j : 7. Sim : 0.25112355; No similar. 
 jochepacheco hola rutasconflicto recibio premio data journalism award categoria mejor sitio web per; j : 8. Sim : 0.46103773; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 9. Sim : 0.20205776; No similar. 
 rt wflorizoone university install train to get staff and students out of traffic congestion labelur; j : 10. Sim : 0.20607586; No similar. 
 rt rettberga pasa lideres sociales perspectivas pcion pol farcque opinan autoridades locales zonas ; j : 11. Sim : 0.33616045; No similar. 
 finalizo epemti 2016 santiago loaiza ie rosa maria henao pavas sonson gano beca pregrado labelurl  ; j : 12. Sim : 0.30995625; No similar. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 13. Sim : 0.22100537; No similar. 
 rt disenouniandes mineducacion renueva acreditacion alta calidad disenouniandes uniandes 2025 res 1; j : 14. Sim : 0.16498801; No similar. 
 rt niulive unisabana students join niuceet students for intensive industrial systems engineer summe; j : 15. Sim : 0.24005577; No similar. 
 rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noesho; j : 16. Sim : 0.22186935; No similar. 
 rt behrentz hoy cena quieroestudiar uniandes gracias filantropos colombianos alcanzamos meta 2400 m; j : 17. Sim : 0.23636402; No similar. 
 rt opusdeicolombia carta prelado 31 enero 2017 labelurl primera carta mons fernando ocariz fieles o; j : 18. Sim : 0.21644294; No similar. 
 rt bibliosabana unisabana olvides velada literaria hoy si fan harrypotter va encantar bienestarsaba; j : 19. Sim : 0.2288231; No similar. 
 rt profebarreto estudiantes maestria pedagogia ext guajira unisabana organizan primer coloquio depa; j : 20. Sim : 0.5369525; Baja. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 21. Sim : 0.2599719; No similar. 
 partir 16 julio ingreso red inalambrica seneca cambiara cara sera mas amigable esperelo labelurl  ; j : 22. Sim : 0.23362547; No similar. 
 comunidadun vive sostenible alimentarse bien sentirse bien campana cero uso icopor disminucion uso ; j : 23. Sim : 0.16269337; No similar. 
 rt serpilopaga si ultimos meses cumpliste mayoria edad debes actualizar datos icetex invitamos segu; j : 24. Sim : 0.30806497; No similar. 
 rt mauriciocard maria fernanda sanchez santiago neira estudiantes economia 5 6 semestre ejemplos ap; j : 25. Sim : 0.4704621; No similar. 
 rt integracundbta excelente iniciativa unisabana podria sustituir 1500 vehiculos tren trenusabana c; j : 26. Sim : 0.15647633; No similar. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 27. Sim : 0.17887492; No similar. 
 final 80 viviamos agotamiento politico sitio permanente paz necesitaba gran acuerdo fabio villa  ; j : 28. Sim : 0.2563671; No similar. 
 rt fboteroj casa llena mas 150 estudiantes 15 profesores cpol discutiendo haciendo plebiscito ayer ; j : 29. Sim : 0.42327654; No similar. 
 diosserfmlipais buenas tardes ingresa plataforma usuario clave uniandes actualiza datos agrega perf; j : 30. Sim : 0.2806122; No similar. 
 media ingreso hombre trabajador ee uu igual teniamos hace 42 anos josephestiglitz elfuturodecolombi; j : 31. Sim : 0.29727697; No similar. 
 buena parte causas brecha acceso vienen desigualdades previas educacionsuperior maria marta ferreri; j : 32. Sim : 0.20425141; No similar. 
 vias terciariashan sido fuente corrupcion trabajamos modelo evite pierda plata lf andrade anicolomb; j : 33. Sim : 0.18782625; No similar. 
 preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman ; j : 34. Sim : 0.42039177; No similar. 
 hola jdavidrojas siguiente link encuentras guia paso paso podras encontrar mas informacion labelurl; j : 35. Sim : 0.41065106; No similar. 
 prepare bolsillo sobrecostos 2017 actualidad maria teresa macias profesora eicea via eltiempo label; j : 36. Sim : 0.22046898; No similar. 
 rt uis orgullouis centro colombiano computacion avanzada iniciara labor universidad apoyado uniande; j : 37. Sim : 0.31258833; No similar. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 38. Sim : 0.10788837; No similar. 
 rt posmedunisabana inscripciones abiertas maestria epidemiologia unisabana inicio clases 4 agosto 2; j : 39. Sim : 0.57809526; Baja. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 40. Sim : 0.421208; No similar. 
 nefastos numeros paro camionero ana maria olaya eicea via eltiempo labelurl colombia parocamionero ; j : 41. Sim : 0.327507; No similar. 
 rt crismaciase emocion humor empatia ingredientes conectar nuevas audiencias amelie ferro sipconnec; j : 42. Sim : 0.23883687; No similar. 
 rt bluradioco alaire doctora ana maria olaya programa economia unisabana habla parocamionero manana; j : 43. Sim : 0.4030724; No similar. 
 rt alcrionegro rionegroaldia programa bici rioes modelo nivel nacionaly cuenta universidad eafitcom; j : 44. Sim : 0.28517357; No similar. 
 gmilton3177 sttmed saludos encuentra habilitada av vegas ambos estan normalizados accesos campus  ; j : 45. Sim : 0.41220793; No similar. 
 pese crisis colombianos siguen gastando trago cigarrillos opinion giovanni hernandez via eltiempo l; j : 46. Sim : 0.1587124; No similar. 
