Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.11988956; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 2. Sim : 0.14194186; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 3. Sim : 0.123790145; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 4. Sim : 0.28855267; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 5. Sim : 0.20376892; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 6. Sim : 0.20979854; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 7. Sim : 0.30387384; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 8. Sim : 0.15666537; No similar. 
 rt andrecdalmeida uniandes imagine the future of education for sdgs with 32 universities from 22 co; j : 9. Sim : 0.2045873; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 10. Sim : 0.15106277; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 11. Sim : 0.21781687; No similar. 
 hear at tesol colombia how universidad sabana be support the growth of english language labelurl vi; j : 12. Sim : 0.28958136; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 13. Sim : 0.12448336; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 14. Sim : 0.24038784; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 15. Sim : 0.21905144; No similar. 
 rt clarsteel the tesol community in latin america labelurl an initiative from tesol colombia sponso; j : 16. Sim : 0.39573723; No similar. 
 rt unisabanaradio aire werockus hablando albumes cumplen 50 anos historia sgt pepper lonely heart c; j : 17. Sim : 0.20611352; No similar. 
 rt urosarioradio hoy estrenamos conteo musical universitario mas destacado urdel10al1 dias 10am hoy; j : 18. Sim : 0.38681358; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 19. Sim : 0.42037728; No similar. 
 rt colombiapurdue think on study abroad boilersabroad visit eafit make some videos share their expe; j : 20. Sim : 0.20509186; No similar. 
 rt colombiapurdue peter s maria eafit universidadeia cofounder use colombiapurdue relationships to ; j : 21. Sim : 0.36814424; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 22. Sim : 0.19865735; No similar. 
 va corrido ano llegado 100 toneladas droga incautada vice mindefensa anibal fernandez soto forounga; j : 23. Sim : 0.32574484; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 24. Sim : 0.18493044; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 25. Sim : 0.3871305; No similar. 
 my best rts this week come from blogdelanacho diegofhl dibun thanksall who be yours labelurl labelu; j : 26. Sim : 0.1772082; No similar. 
 hoy buena parte droga producida colombia queda pais vice mindefensa anibal fernandez soto foroungas; j : 27. Sim : 0.4327255; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 28. Sim : 0.49673367; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 29. Sim : 0.28284553; No similar. 
 bogota vamos hacer va generar minimo 6 millones viajes dia imaginense viajes hagan carro penalosa  ; j : 30. Sim : 0.36264637; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 31. Sim : 0.371035; No similar. 
 rt jrestrp hoy hace 363 anos nacio urosarionews ilustrar republica formar personas profesionales ha; j : 32. Sim : 0.3543113; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 33. Sim : 0.23678455; No similar. 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 34. Sim : 0.4145742; No similar. 
 nueva aproximacion problema drogas enfoque ambiental salud publica vice mindefensa anibal fernandez; j : 35. Sim : 0.2310163; No similar. 
 erradicacion lugares va ser facil lograr acuerdos comunidad vice mindefensa anibal fernandez soto f; j : 36. Sim : 0.3576399; No similar. 
 gracias directivos alumnos profesores egresados hicieron posible sueno alberto rodriguez 20 anos in; j : 37. Sim : 0.432956; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 38. Sim : 0.35635144; No similar. 
 rt comfama reparaciones deberian tener mision puramente correctivas deben ser ademas tareas transfo; j : 39. Sim : 0.36281586; No similar. 
 rt posmedunisabana brechas curriculo formal curriculo oculto dr eduardo diaz amado 4to simposio bio; j : 40. Sim : 0.2961607; No similar. 
 rt economiauandes documentocede no36 school choice nash implementation of stable match through rank; j : 41. Sim : 0.1799919; No similar. 
 problema drogas cambiado cultivos parte industrial comercializacion vice mindefensa anibal fernande; j : 42. Sim : 0.2726792; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 43. Sim : 0.32249913; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 44. Sim : 0.20473869; No similar. 
 orgullouniandes andes subio 16 puestos rank global qs hace parte top 1 universidades mundo labelurl; j : 45. Sim : 0.3011964; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 46. Sim : 0.30196214; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 47. Sim : 0.43332505; No similar. 
