Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 1. Sim : 0.50480485; Baja. 
 elmimori saludos taquillas bloque 29 primer piso funcionan lunes viernes 800 be 1200 pm 200 600 pm ; j : 2. Sim : 0.4845561; No similar. 
 danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justici; j : 3. Sim : 0.25528276; No similar. 
 hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos  ; j : 4. Sim : 0.5819642; Baja. 
 manicomio munecos universidad eafit presentan amigo pinchudo domingo 23 octubre 1100 be entrada lib; j : 5. Sim : 0.5474081; Baja. 
 hoy damos inicio cineclub chaplin charlie vida obra charles bloque 18 auditorio 110 600 pm labelurl; j : 6. Sim : 0.49272814; No similar. 
 rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 en; j : 7. Sim : 0.57549167; Baja. 
 rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicaci; j : 8. Sim : 0.6250249; Baja. 
 rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derecho; j : 9. Sim : 0.5381754; Baja. 
 1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia  ; j : 10. Sim : 0.32049653; No similar. 
 simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelu; j : 11. Sim : 0.653252; Baja. 
 rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rz; j : 12. Sim : 0.3261134; No similar. 
 hoyeneafit cine club universidad eafit lacombe lucien bloque 38 aula 110 partir 600 pm labelurl  ; j : 13. Sim : 0.54353666; Baja. 
 hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl  ; j : 14. Sim : 0.62213725; Baja. 
 estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte su; j : 15. Sim : 0.22064424; No similar. 
 hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl  ; j : 16. Sim : 0.5366432; Baja. 
 hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl  ; j : 17. Sim : 0.60111976; Baja. 
 cienciaseafit invitacion terrestres extraterrestres jueves 16 marzo 400 pm auditorio 101 bloque 38 ; j : 18. Sim : 0.5259759; Baja. 
 hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl  ; j : 19. Sim : 0.5227522; Baja. 
 hoyeneafit nueva jornada donacion sangre esperamos 900 be 500 pm lugar placa cubierta teni labelurl; j : 20. Sim : 0.5009987; Baja. 
 hoyeneafit cine club universidad eafit ladron paris bloque 38 aula 110 partir 600 pm l labelurl  ; j : 21. Sim : 0.62348; Baja. 
 rt educaunisabana hoy continua ciclo pedagogia francesa siglo xx tema compresion educando educador ; j : 22. Sim : 0.45582998; No similar. 
 conferencia inaugural sera eafit 11 agosto auditorio 38 110 900 be 1200 m ver mas labelurl  ; j : 23. Sim : 0.57632774; Baja. 
 rt comsocialeafit jonathan kubben hizo rede social fuente ingreso estara eafit dando tip ser instag; j : 24. Sim : 0.40326437; No similar. 
 rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios cons; j : 25. Sim : 0.45298833; No similar. 
 hoy manana realizara eafit mision rectores region occidente plan nacional colegio 10 tic 36 labelur; j : 26. Sim : 0.6193123; Baja. 
 hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl  ; j : 27. Sim : 0.39708963; No similar. 
 rt upbcolombia desarrollo palabra mutante debe interpretarse acuerdo contexto cada epoca juan luis ; j : 28. Sim : 0.43897635; No similar. 
