Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos concierto 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.13154243; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 2. Sim : 0.14687467; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 3. Sim : 0.13459225; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 4. Sim : 0.30480272; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 5. Sim : 0.22988203; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 6. Sim : 0.22383194; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 7. Sim : 0.3378302; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 8. Sim : 0.15564278; No similar. 
 rt andrecdalmeida uniandes imagine the future of education for sdgs with 32 universities from 22 co; j : 9. Sim : 0.21671942; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 10. Sim : 0.16545005; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 11. Sim : 0.23000883; No similar. 
 hear at tesol colombia how universidad sabana be support the growth of english language labelurl vi; j : 12. Sim : 0.2901592; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 13. Sim : 0.13461076; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 14. Sim : 0.23806256; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 15. Sim : 0.21717283; No similar. 
 rt clarsteel the tesol community in latin america labelurl an initiative from tesol colombia sponso; j : 16. Sim : 0.38605216; No similar. 
 rt unisabanaradio aire werockus hablando albumes cumplen 50 anos historia sgt pepper lonely heart c; j : 17. Sim : 0.27656174; No similar. 
 rt urosarioradio hoy estrenamos conteo musical universitario mas destacado urdel10al1 dias 10am hoy; j : 18. Sim : 0.4499641; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 19. Sim : 0.4246131; No similar. 
 rt colombiapurdue think on study abroad boilersabroad visit eafit make some videos share their expe; j : 20. Sim : 0.22649492; No similar. 
 rt colombiapurdue peter s maria eafit universidadeia cofounder use colombiapurdue relationships to ; j : 21. Sim : 0.36668378; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 22. Sim : 0.20494285; No similar. 
 va corrido ano llegado 100 toneladas droga incautada vice mindefensa anibal fernandez soto forounga; j : 23. Sim : 0.30116865; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 24. Sim : 0.20546353; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 25. Sim : 0.39498886; No similar. 
