Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia estudiantes mas social innovacion ser investigacion profesores santos francisco 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.48028332; No similar. 
 usted sabe gano bogota bosa ciudad bolivar usme ahi viven victimas mensaje manda francisco santos  ; j : 2. Sim : 0.51779515; Baja. 
 rt educaunisabana olga castiblancoana florido diana pulido junto profesor asesor johnalba25 present; j : 3. Sim : 0.32481745; No similar. 
 call for paper ethejournal universities of the future educational and organizational challenge and ; j : 4. Sim : 0.15703197; No similar. 
 rt facisouniandes hoy tendra lugar evento whats next for colombia reconciliation and peacebuilding ; j : 5. Sim : 0.33930027; No similar. 
 rt wenrosal felicitaciones drs fernando lizcano luz indira sotelo dusko kalenatic grandes investiga; j : 6. Sim : 0.26509303; No similar. 
 necesita dialogo social amplio multipartita exclusiones podamos mirarnos cara carlos velandia gesto; j : 7. Sim : 0.33238575; No similar. 
 seguramente orden parecida ejercito habran recibido huestes camarada timochenko carlos velandia ges; j : 8. Sim : 0.4264066; No similar. 
 presidente quedado atado pies manos decision tomado pais carlos velandia gestor paz eln  ; j : 9. Sim : 0.37630808; No similar. 
 ustedes viven estrato 87 recorri ciudad eleccion manda dosis humildad grande francisco santos  ; j : 10. Sim : 0.55217147; Baja. 
 eln critico aspero acuerdo firmado presidente santos guerrilla farc carlos velandia gestor eln  ; j : 11. Sim : 0.4649259; No similar. 
 ser victima matoneo mundo real incrementa 10 posibilidades serlo rede sociales sandracortesi respet; j : 12. Sim : 0.4357223; No similar. 
 encuentro ingenio innovacion usingenieria pensar diferente ser creativo ir mas alla conocido edgar ; j : 13. Sim : 0.50030655; Baja. 
 seminar spectral and spatial analysis of vegetation traits and ecosystem process pierdas presentaci; j : 14. Sim : 0.24117501; No similar. 
 ser pilo paga sera politica presidente juan manuel santos reunio rectores evaluar iniciativa labelu; j : 15. Sim : 0.5815771; Baja. 
 invito ayuden construir podemos seguir culpandonos pase pagina trabajo tender puentes francisco san; j : 16. Sim : 0.3610739; No similar. 
 rt hernanolano emotiva despedida colegas dra martha helena vargas profesora fundadora eicea unisaba; j : 17. Sim : 0.38906124; No similar. 
