Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy rector be paz juan manana esperamos universidad conferencia luis 
 rt edtechtimes can learn be use for good dr obdulio velasquez rector of unisabana in colombia think; j : 1. Sim : 0.45030624; No similar. 
 rt fundacionanaas marcas contrabandodecigarrillo camel damp j gold seal golden deer ibiza jaisalmer; j : 2. Sim : 0.22819352; No similar. 
 danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justici; j : 3. Sim : 0.28685653; No similar. 
 rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicaci; j : 4. Sim : 0.71431047; Media. 
 rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derecho; j : 5. Sim : 0.5801107; Baja. 
 cocina pedagogica tableros perimetrales test center mas espacios vivir idiomas thomas treulter dire; j : 6. Sim : 0.28849983; No similar. 
 simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelu; j : 7. Sim : 0.6266723; Baja. 
 rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rz; j : 8. Sim : 0.33653575; No similar. 
 rt behrentz hace 68 anos martes 29 marzo 1949 lugar primeras clases uniandeshoy queremos saber recu; j : 9. Sim : 0.4069914; No similar. 
 1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia  ; j : 10. Sim : 0.4104345; No similar. 
 rt opusdeicolombia unisabana misas bogota ocasion fiesta san josemaria parroquia cristo rey lunes 2; j : 11. Sim : 0.5000554; Baja. 
 estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte su; j : 12. Sim : 0.18735278; No similar. 
 rt comfama informalidad permea sobretodo clase media america latina angel melguizo eafit lacealames; j : 13. Sim : 0.37744218; No similar. 
 rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios cons; j : 14. Sim : 0.4178179; No similar. 
 hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl  ; j : 15. Sim : 0.435144; No similar. 
 proteccion salud bienestar finalidad principal convenciones lucha drogas yesid reyes ex min justici; j : 16. Sim : 0.33182332; No similar. 
