Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 1. Sim : 0.64521056; Baja. 
 dublin institute of technology centenary scholarship programme for more information please visit ou; j : 2. Sim : 0.085103676; No similar. 
 nueva aproximacion problema drogas enfoque ambiental salud publica vice mindefensa anibal fernandez; j : 3. Sim : 0.31962538; No similar. 
 universo academico debe esforzarse siempre formar sociedades quieran hacer mundo mejor adela cortin; j : 4. Sim : 0.124337725; No similar. 
 rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio; j : 5. Sim : 0.20031966; No similar. 
 the complexities of truth tell for trust reintegration and peace seminario internacional desafios p; j : 6. Sim : 0.035950765; No similar. 
 rt obsdemocracia sondeovirtual farc ahora armas deben recibir garantias gob participar politica vot; j : 7. Sim : 0.38673335; No similar. 
 feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolomb; j : 8. Sim : 0.691451; Media. 
 comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unpar; j : 9. Sim : 0.58326143; Baja. 
 feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos  ; j : 10. Sim : 0.71350133; Media. 
 zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atenc; j : 11. Sim : 0.39887923; No similar. 
 imaginan ganado si 50000 votos estaria incendiado pais tan inteligente mando mensaje contrario  ; j : 12. Sim : 0.3344221; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes un; j : 13. Sim : 0.39811647; No similar. 
 felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun ; j : 14. Sim : 0.41382882; No similar. 
 si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ; j : 15. Sim : 0.2963836; No similar. 
 rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas; j : 16. Sim : 0.4111235; No similar. 
 siempre riesgo ser desplazados ahora consumidores adquieren servicios activos mauricio carreno gedi; j : 17. Sim : 0.14242038; No similar. 
 finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin sema; j : 18. Sim : 0.662806; Baja. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 19. Sim : 0.5136171; Baja. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 20. Sim : 0.74251664; Media. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 21. Sim : 0.65901434; Baja. 
 preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman ; j : 22. Sim : 0.3475108; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 23. Sim : 0.7106073; Media. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 24. Sim : 0.5589693; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 25. Sim : 0.60924643; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 26. Sim : 0.7106702; Media. 
 lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333  ; j : 27. Sim : 0.49894455; No similar. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 28. Sim : 0.48111516; No similar. 
 linagira revistasemana edcouniandes buenos dias mooc gratuitos plataforma cobra obtencion certifica; j : 29. Sim : 0.46770507; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 30. Sim : 0.44543734; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 31. Sim : 0.1978911; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 32. Sim : 0.4504999; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 33. Sim : 0.22892141; No similar. 
 rt grupoargos tourtuitero filial cementosargos cuenta equipos alto valor analitico diseno nuevos pr; j : 34. Sim : 0.17874375; No similar. 
 enfoque salud publica mas profundo tratamiento personas consumen drogas franciscocumsi1 cicadoea fo; j : 35. Sim : 0.09559019; No similar. 
 si partir fracturar volver rearmarnos mejor momento ma paulina baena pulla elespectador  ; j : 36. Sim : 0.2568561; No similar. 
