Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.13092238; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 2. Sim : 0.14076053; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 3. Sim : 0.12779832; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 4. Sim : 0.2714464; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 5. Sim : 0.18351653; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 6. Sim : 0.20221418; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 7. Sim : 0.31306195; No similar. 
 how to adapt the social model in the age of polarization jeanolivier hairault paris school of econo; j : 8. Sim : 0.15707695; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 9. Sim : 0.17402187; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 10. Sim : 0.18644924; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 11. Sim : 0.11013119; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 26 piso labe; j : 12. Sim : 0.25967297; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 13. Sim : 0.23068474; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 14. Sim : 0.23017761; No similar. 
 rt biomedcentral from acclimation to adaptation the plastic life of caribbean soft coral by biommar; j : 15. Sim : 0.11381514; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 16. Sim : 0.18579337; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 17. Sim : 0.34820864; No similar. 
 rt luisfermartin felices 37anosunisabana orgulloso alma mater casi cuatro decadas trabajo bien hech; j : 18. Sim : 0.13402736; No similar. 
 bogota hoy 26 millones viviendas necesario construir 27 millones viviendas mas proximos 40 anos enr; j : 19. Sim : 0.3312753; No similar. 
 brigittelgb maravillosa noticia 2 nuevas especies chucha ciencia gracias juan fdo diaz eafit colomb; j : 20. Sim : 0.32300052; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 21. Sim : 0.22110114; No similar. 
 rt meltsdlonline residentialsessions time to get to know our unisabana principles with vera acero b; j : 22. Sim : 0.2025665; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 23. Sim : 0.0902284; No similar. 
 rt cartercenter congratulations to our new rosalynn carter mental health journalism fellows from co; j : 24. Sim : 0.2726347; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 25. Sim : 0.41624767; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 26. Sim : 0.19039847; No similar. 
 rt unisabanaradio vaya dejar tren recuerden manana sale gran estacion 535 be unisabana voyentren ht; j : 27. Sim : 0.3711762; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 28. Sim : 0.4512102; No similar. 
 empleos demandan mas habilidades socioemocionales tambien demandan mas habilidades cognitivas pablo; j : 29. Sim : 0.34245157; No similar. 
 rt cesaedu proyecciones estiman mas 2 millones personas residiran mas alla puentedelcomun 2050 rect; j : 30. Sim : 0.47720674; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 31. Sim : 0.43019456; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 32. Sim : 0.25597626; No similar. 
 gracias directivos alumnos profesores egresados hicieron posible sueno alberto rodriguez 20 anos in; j : 33. Sim : 0.33903557; No similar. 
 rt comfama reparaciones deberian tener mision puramente correctivas deben ser ademas tareas transfo; j : 34. Sim : 0.3417434; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 35. Sim : 0.31029916; No similar. 
 rt apgguzman aqui comsabana hace gala 45 anos labor hoy cartagena iamcr2017 cartagena once profesor; j : 36. Sim : 0.38347334; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 37. Sim : 0.27176502; No similar. 
 rt economiauandes documentocede no36 school choice nash implementation of stable match through rank; j : 38. Sim : 0.19530989; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 39. Sim : 0.24147569; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 40. Sim : 0.18463416; No similar. 
 rt oaduniandes enlamemoria jorge zapp glauser colombo aleman profesor dpto ingeneria mecanica ingun; j : 41. Sim : 0.36395553; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 42. Sim : 0.25022572; No similar. 
 leon cardona nacio yolombo 10 agosto 1927 compositor director interprete cuenta 130 obras labelurl ; j : 43. Sim : 0.18174204; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 44. Sim : 0.44842732; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 45. Sim : 0.3731804; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 46. Sim : 0.02918678; No similar. 
 carrera 10 5k uniandes quiere crear beca deportistas labelurl mepongolostenis inscribete apoya idrd; j : 47. Sim : 0.23585996; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 48. Sim : 0.34808996; No similar. 
 rt oaduniandes posesion alberto lleras camargo rector uniandes acompanado borges borges30anos 1961g; j : 49. Sim : 0.41436458; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 50. Sim : 0.29511583; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 51. Sim : 0.32523707; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 52. Sim : 0.29511583; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 53. Sim : 0.13937521; No similar. 
 clase media mayor pobres 32 vs 28 convirtiendo indices economicos mas altos bancomundial labelurl  ; j : 54. Sim : 0.44313323; No similar. 
 rt apgguzman campus escala humana reto grande unisabana albergara aspiraciones solucionara necesida; j : 55. Sim : 0.1530045; No similar. 
 abogado rosarista recibio colombia transport aviation lawyer of the year conoce mas historia labelu; j : 56. Sim : 0.2385183; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 57. Sim : 0.19265924; No similar. 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 58. Sim : 0.22622581; No similar. 
 hoy sera recordado dia 117 guerrilleros entregaron armas carlos alfonso velasquez via eltiempo labe; j : 59. Sim : 0.3035041; No similar. 
 rt derechousabana jorge ivan cuervo acompana foro contrast plebiscito si unisabana elespectador cpo; j : 60. Sim : 0.33664843; No similar. 
 rt usingenieria carlos mario montes jefe exito academico unisabana habla estrategias graduacion opo; j : 61. Sim : 0.32735625; No similar. 
 rt biologiaeafit paula figueroa alexandra catano primeras estud biologiaeafit sustentan trabajo gra; j : 62. Sim : 0.1479118; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 63. Sim : 0.40400136; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 64. Sim : 0.36893198; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 65. Sim : 0.41574168; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 66. Sim : 0.23025522; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 67. Sim : 0.001998099; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 68. Sim : 0.23747171; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 69. Sim : 0.27403843; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 70. Sim : 0.39264122; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 71. Sim : 0.22057424; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 72. Sim : 0.41031918; No similar. 
 noticiaun motivos sentir orgulloun mas 50 invenciones tecnologicas ano produce labelurl via unimedi; j : 73. Sim : 0.5966251; Baja. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 74. Sim : 0.19829969; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 75. Sim : 0.15685; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 76. Sim : 0.17940836; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 77. Sim : 0.23894452; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 78. Sim : 0.109484285; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 79. Sim : 0.17940836; No similar. 
 uniandesenfilbo2017 visite estand 502 pabellon 3 segundo piso fotos alejandro gomez nino direcc lab; j : 80. Sim : 0.26412296; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 81. Sim : 0.27508453; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 82. Sim : 0.1768904; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 83. Sim : 0.27508453; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 84. Sim : 0.2678463; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 85. Sim : 0.27508453; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 86. Sim : 0.5108968; Baja. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 87. Sim : 0.31920034; No similar. 
