Modulo nnlm-es-dim128-with-normalization-2
Topicos : informacion unisabana convocatoria paz mas inscripciones conoce uniandes comunidadun uncolombia via 
 rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector c; j : 1. Sim : 0.14465152; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 2. Sim : 0.17315674; No similar. 
 midase gastos si va pedir prestado conozca bancos cobran maria teresa macias labelurl via eltiempo ; j : 3. Sim : 0.18839827; No similar. 
 rt maestriaderintl conversatorio climate change after the paris agreement where next annalisa savar; j : 4. Sim : 0.27389693; No similar. 
 jochepacheco hola rutasconflicto recibio premio data journalism award categoria mejor sitio web per; j : 5. Sim : 0.37635514; No similar. 
 finalizo epemti 2016 santiago loaiza ie rosa maria henao pavas sonson gano beca pregrado labelurl  ; j : 6. Sim : 0.22107211; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 7. Sim : 0.2502023; No similar. 
 rt derechousabana reciente publicacion diana maria gomez salas amigas lactancia realidad pais eltie; j : 8. Sim : 0.4630687; No similar. 
 jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humbold; j : 9. Sim : 0.23940122; No similar. 
 rt rettberga pasa lideres sociales perspectivas pcion pol farcque opinan autoridades locales zonas ; j : 10. Sim : 0.2694657; No similar. 
 rt niulive unisabana students join niuceet students for intensive industrial systems engineer summe; j : 11. Sim : 0.173498; No similar. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 12. Sim : 0.27228054; No similar. 
 rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gesti; j : 13. Sim : 0.32476223; No similar. 
 rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noesho; j : 14. Sim : 0.1802821; No similar. 
 unico queda hacer ahora poner prejuicios deseos inconformidades mesa ahi si hablamos mapatilla  ; j : 15. Sim : 0.26872966; No similar. 
 partir 16 julio ingreso red inalambrica seneca cambiara cara sera mas amigable esperelo labelurl  ; j : 16. Sim : 0.2739903; No similar. 
 rt serpilopaga si ultimos meses cumpliste mayoria edad debes actualizar datos icetex invitamos segu; j : 17. Sim : 0.35758695; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 18. Sim : 0.28137475; No similar. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 19. Sim : 0.22505648; No similar. 
 rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti uni; j : 20. Sim : 0.2763701; No similar. 
 buena parte causas brecha acceso vienen desigualdades previas educacionsuperior maria marta ferreri; j : 21. Sim : 0.30296615; No similar. 
 hola jdavidrojas siguiente link encuentras guia paso paso podras encontrar mas informacion labelurl; j : 22. Sim : 0.4908639; No similar. 
 rt posmedunisabana inscripciones abiertas maestria epidemiologia unisabana inicio clases 4 agosto 2; j : 23. Sim : 0.51386166; Baja. 
 prepare bolsillo sobrecostos 2017 actualidad maria teresa macias profesora eicea via eltiempo label; j : 24. Sim : 0.2725884; No similar. 
 rt uis orgullouis centro colombiano computacion avanzada iniciara labor universidad apoyado uniande; j : 25. Sim : 0.28757313; No similar. 
 proceso paz nacio nacen ninos deseados carino pasar problemas producir acuerdo final  ; j : 26. Sim : 0.2972023; No similar. 
 dianachelareyes saludos gustaria conocer caso comunicarlo areas correspondientes puede contactar vi; j : 27. Sim : 0.39868432; No similar. 
 rt fismed proyectos plan ideas tenes storyline queres producir fismed caracol abren espacio labelur; j : 28. Sim : 0.33736777; No similar. 
 sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente a; j : 29. Sim : 0.36625957; No similar. 
 pese crisis colombianos siguen gastando trago cigarrillos opinion giovanni hernandez via eltiempo l; j : 30. Sim : 0.25640437; No similar. 
 rt crismaciase emocion humor empatia ingredientes conectar nuevas audiencias amelie ferro sipconnec; j : 31. Sim : 0.25111637; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 32. Sim : 0.24342087; No similar. 
 rt alcaldiademed ahora pod participar factura servicios publicos inscripciones comienzan miercoles ; j : 33. Sim : 0.3730412; No similar. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 34. Sim : 0.3436677; No similar. 
 rt admonuniandes international summerschool2017 offer participants the opportunity to attend innova; j : 35. Sim : 0.2067419; No similar. 
 comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unpara; j : 36. Sim : 0.61042416; Baja. 
 rt obsdemocracia noeshoradecallar violencia pareja entendida aprobadapor 28 colombianos si victima ; j : 37. Sim : 0.0924939; No similar. 
 escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl  ; j : 38. Sim : 0.13807619; No similar. 
 rt bluradioco alaire doctora ana maria olaya programa economia unisabana habla parocamionero manana; j : 39. Sim : 0.3899258; No similar. 
 llega 4to congreso negociacion liderazgo gerenciar proximo 20 21 abril evoluciona ideas  ; j : 40. Sim : 0.33746094; No similar. 
 rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm label; j : 41. Sim : 0.14969647; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 42. Sim : 0.32698917; No similar. 
 rt almorsal gracias unisabana probogotaregion asocentrocol uniandes bogota camaracomerbog cundinama; j : 43. Sim : 0.4032739; No similar. 
 rt opusdeicolombia carta prelado 14 febrero 2017 labelurl conclusiones ultimo congreso general cele; j : 44. Sim : 0.20575257; No similar. 
 video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios  ; j : 45. Sim : 0.46662405; No similar. 
 cuatro actores guerra ahora estudian andes hablan reconciliacion ed 49 nota uniandina labelurl  ; j : 46. Sim : 0.32842007; No similar. 
 rt arqdisua viaje traves arquitectura india ruta corbusier profesora invitada maria cecila obyrne l; j : 47. Sim : 0.3780976; No similar. 
 palabras sobran palabras faltan defensa idioma columna jairo valderrama profesor comsabana labelurl; j : 48. Sim : 0.3421742; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad internacional unisabana miercoles 12 m salon c106; j : 49. Sim : 0.4145503; No similar. 
 rt rectoriauis hoy junto quinterocalle pablonavasuand carlosjaimebh hacemos posible centro colombia; j : 50. Sim : 0.24373907; No similar. 
 rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja val; j : 51. Sim : 0.019704655; No similar. 
 rt usembassybogota conoce mas fulbrightcol evento tedxfulbrightbogota agents of change proximo 28 j; j : 52. Sim : 0.36598244; No similar. 
 va productividad pais alvaro turriago hoyos profesor economia finanzas eicea via tiempo labelurl  ; j : 53. Sim : 0.32555553; No similar. 
 rt innpulsacol implementamos metodologia rede uniandes pilar metodologia produccion mas limpia apre; j : 54. Sim : 0.5116416; Baja. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 55. Sim : 0.083310306; No similar. 
 rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend  ; j : 56. Sim : 0.09181857; No similar. 
 lanzamiento maestria salud publica posmedunisabana foro postconflicto salud publica colombia junio ; j : 57. Sim : 0.24891195; No similar. 
 mientras gran parte comercio corea norte da gracias exporta china camilo pe labelurl  ; j : 58. Sim : 0.22098313; No similar. 
 rt jrestrp dando inicio 4 version concurso bolsamercantil aprender manejar transacciones commmoditi; j : 59. Sim : 0.24406801; No similar. 
 rt eicea misionchina eicea dia1 visita universidad uibe charla inversion extranjera comercio intern; j : 60. Sim : 0.28047428; No similar. 
 ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva visitalo labelurl  ; j : 61. Sim : 0.13015063; No similar. 
 rt conectateu ethejournal coeditada uniandes uocuniversitat recibio calificacion q1 q2 scopus innov; j : 62. Sim : 0.3206712; No similar. 
 laucgm buenas tardes estatua fundador elaborada dionisio renart garcia claustro 1909  ; j : 63. Sim : 0.18482977; No similar. 
 punkriodista talionero buenas tardes siguiente enlace podran encontrar toda informacion siar labelu; j : 64. Sim : 0.37397447; No similar. 
 ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva uncolombia labelurl ; j : 65. Sim : 0.28722098; No similar. 
 rt epdusabana inscribete 1er simposio abordaje clinico educativo problematicas ninez adolescencia u; j : 66. Sim : 0.33488768; No similar. 
 15 febrero abren inscripciones semestre 20172 consulta guia paso paso aspirantesun labelurl  ; j : 67. Sim : 0.44922665; No similar. 
 fotografias escultura feliza bursztyn homenaje alfonso lopez pumarejo campus sede bogota labelurl  ; j : 68. Sim : 0.46700418; No similar. 
 milton0131 sttmed buenas tardes si restablecida movilidad ambos altura campus universidad  ; j : 69. Sim : 0.24701045; No similar. 
 rt amarantarsula chalocorredor mateomos022 cgurisattintn24 humildes ladrones patria salieron uandes; j : 70. Sim : 0.16932017; No similar. 
 ieco abre convocatoria concurso profesoral2016 encuentra toda informacion aqui labelurl unparatodos; j : 71. Sim : 0.45695874; No similar. 
 rt cpoliticasus invitamos leer analisis prof igarzonvallejo elcolombiano odebrecht financio campana; j : 72. Sim : 0.3631563; No similar. 
 barbaros romanos origenes reino visigodo toledo rosa maria sanz serrano unicomplutense labelurl  ; j : 73. Sim : 0.17167285; No similar. 
 rt deportessabana voleibol masculino clasifica finales cerros girardot comsabana bienestarsabana ei; j : 74. Sim : 0.22108632; No similar. 
 defensa idioma cuidado palabras virus profesor comsabana jairo valderrama via eltiempo labelurl  ; j : 75. Sim : 0.27582157; No similar. 
 rt comsabana cerrando epoca celebraciones navidenas monis unisabana midieron mannequinchallenge mod; j : 76. Sim : 0.40416923; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 77. Sim : 0.24423523; No similar. 
 tras desmovilizacion arduo camino recorrer alp ozerdem investigador procesos paz analisis labelurl ; j : 78. Sim : 0.272157; No similar. 
 rt epdusabana hoy realiza 1er simposio abordaje clinico educativo problematicas ninez adolescencia ; j : 79. Sim : 0.324262; No similar. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 80. Sim : 0.34762168; No similar. 
 rt bienestarsabana subcampeones futbol masculino torneo universitario cerros final sufrida completa; j : 81. Sim : 0.12830664; No similar. 
 momento presenta congestion variante chia bogota manifestantes caminan hacia retorno peaje  ; j : 82. Sim : 0.31199676; No similar. 
 1era vez sede orinoquia presentan 1998 aspirantes peama launcuenta mantillaignacio admisionesun lab; j : 83. Sim : 0.38998225; No similar. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 84. Sim : 0.43645245; No similar. 
 laura beltran minsaludcol realiza ejercicios practicos aplicativo linea hago ahora ctc labelurl  ; j : 85. Sim : 0.40595672; No similar. 
 aspirantesun abrimos proceso admision semestre 20181 partir proximo 17 julio admisionesun labelurl ; j : 86. Sim : 0.36988476; No similar. 
 rt cideruniandes 4 noviembre plazo entregar documentos posgrados cider mayor informacion 339 49  ; j : 87. Sim : 0.36919123; No similar. 
 comunidadun encuentra nueva edicion boletinun informacion debes ver leer escuchar labelurl unimedio; j : 88. Sim : 0.41963944; No similar. 
 usted prometio metro suba trazado solo va 127 autopista pregunta asistente  ; j : 89. Sim : 0.07038661; No similar. 
 aspirantesun partir lunes 17 julio abre proceso admision pregrado 20181 info labelurl  ; j : 90. Sim : 0.38540718; No similar. 
 fenixjalb buenas tardes puedes encontrar productos institucionales mas destacados tienda rosarista ; j : 91. Sim : 0.2800552; No similar. 
 sede mayorca eafitidiomas estrena nuevo programa chino mandarin adultos conozcan mas labelurl  ; j : 92. Sim : 0.19997202; No similar. 
 nuevo programa eafitidiomas partir 5 abril sede mayorca ofrecera curso chino mandarin  ; j : 93. Sim : 0.21353771; No similar. 
 duda cualquier cosa ver tema ambiental ver acuerdo paz julio carrizosa  ; j : 94. Sim : 0.26530123; No similar. 
 rt comsabana noticiascomsabana si cursas 4o 9o semestre comsocial unisabana puede interesar labelur; j : 95. Sim : 0.30517897; No similar. 
 aspirantesun uncolombia abre proceso admision 20181 partir proximo 17 julio admisionesun labelurl  ; j : 96. Sim : 0.48541966; No similar. 
 postobon unisabana entregan 90 bicicletas estudiantes becados mejorar acceso campus universitario l; j : 97. Sim : 0.25377795; No similar. 
 museo paleontologico villa leyva centro referencia academica docente historica colombia visi labelu; j : 98. Sim : 0.39395955; No similar. 
 rt onumujerescol alianza concreta acciones conjuntas curso virtual mujeres genero postconflictoprox; j : 99. Sim : 0.29444367; No similar. 
 rt comsabana apasiona periodismo erizamos frente microfono camara tener mano pluma camilor  ; j : 100. Sim : 0.27987596; No similar. 
 rt obsdemocracia datos barometroamericas muestran vicimizacion genero proyectotumaco visibiliza muj; j : 101. Sim : 0.27041295; No similar. 
 rt facueducacion invitamos foro foro educacion valores construimos paz escuela mayor informacion la; j : 102. Sim : 0.5460806; Baja. 
 rt jalexanderg unisabana lamilitar usan tren sabana opcion movilidad estudiantes empleados bien  ; j : 103. Sim : 0.35551456; No similar. 
 vive intercambio cultural academico beca programa lideres emergentes americas conoce mas labelurl  ; j : 104. Sim : 0.4419114; No similar. 
 natyeche1 saludos siguiente enlace puede conocer programa solicitar mas informacion formulario labe; j : 105. Sim : 0.45521435; No similar. 
 haciendo realidad suenos jovenes cuentan proyectos camino recorrido hacerlos realidad unavidamejore; j : 106. Sim : 0.30572546; No similar. 
 comparte fotos hashtag soyrosarista estudiantes suban mas fotos recibiran kit urosario labelurl  ; j : 107. Sim : 0.2976572; No similar. 
