Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia estudiantes mas social innovacion ser investigacion profesores santos francisco educacion cambio 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.49921998; No similar. 
 usted sabe gano bogota bosa ciudad bolivar usme ahi viven victimas mensaje manda francisco santos  ; j : 2. Sim : 0.5434538; Baja. 
 rt educaunisabana olga castiblancoana florido diana pulido junto profesor asesor johnalba25 present; j : 3. Sim : 0.3181369; No similar. 
 call for paper ethejournal universities of the future educational and organizational challenge and ; j : 4. Sim : 0.15545456; No similar. 
 rt facisouniandes hoy tendra lugar evento whats next for colombia reconciliation and peacebuilding ; j : 5. Sim : 0.35330975; No similar. 
 rt wenrosal felicitaciones drs fernando lizcano luz indira sotelo dusko kalenatic grandes investiga; j : 6. Sim : 0.25003687; No similar. 
 necesita dialogo social amplio multipartita exclusiones podamos mirarnos cara carlos velandia gesto; j : 7. Sim : 0.36299682; No similar. 
 seguramente orden parecida ejercito habran recibido huestes camarada timochenko carlos velandia ges; j : 8. Sim : 0.43790376; No similar. 
 presidente quedado atado pies manos decision tomado pais carlos velandia gestor paz eln  ; j : 9. Sim : 0.40339798; No similar. 
 ustedes viven estrato 87 recorri ciudad eleccion manda dosis humildad grande francisco santos  ; j : 10. Sim : 0.57955104; Baja. 
 eln critico aspero acuerdo firmado presidente santos guerrilla farc carlos velandia gestor eln  ; j : 11. Sim : 0.4788493; No similar. 
 ser victima matoneo mundo real incrementa 10 posibilidades serlo rede sociales sandracortesi respet; j : 12. Sim : 0.42739892; No similar. 
 encuentro ingenio innovacion usingenieria pensar diferente ser creativo ir mas alla conocido edgar ; j : 13. Sim : 0.5065894; Baja. 
 seminar spectral and spatial analysis of vegetation traits and ecosystem process pierdas presentaci; j : 14. Sim : 0.22723097; No similar. 
 ser pilo paga sera politica presidente juan manuel santos reunio rectores evaluar iniciativa labelu; j : 15. Sim : 0.598732; Baja. 
 invito ayuden construir podemos seguir culpandonos pase pagina trabajo tender puentes francisco san; j : 16. Sim : 0.38246864; No similar. 
 rt hernanolano emotiva despedida colegas dra martha helena vargas profesora fundadora eicea unisaba; j : 17. Sim : 0.37592655; No similar. 
 circunstancias tiro borracho puede modificar manera dramatica proceso carlos velandia gestor paz el; j : 18. Sim : 0.393837; No similar. 
 lideres opinion estan logrando cambiar opinion centros educativos siguen escindidos realidad nicola; j : 19. Sim : 0.66358936; Baja. 
 entiendo peligros veo vaso medio lleno mandaron mensaje absolutamente claro ciudadanos francisco sa; j : 20. Sim : 0.3653815; No similar. 
 adivinen cuantos concejales bogota viven ciudad bolivar cero desconexion elector elegido francisco ; j : 21. Sim : 0.5807778; Baja. 
 rt cementosargos pasado ser exportador jugador local multiples mercados juan esteban calle foro inf; j : 22. Sim : 0.37987486; No similar. 
 rt juancmartinez lanzamiento libro estudios derecho consumo homenaje alvaro mendoza ramirez aporte ; j : 23. Sim : 0.46055466; No similar. 
 gladys agudelo rectora ie fundacion celia duque abejorral agradece eafit oportunidad da estudiantes; j : 24. Sim : 0.55339617; Baja. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 25. Sim : 0.6035958; Baja. 
 golpe poder adquisitivo reforma tributaria ana maria olaya profesora eicea via revista dinero label; j : 26. Sim : 0.479035; No similar. 
 rt comsabana natalia pinzon jefe becas ayudas economicas explica beneficios economicos ofrece unisa; j : 27. Sim : 0.509027; Baja. 
 golpe poder adquisitivo reforma tributaria ana maria olaya profesora eicea via revista dinero label; j : 28. Sim : 0.479035; No similar. 
 rt educaunisabana dra rosa julia guzaman saluda alumnos primera cohorte maestriaenpedagogia extensi; j : 29. Sim : 0.5341437; Baja. 
 rt profebarreto maestria pedagogia visita institucional colegios san jose santa catalina siena maic; j : 30. Sim : 0.5568493; Baja. 
 rt serpilopaga patricia marquez hija maira rodriguez estan contentas recibimiento da unisabana ser ; j : 31. Sim : 0.5232424; Baja. 
 rt unisabanaradio modo elige carrera quieren hacer propio programa radio pasen estudio unisabana ra; j : 32. Sim : 0.24878646; No similar. 
 rt metrodemedellin metro eafit obtienen nueva patente internacional sistema detectar defectos redon; j : 33. Sim : 0.15113047; No similar. 
 reglas formales normas morales normas sociales estan alineadas mas economico llegar acuerdos antana; j : 34. Sim : 0.44468275; No similar. 
 pregunta hoy si posible implementacion acuerdos si posible negociar eln si posible renegociar  ; j : 35. Sim : 0.14072548; No similar. 
 rt unisabanaradio menos 24 horas cumplir anos sensaciones invaden alegria emocion gratitudgracias f; j : 36. Sim : 0.39830872; No similar. 
 rt arquituniandes firma convenio uniandes politecnico torino permite doble titulo ntra maestria arq; j : 37. Sim : 0.32868698; No similar. 
 politicos pusieron peso pusieron teja zinc bulto cemento expreso opinion francisco santos  ; j : 38. Sim : 0.40907216; No similar. 
 rt deuniandes medallista olimpico oscar figueroa visito u dejo mensaje estudiantes curso practica s; j : 39. Sim : 0.53800046; Baja. 
 veces quemar naves seguir adelante dejar hacer mismo cambiar diadelperiodista creatividad mtascon  ; j : 40. Sim : 0.14563113; No similar. 
 unico creia iba ganar partido incluyendo alvaro uribe francisco santos exvicepresidente colombia  ; j : 41. Sim : 0.552155; Baja. 
 respuesta ciertos estimulos puede ser mas eficaz mujeres hombres tatiana manrique z dementescuriosa; j : 42. Sim : 0.5430385; Baja. 
 rt francisccardona columna ciro parra decano facultad educacion unisabana ser pilo paga verdad labe; j : 43. Sim : 0.65847486; Baja. 
 rt secredistmujer acuerdo 1 oportunidad superar brechas genero violencias mujeres martha ordonez ce; j : 44. Sim : 0.41579208; No similar. 
 rt economiauandes documentocede no26 land child labor and schoolinglongitudinal evidence from colom; j : 45. Sim : 0.1370283; No similar. 
 paz etapa posterior mas compleja mas larga humberto calle jefe equipopazgob beneficiosdelapaz  ; j : 46. Sim : 0.32500407; No similar. 
 domingo hablo dolor pais elecciones mas limpias transparentes pesar desequilibrio francisco santos ; j : 47. Sim : 0.5128778; Baja. 
 rt cancilleriaur jeroen roodenburg embajador reino paises bajos colombia urosarionews explorando pr; j : 48. Sim : 0.18888094; No similar. 
 iniciativa legislativa va implementar va correr prisa hacer ajustes institucionales carlos velandia; j : 49. Sim : 0.23025465; No similar. 
 6400000 brutos mal informados bueno sigue pensando respuesta francisco santos interpelacion asisten; j : 50. Sim : 0.40300852; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 51. Sim : 0.33011174; No similar. 
 rt economiauandes 400pm perspectiva fiscal colombia reforma tributaria estructural gasto publico co; j : 52. Sim : 0.4281529; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 53. Sim : 0.33011174; No similar. 
 crecimientoverde mas union comunidades cientifica generadora politicas mejor mitigacion cambio clim; j : 54. Sim : 0.672433; Media. 
 primero sonreir edna hurtado cesar yepes juan pablo soche charla formacion volunta labelurl  ; j : 55. Sim : 0.4345406; No similar. 
 rt minjusticiaco aestahora ministro enriquegilbgil participa foro plandecenal justicia organizado c; j : 56. Sim : 0.28617942; No similar. 
 senora dice vote ustedes van hacer ustedes arreglan francisco santos exvicepresidente colombia  ; j : 57. Sim : 0.48337713; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 58. Sim : 0.16082263; No similar. 
 rt derechousabana ii jornadas internacionales propiedad intelectual cedepi cordobamarentes juancmar; j : 59. Sim : 0.3981034; No similar. 
 terreno civil estable sociedad democratica c tognato director centro nicanor restrepo santamaria pa; j : 60. Sim : 0.46680132; No similar. 
 rt educaunisabana grata visita estudiante maestria pedagogia guajira laura henriquez bienvenida cas; j : 61. Sim : 0.44245282; No similar. 
 rt facisouniandes si ingles aun fortalezas pueden mejorarlo mientras disfrutan cafecito miprimerdia; j : 62. Sim : 0.21226645; No similar. 
 rt inguniandes peatones van correr 9k uniandes llegar podio crees ganaran carrerademodos semanadela; j : 63. Sim : 0.0646577; No similar. 
 nefastos numeros paro camionero ana maria olaya eicea via eltiempo labelurl colombia parocamionero ; j : 64. Sim : 0.5154395; Baja. 
 va mas humanismo mas sensible piensa solo terminos matematicos maria clara aristizabal  ; j : 65. Sim : 0.4577649; No similar. 
 rt educaunisabana ciroparram maestros reto ayudar lograr lapaz pais ustedes estan construyendo pais; j : 66. Sim : 0.5934879; Baja. 
 rt fcardioinfantil acuerdo permitira estudiantes medicina pongan practica conocimientos dr santiago; j : 67. Sim : 0.5564218; Baja. 
 rt uremprende si podemos hacer cosas cambien queremos ser agente cambio carolinaavila lideresempren; j : 68. Sim : 0.23858786; No similar. 
 generarle confianza farc ayer dio primer paso amnistia llegue francisco santos exvicepresidente  ; j : 69. Sim : 0.36406896; No similar. 
 hijos tecnologia infancia 10 tip ser familia digital responsable articulo via lafamiliainfo labelur; j : 70. Sim : 0.49761632; No similar. 
 espacio publico requiere habitantes calidad accesibilidad poder ofrecer interaccion social salud re; j : 71. Sim : 0.42757234; No similar. 
