Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias actividades programacion 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 1. Sim : 0.6217162; Baja. 
 dublin institute of technology centenary scholarship programme for more information please visit ou; j : 2. Sim : 0.14354983; No similar. 
 nueva aproximacion problema drogas enfoque ambiental salud publica vice mindefensa anibal fernandez; j : 3. Sim : 0.35351154; No similar. 
 universo academico debe esforzarse siempre formar sociedades quieran hacer mundo mejor adela cortin; j : 4. Sim : 0.16158566; No similar. 
 rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio; j : 5. Sim : 0.24986587; No similar. 
 the complexities of truth tell for trust reintegration and peace seminario internacional desafios p; j : 6. Sim : 0.08916478; No similar. 
 rt obsdemocracia sondeovirtual farc ahora armas deben recibir garantias gob participar politica vot; j : 7. Sim : 0.4260325; No similar. 
 feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolomb; j : 8. Sim : 0.6626956; Baja. 
 comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unpar; j : 9. Sim : 0.5655015; Baja. 
 feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos  ; j : 10. Sim : 0.67726004; Media. 
 zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atenc; j : 11. Sim : 0.4463926; No similar. 
 imaginan ganado si 50000 votos estaria incendiado pais tan inteligente mando mensaje contrario  ; j : 12. Sim : 0.30901557; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes un; j : 13. Sim : 0.3693363; No similar. 
 felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun ; j : 14. Sim : 0.38242126; No similar. 
 si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ; j : 15. Sim : 0.31694266; No similar. 
 rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas; j : 16. Sim : 0.38364238; No similar. 
 siempre riesgo ser desplazados ahora consumidores adquieren servicios activos mauricio carreno gedi; j : 17. Sim : 0.18241115; No similar. 
 finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin sema; j : 18. Sim : 0.6661532; Baja. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 19. Sim : 0.56747526; Baja. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 20. Sim : 0.70900154; Media. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 21. Sim : 0.6422744; Baja. 
 preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman ; j : 22. Sim : 0.3788171; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 23. Sim : 0.67159307; Media. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 24. Sim : 0.570069; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 25. Sim : 0.577208; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 26. Sim : 0.6974789; Media. 
 lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333  ; j : 27. Sim : 0.51019096; Baja. 
