Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana colombia estudiantes mas social innovacion ser investigacion profesores 
 1998 francisco santos participo manera activa acuerdos puerta cielo eln carlos velandia gestor paz ; j : 1. Sim : 0.34114444; No similar. 
 usted sabe gano bogota bosa ciudad bolivar usme ahi viven victimas mensaje manda francisco santos  ; j : 2. Sim : 0.37681338; No similar. 
 rt educaunisabana olga castiblancoana florido diana pulido junto profesor asesor johnalba25 present; j : 3. Sim : 0.29292965; No similar. 
 call for paper ethejournal universities of the future educational and organizational challenge and ; j : 4. Sim : 0.19530421; No similar. 
 rt facisouniandes hoy tendra lugar evento whats next for colombia reconciliation and peacebuilding ; j : 5. Sim : 0.3712385; No similar. 
 rt wenrosal felicitaciones drs fernando lizcano luz indira sotelo dusko kalenatic grandes investiga; j : 6. Sim : 0.20091145; No similar. 
 necesita dialogo social amplio multipartita exclusiones podamos mirarnos cara carlos velandia gesto; j : 7. Sim : 0.33190763; No similar. 
 seguramente orden parecida ejercito habran recibido huestes camarada timochenko carlos velandia ges; j : 8. Sim : 0.3655931; No similar. 
 presidente quedado atado pies manos decision tomado pais carlos velandia gestor paz eln  ; j : 9. Sim : 0.304651; No similar. 
 ustedes viven estrato 87 recorri ciudad eleccion manda dosis humildad grande francisco santos  ; j : 10. Sim : 0.39954746; No similar. 
 eln critico aspero acuerdo firmado presidente santos guerrilla farc carlos velandia gestor eln  ; j : 11. Sim : 0.36226353; No similar. 
 ser victima matoneo mundo real incrementa 10 posibilidades serlo rede sociales sandracortesi respet; j : 12. Sim : 0.49693534; No similar. 
 encuentro ingenio innovacion usingenieria pensar diferente ser creativo ir mas alla conocido edgar ; j : 13. Sim : 0.5051296; Baja. 
 seminar spectral and spatial analysis of vegetation traits and ecosystem process pierdas presentaci; j : 14. Sim : 0.2656755; No similar. 
 ser pilo paga sera politica presidente juan manuel santos reunio rectores evaluar iniciativa labelu; j : 15. Sim : 0.48534596; No similar. 
 invito ayuden construir podemos seguir culpandonos pase pagina trabajo tender puentes francisco san; j : 16. Sim : 0.25757062; No similar. 
 rt hernanolano emotiva despedida colegas dra martha helena vargas profesora fundadora eicea unisaba; j : 17. Sim : 0.3322446; No similar. 
 circunstancias tiro borracho puede modificar manera dramatica proceso carlos velandia gestor paz el; j : 18. Sim : 0.28159854; No similar. 
 lideres opinion estan logrando cambiar opinion centros educativos siguen escindidos realidad nicola; j : 19. Sim : 0.57681483; Baja. 
 entiendo peligros veo vaso medio lleno mandaron mensaje absolutamente claro ciudadanos francisco sa; j : 20. Sim : 0.25110438; No similar. 
 adivinen cuantos concejales bogota viven ciudad bolivar cero desconexion elector elegido francisco ; j : 21. Sim : 0.43208584; No similar. 
 rt cementosargos pasado ser exportador jugador local multiples mercados juan esteban calle foro inf; j : 22. Sim : 0.37279433; No similar. 
 rt juancmartinez lanzamiento libro estudios derecho consumo homenaje alvaro mendoza ramirez aporte ; j : 23. Sim : 0.36964172; No similar. 
 gladys agudelo rectora ie fundacion celia duque abejorral agradece eafit oportunidad da estudiantes; j : 24. Sim : 0.51580864; Baja. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 25. Sim : 0.47489628; No similar. 
 golpe poder adquisitivo reforma tributaria ana maria olaya profesora eicea via revista dinero label; j : 26. Sim : 0.36675218; No similar. 
 rt comsabana natalia pinzon jefe becas ayudas economicas explica beneficios economicos ofrece unisa; j : 27. Sim : 0.4833225; No similar. 
 golpe poder adquisitivo reforma tributaria ana maria olaya profesora eicea via revista dinero label; j : 28. Sim : 0.36675218; No similar. 
 rt educaunisabana dra rosa julia guzaman saluda alumnos primera cohorte maestriaenpedagogia extensi; j : 29. Sim : 0.48167774; No similar. 
 rt profebarreto maestria pedagogia visita institucional colegios san jose santa catalina siena maic; j : 30. Sim : 0.45765546; No similar. 
 rt serpilopaga patricia marquez hija maira rodriguez estan contentas recibimiento da unisabana ser ; j : 31. Sim : 0.4664738; No similar. 
 rt unisabanaradio modo elige carrera quieren hacer propio programa radio pasen estudio unisabana ra; j : 32. Sim : 0.22182342; No similar. 
 rt metrodemedellin metro eafit obtienen nueva patente internacional sistema detectar defectos redon; j : 33. Sim : 0.16568655; No similar. 
 reglas formales normas morales normas sociales estan alineadas mas economico llegar acuerdos antana; j : 34. Sim : 0.47405133; No similar. 
 pregunta hoy si posible implementacion acuerdos si posible negociar eln si posible renegociar  ; j : 35. Sim : 0.14091899; No similar. 
 rt unisabanaradio menos 24 horas cumplir anos sensaciones invaden alegria emocion gratitudgracias f; j : 36. Sim : 0.3582387; No similar. 
 rt arquituniandes firma convenio uniandes politecnico torino permite doble titulo ntra maestria arq; j : 37. Sim : 0.28866974; No similar. 
 politicos pusieron peso pusieron teja zinc bulto cemento expreso opinion francisco santos  ; j : 38. Sim : 0.25303876; No similar. 
 rt deuniandes medallista olimpico oscar figueroa visito u dejo mensaje estudiantes curso practica s; j : 39. Sim : 0.48933008; No similar. 
 veces quemar naves seguir adelante dejar hacer mismo cambiar diadelperiodista creatividad mtascon  ; j : 40. Sim : 0.08121652; No similar. 
 unico creia iba ganar partido incluyendo alvaro uribe francisco santos exvicepresidente colombia  ; j : 41. Sim : 0.3965713; No similar. 
 respuesta ciertos estimulos puede ser mas eficaz mujeres hombres tatiana manrique z dementescuriosa; j : 42. Sim : 0.5180671; Baja. 
 rt francisccardona columna ciro parra decano facultad educacion unisabana ser pilo paga verdad labe; j : 43. Sim : 0.5794638; Baja. 
 rt secredistmujer acuerdo 1 oportunidad superar brechas genero violencias mujeres martha ordonez ce; j : 44. Sim : 0.4000994; No similar. 
 rt economiauandes documentocede no26 land child labor and schoolinglongitudinal evidence from colom; j : 45. Sim : 0.15550104; No similar. 
 paz etapa posterior mas compleja mas larga humberto calle jefe equipopazgob beneficiosdelapaz  ; j : 46. Sim : 0.287472; No similar. 
 domingo hablo dolor pais elecciones mas limpias transparentes pesar desequilibrio francisco santos ; j : 47. Sim : 0.33284467; No similar. 
 rt cancilleriaur jeroen roodenburg embajador reino paises bajos colombia urosarionews explorando pr; j : 48. Sim : 0.17817451; No similar. 
 iniciativa legislativa va implementar va correr prisa hacer ajustes institucionales carlos velandia; j : 49. Sim : 0.20331073; No similar. 
 6400000 brutos mal informados bueno sigue pensando respuesta francisco santos interpelacion asisten; j : 50. Sim : 0.277399; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 51. Sim : 0.39812496; No similar. 
 rt economiauandes 400pm perspectiva fiscal colombia reforma tributaria estructural gasto publico co; j : 52. Sim : 0.42026186; No similar. 
 rt ministeriotic conectese siga vivo panel conductas estudiantes rede sociales uniandes respetoenre; j : 53. Sim : 0.39812496; No similar. 
 crecimientoverde mas union comunidades cientifica generadora politicas mejor mitigacion cambio clim; j : 54. Sim : 0.6303878; Baja. 
 primero sonreir edna hurtado cesar yepes juan pablo soche charla formacion volunta labelurl  ; j : 55. Sim : 0.32998344; No similar. 
 rt minjusticiaco aestahora ministro enriquegilbgil participa foro plandecenal justicia organizado c; j : 56. Sim : 0.34179774; No similar. 
