Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun 
 rt iptigeneva you have to sell peace be clear about why one might want to obtain it tpaffenholz at ; j : 1. Sim : 0.13169624; No similar. 
 rt lolygaitan happy with our contribution ulfthoene to the book on adelpacifico that will be publis; j : 2. Sim : 0.11055849; No similar. 
 rt iptigeneva i dont know any trump supporter but look at the poll we be disconnect from constituen; j : 3. Sim : 0.113620825; No similar. 
 rt ccykcolombia colombia be one the sponsor at partnersamerica luncheon today dont the opportunity ; j : 4. Sim : 0.24498738; No similar. 
 rt sandracortesi honor to be speak today at uniandes about the challenge and opportunities youth fa; j : 5. Sim : 0.16329177; No similar. 
 rt meltsdlonline unisabana 37 years old reshape itself every single day to provide our students edu; j : 6. Sim : 0.18874532; No similar. 
 rt arqposgrado day 2 ws mobility infrastructure and house marq uniandes march house and urbanism aa; j : 7. Sim : 0.28597522; No similar. 
 how to adapt the social model in the age of polarization jeanolivier hairault paris school of econo; j : 8. Sim : 0.13135713; No similar. 
 rt iptigeneva academics need to make special effort to transfer knowledge to policy actors tpaffenh; j : 9. Sim : 0.16055216; No similar. 
 pronto andiamo in italia il corso global wine market trend and strategies piacenza ucscint unicatt ; j : 10. Sim : 0.20169337; No similar. 
 ask be our new academic study center in english all you have to do be ask labelurl labelurl  ; j : 11. Sim : 0.09442874; No similar. 
 celebracion mes financiero cine foro proyeccion pelicula too big to fail 500 pm bloque 26 piso labe; j : 12. Sim : 0.24344757; No similar. 
 rt masterselt communities of practice 13th research symposium hold unisabana along with uelbosque c; j : 13. Sim : 0.19180666; No similar. 
 rt biomedcentral the role of light in chagas disease infection risk in colombia research from unian; j : 14. Sim : 0.23742333; No similar. 
 rt biomedcentral from acclimation to adaptation the plastic life of caribbean soft coral by biommar; j : 15. Sim : 0.11704179; No similar. 
 rt admonuniandes we send regard to thenegotiationchallenge eadabusiness team we will meet in bogota; j : 16. Sim : 0.17105906; No similar. 
 rt comsabana momentos crisis actuar prisa clave cuanto mas tiempo pasa mas dana reputacion ycierva ; j : 17. Sim : 0.3740117; No similar. 
 rt luisfermartin felices 37anosunisabana orgulloso alma mater casi cuatro decadas trabajo bien hech; j : 18. Sim : 0.1858838; No similar. 
 bogota hoy 26 millones viviendas necesario construir 27 millones viviendas mas proximos 40 anos enr; j : 19. Sim : 0.31200767; No similar. 
 brigittelgb maravillosa noticia 2 nuevas especies chucha ciencia gracias juan fdo diaz eafit colomb; j : 20. Sim : 0.37485516; No similar. 
 rt iptigeneva tpaffenholz about peace workshops too often we preach to the convert uniandes labelur; j : 21. Sim : 0.20293157; No similar. 
 rt meltsdlonline residentialsessions time to get to know our unisabana principles with vera acero b; j : 22. Sim : 0.19923986; No similar. 
 definir deberia ir metro funcionario idu dijo puede utilizar ningun corredor vaya tm ep  ; j : 23. Sim : 0.12259712; No similar. 
 rt cartercenter congratulations to our new rosalynn carter mental health journalism fellows from co; j : 24. Sim : 0.24070144; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 25. Sim : 0.31885535; No similar. 
 rt uscooficial usco invita lanzamiento nuevo libro winston morales chavarro literato huilense neiva; j : 26. Sim : 0.18970126; No similar. 
 rt unisabanaradio vaya dejar tren recuerden manana sale gran estacion 535 be unisabana voyentren ht; j : 27. Sim : 0.40889508; No similar. 
 rt estebanh perdon reconciliacion adaptacion 3 procesos fundamentales ninos reinsertados neila diaz; j : 28. Sim : 0.45306113; No similar. 
 empleos demandan mas habilidades socioemocionales tambien demandan mas habilidades cognitivas pablo; j : 29. Sim : 0.3215479; No similar. 
 rt cesaedu proyecciones estiman mas 2 millones personas residiran mas alla puentedelcomun 2050 rect; j : 30. Sim : 0.43553767; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 31. Sim : 0.38370782; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 32. Sim : 0.22236271; No similar. 
 gracias directivos alumnos profesores egresados hicieron posible sueno alberto rodriguez 20 anos in; j : 33. Sim : 0.2246597; No similar. 
 rt comfama reparaciones deberian tener mision puramente correctivas deben ser ademas tareas transfo; j : 34. Sim : 0.30910513; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 35. Sim : 0.29233113; No similar. 
 rt apgguzman aqui comsabana hace gala 45 anos labor hoy cartagena iamcr2017 cartagena once profesor; j : 36. Sim : 0.3738517; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 37. Sim : 0.24515003; No similar. 
 rt economiauandes documentocede no36 school choice nash implementation of stable match through rank; j : 38. Sim : 0.1767972; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 39. Sim : 0.28058046; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 40. Sim : 0.22364727; No similar. 
 rt oaduniandes enlamemoria jorge zapp glauser colombo aleman profesor dpto ingeneria mecanica ingun; j : 41. Sim : 0.36841413; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 42. Sim : 0.2861697; No similar. 
 leon cardona nacio yolombo 10 agosto 1927 compositor director interprete cuenta 130 obras labelurl ; j : 43. Sim : 0.2301804; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 44. Sim : 0.42430982; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 45. Sim : 0.4110411; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 46. Sim : 0.042770498; No similar. 
 carrera 10 5k uniandes quiere crear beca deportistas labelurl mepongolostenis inscribete apoya idrd; j : 47. Sim : 0.21743734; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 48. Sim : 0.3744254; No similar. 
 rt oaduniandes posesion alberto lleras camargo rector uniandes acompanado borges borges30anos 1961g; j : 49. Sim : 0.4280297; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 50. Sim : 0.2619974; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 51. Sim : 0.35434324; No similar. 
