Modulo nnlm-es-dim128-with-normalization-2
Topicos : informacion unisabana convocatoria paz mas inscripciones conoce uniandes comunidadun 
 rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector c; j : 1. Sim : 0.120158084; No similar. 
 rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde ; j : 2. Sim : 0.09597098; No similar. 
 midase gastos si va pedir prestado conozca bancos cobran maria teresa macias labelurl via eltiempo ; j : 3. Sim : 0.041246925; No similar. 
 rt maestriaderintl conversatorio climate change after the paris agreement where next annalisa savar; j : 4. Sim : 0.24152482; No similar. 
 jochepacheco hola rutasconflicto recibio premio data journalism award categoria mejor sitio web per; j : 5. Sim : 0.40158045; No similar. 
 finalizo epemti 2016 santiago loaiza ie rosa maria henao pavas sonson gano beca pregrado labelurl  ; j : 6. Sim : 0.20468758; No similar. 
 rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsaba; j : 7. Sim : 0.2590322; No similar. 
 rt derechousabana reciente publicacion diana maria gomez salas amigas lactancia realidad pais eltie; j : 8. Sim : 0.45062533; No similar. 
 jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humbold; j : 9. Sim : 0.19098635; No similar. 
 rt rettberga pasa lideres sociales perspectivas pcion pol farcque opinan autoridades locales zonas ; j : 10. Sim : 0.26580596; No similar. 
 rt niulive unisabana students join niuceet students for intensive industrial systems engineer summe; j : 11. Sim : 0.1480752; No similar. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 12. Sim : 0.2668983; No similar. 
 rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gesti; j : 13. Sim : 0.30563232; No similar. 
 rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noesho; j : 14. Sim : 0.20136744; No similar. 
 unico queda hacer ahora poner prejuicios deseos inconformidades mesa ahi si hablamos mapatilla  ; j : 15. Sim : 0.24759896; No similar. 
 partir 16 julio ingreso red inalambrica seneca cambiara cara sera mas amigable esperelo labelurl  ; j : 16. Sim : 0.21647291; No similar. 
 rt serpilopaga si ultimos meses cumpliste mayoria edad debes actualizar datos icetex invitamos segu; j : 17. Sim : 0.3262089; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 18. Sim : 0.2637266; No similar. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 19. Sim : 0.15232311; No similar. 
 rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti uni; j : 20. Sim : 0.23880199; No similar. 
 buena parte causas brecha acceso vienen desigualdades previas educacionsuperior maria marta ferreri; j : 21. Sim : 0.2638087; No similar. 
 hola jdavidrojas siguiente link encuentras guia paso paso podras encontrar mas informacion labelurl; j : 22. Sim : 0.46648687; No similar. 
 rt posmedunisabana inscripciones abiertas maestria epidemiologia unisabana inicio clases 4 agosto 2; j : 23. Sim : 0.5218727; Baja. 
 prepare bolsillo sobrecostos 2017 actualidad maria teresa macias profesora eicea via eltiempo label; j : 24. Sim : 0.18768327; No similar. 
 rt uis orgullouis centro colombiano computacion avanzada iniciara labor universidad apoyado uniande; j : 25. Sim : 0.2015933; No similar. 
 proceso paz nacio nacen ninos deseados carino pasar problemas producir acuerdo final  ; j : 26. Sim : 0.3128254; No similar. 
 dianachelareyes saludos gustaria conocer caso comunicarlo areas correspondientes puede contactar vi; j : 27. Sim : 0.34112823; No similar. 
 rt fismed proyectos plan ideas tenes storyline queres producir fismed caracol abren espacio labelur; j : 28. Sim : 0.2658669; No similar. 
 sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente a; j : 29. Sim : 0.35015434; No similar. 
 pese crisis colombianos siguen gastando trago cigarrillos opinion giovanni hernandez via eltiempo l; j : 30. Sim : 0.12944618; No similar. 
 rt crismaciase emocion humor empatia ingredientes conectar nuevas audiencias amelie ferro sipconnec; j : 31. Sim : 0.24973753; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 32. Sim : 0.26188755; No similar. 
 rt alcaldiademed ahora pod participar factura servicios publicos inscripciones comienzan miercoles ; j : 33. Sim : 0.35383856; No similar. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 34. Sim : 0.3671679; No similar. 
 rt admonuniandes international summerschool2017 offer participants the opportunity to attend innova; j : 35. Sim : 0.15587261; No similar. 
 comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unpara; j : 36. Sim : 0.44563416; No similar. 
 rt obsdemocracia noeshoradecallar violencia pareja entendida aprobadapor 28 colombianos si victima ; j : 37. Sim : 0.09670524; No similar. 
 escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl  ; j : 38. Sim : 0.14128622; No similar. 
 rt bluradioco alaire doctora ana maria olaya programa economia unisabana habla parocamionero manana; j : 39. Sim : 0.37841448; No similar. 
 llega 4to congreso negociacion liderazgo gerenciar proximo 20 21 abril evoluciona ideas  ; j : 40. Sim : 0.37005803; No similar. 
 rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm label; j : 41. Sim : 0.15345128; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 42. Sim : 0.31545386; No similar. 
 rt almorsal gracias unisabana probogotaregion asocentrocol uniandes bogota camaracomerbog cundinama; j : 43. Sim : 0.31727305; No similar. 
 rt opusdeicolombia carta prelado 14 febrero 2017 labelurl conclusiones ultimo congreso general cele; j : 44. Sim : 0.25716093; No similar. 
 video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios  ; j : 45. Sim : 0.40976143; No similar. 
 cuatro actores guerra ahora estudian andes hablan reconciliacion ed 49 nota uniandina labelurl  ; j : 46. Sim : 0.3211448; No similar. 
 rt arqdisua viaje traves arquitectura india ruta corbusier profesora invitada maria cecila obyrne l; j : 47. Sim : 0.33617878; No similar. 
 palabras sobran palabras faltan defensa idioma columna jairo valderrama profesor comsabana labelurl; j : 48. Sim : 0.35279313; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad internacional unisabana miercoles 12 m salon c106; j : 49. Sim : 0.4109836; No similar. 
 rt rectoriauis hoy junto quinterocalle pablonavasuand carlosjaimebh hacemos posible centro colombia; j : 50. Sim : 0.15104267; No similar. 
 rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja val; j : 51. Sim : -0.040098883; No similar. 
 rt usembassybogota conoce mas fulbrightcol evento tedxfulbrightbogota agents of change proximo 28 j; j : 52. Sim : 0.34754595; No similar. 
 va productividad pais alvaro turriago hoyos profesor economia finanzas eicea via tiempo labelurl  ; j : 53. Sim : 0.28709072; No similar. 
 rt innpulsacol implementamos metodologia rede uniandes pilar metodologia produccion mas limpia apre; j : 54. Sim : 0.428438; No similar. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 55. Sim : 0.09718439; No similar. 
 rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend  ; j : 56. Sim : 0.10181193; No similar. 
 lanzamiento maestria salud publica posmedunisabana foro postconflicto salud publica colombia junio ; j : 57. Sim : 0.24913292; No similar. 
 mientras gran parte comercio corea norte da gracias exporta china camilo pe labelurl  ; j : 58. Sim : 0.14105782; No similar. 
 rt jrestrp dando inicio 4 version concurso bolsamercantil aprender manejar transacciones commmoditi; j : 59. Sim : 0.20792691; No similar. 
