Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz 
 rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participa; j : 1. Sim : 0.1907276; No similar. 
 rt iptigeneva organize citizen forums all over colombia could give new ownership of the peace proce; j : 2. Sim : 0.24855797; No similar. 
 rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio a; j : 3. Sim : 0.17100963; No similar. 
 rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer; j : 4. Sim : 0.45684692; No similar. 
 hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos  ; j : 5. Sim : 0.48101923; No similar. 
 hoyeneafit cine club universidad eafit fuego fatuo bloque 38 aula 110 partir 600 pm esperamos  ; j : 6. Sim : 0.57953167; Baja. 
 rt deuniandes circulo participacion salsa uniandes invita segundo taller salsa estilo 15 sep z 213 ; j : 7. Sim : 0.31070423; No similar. 
 rt biblioeafit hoy segunda reunion club lectores comic entrada libre 6 pm tercer piso biblioteca es; j : 8. Sim : 0.45824084; No similar. 
 rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 en; j : 9. Sim : 0.507566; Baja. 
 si pierdes paso mercurio manana preocupes podras volver verlo dentro 33 anos ano 2049 untelevision ; j : 10. Sim : 0.225738; No similar. 
 hoyeneafit cine club presenta locuras primavera bloque 38 aula 110 partir 600 pm esp labelurl  ; j : 11. Sim : 0.38655144; No similar. 
 rt filarmonibogota obras geminiani ofjc dirigida federico hoyos estara hoy 700 pm auditorio mario l; j : 12. Sim : 0.3994441; No similar. 
 hoyeneafit cine club presenta viva maria bloque 38 aula 110 partir 600 pm esperamos labelurl  ; j : 13. Sim : 0.39987993; No similar. 
 hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl  ; j : 14. Sim : 0.5365298; Baja. 
 hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl  ; j : 15. Sim : 0.5054735; Baja. 
 hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl  ; j : 16. Sim : 0.4664712; No similar. 
 hoyeneafit cine club universidad eafit amantes bloque 38 aula 110 partir 600 pm esp labelurl  ; j : 17. Sim : 0.4928002; No similar. 
 hoyeneafit cine club universidad eafit adios ninos bloque 38 aula 110 partir 600 pm labelurl  ; j : 18. Sim : 0.5248609; Baja. 
 hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl  ; j : 19. Sim : 0.46661663; No similar. 
 eafit leon cardona garcia homenaje vida musical sera manana 1 agosto 700 pm auditorio fun labelurl ; j : 20. Sim : 0.5354885; Baja. 
 eafit invita innovar caso bonem 2 agosto bloque 38 auditorio 101 entrada libre previa inscripcion l; j : 21. Sim : 0.4223283; No similar. 
 lapazenfoco paz querida existe deseo paz limita solo tema acuerdo final alaire institucionaltv pien; j : 22. Sim : 0.40971568; No similar. 
 si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl  ; j : 23. Sim : 0.10804585; No similar. 
 my best rts this week come from institucionaltv dibun vriun thanksall who be yours labelurl labelur; j : 24. Sim : 0.17443113; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 25. Sim : 0.2130747; No similar. 
 rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo u; j : 26. Sim : 0.08575073; No similar. 
 lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauni; j : 27. Sim : 0.15724675; No similar. 
 hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl  ; j : 28. Sim : 0.45848194; No similar. 
 hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion la; j : 29. Sim : 0.39025024; No similar. 
 henbertcito saludos alturas finales puente vez construido estaran 532 m 604 m cumpliendo norma esta; j : 30. Sim : 0.2618328; No similar. 
 rt disenouniandes mineducacion renueva acreditacion alta calidad disenouniandes uniandes 2025 res 1; j : 31. Sim : 0.15840186; No similar. 
 disfruten familia obra teatro ventana cielo entrada libre boleta 16 noviembre 630 pm labelurl  ; j : 32. Sim : 0.33498684; No similar. 
 rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica as; j : 33. Sim : 0.26582533; No similar. 
