;Topico1
"rt edtechtimes can learn be use for good dr obdulio velasquez rector of unisabana in colombia think so labelurl
";0.95323
"rt fundacionanaas marcas contrabandodecigarrillo camel damp j gold seal golden deer ibiza jaisalmer jet modern montreal nat sh
";0.95095
"danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justicia foroungasscol
";0.95071
"rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicacion formacion anti
";0.94767
"rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derechos etnicos organizan onu ddhh
";0.94765
"cocina pedagogica tableros perimetrales test center mas espacios vivir idiomas thomas treulter director idiomas eafit
";0.94762
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94755
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94755
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94755
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94755
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94755
"rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rzapatal eafit labelurl
";0.94754
"rt behrentz hace 68 anos martes 29 marzo 1949 lugar primeras clases uniandeshoy queremos saber recuerdas
";0.94744
"1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia
";0.94743
"rt opusdeicolombia unisabana misas bogota ocasion fiesta san josemaria parroquia cristo rey lunes 26 1000 be
";0.94731
"estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte sur 1
";0.94438
"rt comfama informalidad permea sobretodo clase media america latina angel melguizo eafit lacealames2016 harvard elbid
";0.94429
"rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios constr
";0.94425
"hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl
";0.94418
"proteccion salud bienestar finalidad principal convenciones lucha drogas yesid reyes ex min justicia foroungasscol
";0.94416
"rt urbameafit rector juan luis mejia eafit da bienvenida estudiantes curso urbanismo social gestion publica
";0.94415
"ser honesto exigencia cualquier ciudadano funcionarios deben tener buena formacion academica mauricio tobon ideaantioquia
";0.9441
"hoy manana realizara eafit mision rectores region occidente plan nacional colegio 10 tic 36 labelurl
";0.94409
"rt educaunisabana hoy continua ciclo pedagogia francesa siglo xx tema compresion educando educador edouard cla
";0.94405
"rt cpoliticasus esperamos manana foro contrast plebiscito si rafael nieto loaiza jorge ivan cuervo 230pm
";0.94398
"rt comsocialeafit jonathan kubben hizo rede social fuente ingreso estara eafit dando tip ser instag
";0.94396
"colonizacion presente todavia comunidades debemos luchar ser mas humanos cada dia natasha kanape haymedellin17
";0.9438
"areametropol juan luis mejia arango rector eafit celebra confianza unir esfuerzos conjuntos investigacion cientifica
";0.94371
"rt cideruniandes diamundialdelrefugiado sabias segun datos acnur colombia sigue siendo pais mas desplazados internos 74
";0.94365
"ungass2016 reconocio ddhh componente interpretacion lucha drogas yesid reyes ex min justicia foroungasscol
";0.94036
"juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cientificos
";0.94033
"invitacion 25 anos constitucion politica examen promesas 25 octubre 800 be auditorio 381 labelurl
";0.94033
"rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech labelurl
";0.94031
"comenzo eafit xvii encuentro epemti conmemora 20 anos red media tecnica informatica antio labelurl
";0.94029
"rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jornada p
";0.94028
"rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelurl
";0.94025
"manana pierdan segunda sesion catedra flipeafit esperamos entrada libre bloque 38101 830 be labelurl
";0.94025
"mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungasscol
";0.94025
"coninsaco cuenta 18 20 febrero habra cierre avenida vegas call 4 sur 12 sur
";0.94025
"rt educaunisabana manana partir 7 be vi congreso internacional pedagogia infancia yoconstruyopaz auditorio saulo gil
";0.94024
"recuerden jueves tercera sesion catedra flipeafit falten entrada libre bloque 38101 900 be labelurl
";0.94023
"manana pierdan tercera sesion catedra flipeafit esperamos entrada libre bloque 38101 900 be labelurl
";0.94022
"hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods ods2030
";0.94021
"lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas eafit
";0.9402
"rt otraparte otraparte editorial eafit invita jueves 15 junio presentacion sexo saxofon casa muse
";0.94019
"momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11
";0.94019
"sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo ods2030 ods
";0.94018
"hoyeneafit catedra flip eafit comunicacion politica libertad prensa 900 be 1230 pm esperam labelurl
";0.94017
"rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis mejia rector
";0.94016
"rt urbameafit urbameafit sera sede premiacion proyectos nueva agenda urbana 23 febrero eafit lanetwork labelurl
";0.94015
"rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efectos mercados laborale
";0.94014
"bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros llegan labelurl
";0.94014
"votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero
";0.94013
"si vives cedritos nueva parada trenusabana av 9 147 puede servir clase 700 be labelurl
";0.94012
"rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transporte urbano crimen htt
";0.94012
"cualquier lugar pueden trabajar proyecto colectivo relato comun erradique cualquier forma violencia robledo
";0.94009
"necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep
";0.94009
"rt educaunisabana mas 200 personas auditorio david mejia velilla conferencia doctor daniel wilson universidad
";0.94008
"rt igarzonvallejo aca pueden ver foro plebiscito unisabana rafael nieto loaiza jorge ivan cuervo labelurl
";0.93998
"rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasquez uni
";0.93997
"rt mcalle87 si preguntan futuro creo debe parecerse verlo cerca solo ir eafit ceibaso
";0.93996
"hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire
";0.93995
"empresas flores piden investigacion modelos negocio preocupan biodiversidad pais manuel acevedo ods2030 ods
";0.93992
"si logramos hacer cada individuo sienta creador mas cerca participacion politica nicolas montero
";0.93984
"rt comsabana ahora periodistas colombia visitan unisabana tomar curso manejo espanol raeinforma fundeu losperiod
";0.93982
"rt udea buena noticia udea eafit logran patente tratar aneurismas cerebrales recurrir cirugias abiertaslabelurl
";0.93981
"resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl
";0.93978
"rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social economica tecnologica eafit
";0.9397
"juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labelurl
";0.93582
"tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exminjusticia foroungasscol
";0.93582
"rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir proces
";0.93579
"rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl
";0.93577
"recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl
";0.93574
"rt corresponsables lucy penaloza coor general pactocolombia rse convertido factor determinante gestion empresarial h
";0.93573
"hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan
";0.93573
